name	* info	* tier	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
142 	Dagger (1)	1	knif	tier	142 	dgr 	142			20	1	8	10									-20		20			8		3		102			401	dgr	142 	142 	142 	1ht 	1ht 	5	1ht	1	2					flpdgr	invdgr			1	1				so244	12	so244			5	0						7			3		1		1	1		1		1	1					255					255					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
346 	Dagger (4)	4	knif	tier	346 	dgr 	346			20	1	21	22									-20		20		44	8		31	13	3628			402	dgr	346 	346 	346 	1ht 	1ht 	5	1ht	1	2					flpdgr	invdgr			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
482 	Dagger (6)	6	knif	tier	482 	dgr 	482			20	1	31	33									-20		20		104	8		58	22	10468			402	dgr	482 	482 	482 	1ht 	1ht 	5	1ht	1	2					flpdgr	invdgr			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
43@ 	Dagger (Sacred)	Sacred	qknf		43@ 	dgr 	43@			2	1	74	74									-20		20		376	8		72	30	10468			402	dgr	43@ 	43@ 	43@ 	1ht 	1ht 	5	1ht	1	2					flpdgr	invdgr			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
5@D 	Dart Thrower (1)	1	nxbw	tier	5@D 	lxb 	5@D			10	1				1	20	26				2		30		46			1	18	3	342			402	lxb	5@D 	5@D 	5@D 	xbw 	xbw 	5	xbow	2	3					flpmxb	inv8lxu			1	2		reload lag between shots		so215	12	so215			5	1						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
8@D 	Dart Thrower (4)	4	nxbw	tier	8@D 	lxb 	8@D			10	1				1	62	77				2		30		144			1	45	17	8262			404	lxb	8@D 	8@D 	8@D 	xbw 	xbw 	5	xbow	2	3					flpmxb	inv8lxu			1	4		reload lag between shots		so215	12	so215			5	1						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
1@E 	Dart Thrower (6)	6	nxbw	tier	1@E 	lxb 	1@E			10	1				1	96	116				2		30		280			1	78	26	20322			406	lxb	1@E 	1@E 	1@E 	xbw 	xbw 	5	xbow	2	3					flpmxb	inv8lxu			1	6		reload lag between shots		so215	12	so215			5	1						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
2@E 	Dart Thrower (Sacred)	Sacred	snxb		2@E 	lxb 	2@E			1	1				1	142	143				2		30		252			1	83	30	20322			406	lxb	2@E 	2@E 	2@E 	xbw 	xbw 	5	xbow	2	3					flpmxb	inv8lxu			1	6		reload lag between shots		so215	12	so215			5	1						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
143 	Dirk (1)	1	knif	tier	143 	dir 	143			20	1	10	10											20		25	14		9	2	172			401	dgr	143 	143 	143 	1ht 	1ht 	5	1ht	1	2					flpdir	invdir			1	1				so244	12	so244			5	0						7			3		1		1	1					255					255		1		1	1					255					255					255					255					255		1		1	1		1		1	1		1		1	1					255					255					255					255					255			1	2		xxx 	xxx 	1	
347 	Dirk (4)	4	knif	tier	347 	dir 	347			20	1	24	26											20		103	14		36	15	5100			402	dgr	347 	347 	347 	1ht 	1ht 	5	1ht	1	2					flpdir	invdir			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
483 	Dirk (6)	6	knif	tier	483 	dir 	483			20	1	36	39											20		212	14		70	25	12582			402	dgr	483 	483 	483 	1ht 	1ht 	5	1ht	1	2					flpdir	invdir			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
44@ 	Dirk (Sacred)	Sacred	qknf		44@ 	dir 	44@			2	1	75	77											20		421	14		79	30	12582			402	dgr	44@ 	44@ 	44@ 	1ht 	1ht 	5	1ht	1	2					flpdir	invdir			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
116 	Double Axe (1)	1	axe	tier	116 	axe 	116			20	1	14	22								1		20		49		50		13	2	228			402	axe	116 	116 	116 	1hs 	1hs 	5	1hsl	2	3					flp2ax	inv2ax			1	2				so246	12	so246			5	0						7			3					255					255					255		1		1	1					255					255					255					255					255					255		1		1	1		1		1	1					255					255					255					255					255			2	2		xxx 	xxx 	1	
320 	Double Axe (4)	4	axe	tier	320 	axe 	320			20	1	35	52								1		20		162		50		39	16	5508			404	axe	320 	320 	320 	1hs 	1hs 	5	1hsl	2	3					flp2ax	inv2ax			1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
456 	Double Axe (6)	6	axe	tier	456 	axe 	456			20	1	51	74								1		20		319		50		70	25	13222			406	axe	456 	456 	456 	1hs 	1hs 	5	1hsl	2	3					flp2ax	inv2ax			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
17@ 	Double Axe (Sacred)	Sacred	qaxe		17@ 	axe 	17@			2	1	83	94								1		20		466		50		81	30	13222			406	axe	17@ 	17@ 	17@ 	1hs 	1hs 	5	1hsl	2	3					flp2ax	inv2ax			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
j14 	Jared's Stone (1)	1	orb	tier	j14 	ob4 	j14	100		4	1	14	18							14		20		20		25	78		24	5	612			401	bst	j14 	j14 	j14 	1hs 	1hs 	5	1hss	1	3					flpob5	invob5			1	1		0		so234	12	so234			5	0	1					7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
j65 	Jared's Stone (4)	4	orb	tier	j65 	ob4 	j65	100		4	1	30	39							14		20		20		103	78		50	19	7300			402	bst	j65 	j65 	j65 	1hs 	1hs 	5	1hss	1	3					flpob5	invob5			1	2		0		so234	12	so234			5	0	1					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
j99 	Jared's Stone (6)	6	orb	tier	j99 	ob4 	j99	100		4	1	44	56							14		20		20		212	78		85	27	14892			403	bst	j99 	j99 	j99 	1hs 	1hs 	5	1hss	1	3					flpob5	invob5			1	3		0		so234	12	so234			5	0	1					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
84@ 	Jared's Stone (Sacred)	Sacred	qorb		84@ 	ob4 	84@	100		1	1	80	86							14		20		20		194	78		86	30	14892			403	bst	84@ 	84@ 	84@ 	1hs 	1hs 	5	1hss	1	3					flpob5	invob5			1	3		0		so234	12	so234			5	0	1					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
j10 	Eagle Orb (1)	1	orb	tier	j10 	ob1 	j10	100		4	1	8	10							14		-10		20			14		1		102			401	bst	j10 	j10 	j10 	1hs 	1hs 	5	1hss	1	2					flpob1	invob1			1	1		0		so234	12	so234			5	0	1					7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8		xxx 	xxx 	1	
j61 	Eagle Orb (4)	4	orb	tier	j61 	ob1 	j61	100		4	1	17	18							14		-10		20		44	14		32	13	3628			402	bst	j61 	j61 	j61 	1hs 	1hs 	5	1hss	1	2					flpob1	invob1			1	2		0		so234	12	so234			5	0	1					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
j95 	Eagle Orb (6)	6	orb	tier	j95 	ob1 	j95	100		4	1	25	27							14		-10		20		104	14		59	22	10182			402	bst	j95 	j95 	j95 	1hs 	1hs 	5	1hss	1	2					flpob1	invob1			1	2		0		so234	12	so234			5	0	1					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
80@ 	Eagle Orb (Sacred)	Sacred	qorb		80@ 	ob1 	80@	100		1	1	70	72							14		-10		20		171	14		71	30	10182			402	bst	80@ 	80@ 	80@ 	1hs 	1hs 	5	1hss	1	2					flpob1	invob1			1	2		0		so234	12	so234			5	0	1					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
103 	Falchion (1)	1	swor	tier	103 	flc 	103			20	1	15	18										20		49		58		11	2	228			401	scm	103 	103 	103 	1hs 	1hs 	5	1hsl	1	3					flpflc	invflc			1	1				so246	12	so246			5	0						7			3					255					255					255					255					255					255		1		1	1					255					255					255					255					255		1		1	1					255					255					255					255			1	2		xxx 	xxx 	1	
307 	Falchion (4)	4	swor	tier	307 	flc 	307			20	1	36	42										20		162		58		37	16	5508			402	scm	307 	307 	307 	1hs 	1hs 	5	1hsl	1	3					flpflc	invflc			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
443 	Falchion (6)	6	swor	tier	443 	flc 	443			20	1	52	61										20		319		58		69	26	13548			403	scm	443 	443 	443 	1hs 	1hs 	5	1hsl	1	3					flpflc	invflc			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
04@ 	Falchion (Sacred)	Sacred	qswd		04@ 	flc 	04@			2	1	84	88										20		466		58		82	30	13548			403	scm	04@ 	04@ 	04@ 	1hs 	1hs 	5	1hsl	1	3					flpflc	invflc			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
128 	Flail (1)	1	mace	tier	128 	fla 	128			20	1	17	27								2	-10	20		60		72		19	5	678			402	mac	128 	128 	128 	1hs 	1hs 	5	1hsl	2	3					flpfla	invfla			1	2				so246	12	so246			5	0						7			3					255					255					255		1		1	1					255					255					255					255					255					255		1			255		1			255		1		1	1					255		1		1	1					255					255			2	2		xxx 	xxx 	1	
332 	Flail (4)	4	mace	tier	332 	fla 	332			20	1	38	62								2	-10	20		189		72		43	19	7542			404	mac	332 	332 	332 	1hs 	1hs 	5	1hsl	2	3					flpfla	invfla			1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
468 	Flail (6)	6	mace	tier	468 	fla 	468			20	1	56	89								2	-10	20		369		72		76	27	15238			406	mac	468 	468 	468 	1hs 	1hs 	5	1hsl	2	3					flpfla	invfla			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
29@ 	Flail (Sacred)	Sacred	qmac		29@ 	fla 	29@			2	1	86	102								2	-10	20		486		72		87	30	15238			406	mac	29@ 	29@ 	29@ 	1hs 	1hs 	5	1hsl	2	3					flpfla	invfla			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
111 	Flamberge (1)	1	2hsd	tier	111 	clm 	111			20	1	21	26	1	1	38	41				2	-10	30		89		84		27	3	342			402	clm	111 	111 	111 	1hs 	2hs 	5	2hss	2	4					flpflb	invflb			1	2				so229	12	so229			5	0						7			3					255					255					255					255					255					255		1		1	1					255					255					255					255					255		1		1	1					255		1		1	1					255					255			1	2		xxx 	xxx 	1	
315 	Flamberge (4)	4	2hsd	tier	315 	clm 	315			20	1	48	58	1	1	90	96				2	-10	30		261		84		49	17	6372			404	clm	315 	315 	315 	1hs 	2hs 	5	2hss	2	4					flpflb	invflb			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
451 	Flamberge (6)	6	2hsd	tier	451 	clm 	451			20	1	70	84	1	1	130	138				2	-10	30		499		84		80	27	14550			406	clm	451 	451 	451 	1hs 	2hs 	5	2hss	2	4					flpflb	invflb			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
12@ 	Flamberge (Sacred)	Sacred	s2hd		12@ 	clm 	12@			2	1	92	100	1	1	150	154				2	-10	30		540		84		85	30	14550			406	clm	12@ 	12@ 	12@ 	1hs 	2hs 	5	2hss	2	4					flpflb	invflb			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
147 	Flying Knife (1)	1	tkni	tier	147 	dgr 	147			20	1	12	13					12	14			10		20		53	12		9	2	12			401	dgr	147 	147 	147 	1ht 	1ht 	5	1ht	1	2	1	16	130	32	flptkn	invtkn			1	1		primarily thrown		so244	12	so244			5	0					687	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255		1		1	1					255					255		1		1	1			1	2		xxx 	xxx 	1	
351 	Flying Knife (4)	4	tkni	tier	351 	dgr 	351			20	1	26	30					42	48			10		20		172	12		36	16	100			402	dgr	351 	351 	351 	1ht 	1ht 	5	1ht	1	2	1	16	130	32	flptkn	invtkn			1	2		primarily thrown		so244	12	so244			5	0					687	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
487 	Flying Knife (6)	6	tkni	tier	487 	dgr 	487			20	1	38	42					66	74			10		20		337	12		71	25	160			402	dgr	487 	487 	487 	1ht 	1ht 	5	1ht	1	2	1	16	130	32	flptkn	invtkn			1	2		primarily thrown		so244	12	so244			5	0					687	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
48@ 	Flying Knife (Sacred)	Sacred	qtkn		48@ 	dgr 	48@			2	1	76	78					118	122			10		20		473	12		80	30	160			402	dgr	48@ 	48@ 	48@ 	1ht 	1ht 	5	1ht	1	2	1	16	130	32	flptkn	invtkn			1	2		primarily thrown		so244	12	so244			5	0					687	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
123 	Giant Axe (1)	1	2hax	tier	123 	gix 	123			20	1				1	34	46				3	10	30		102		92		27	5	678			402	lax	123 	123 	123 	stf 	stf 	5	2hsl	2	3					flpgix	invgix			1	2				so229	12	so229			5	0						7			3					255					255					255		1		1	1					255					255					255					255					255					255		1			255		1		1	1		1		1	1					255		1		1	1					255					255			2	2		xxx 	xxx 	1	
327 	Giant Axe (4)	4	2hax	tier	327 	gix 	327			20	1				1	82	107				3	10	30		293		92		51	19	7542			404	lax	327 	327 	327 	stf 	stf 	5	2hsl	2	3					flpgix	invgix			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
463 	Giant Axe (6)	6	2hax	tier	463 	gix 	463			20	1				1	108	165				3	10	30		557		92		85	27	15238			406	lax	463 	463 	463 	stf 	stf 	5	2hsl	2	3					flpgix	invgix			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
24@ 	Giant Axe (Sacred)	Sacred	s2ha		24@ 	gix 	24@			2	1				1	138	168				3	10	30		565		92		87	30	15238			406	lax	24@ 	24@ 	24@ 	stf 	stf 	5	2hsl	2	3					flpgix	invgix			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
109 	Giant Sword (1)	1	2hsd	tier	109 	gsd 	109			20	1	15	18	1	1	25	26				2	-5	30		57		56		21	2	198			402	clm	109 	109 	109 	1hs 	2hs 	5	2hss	1	4					flpgis	invgis			1	2				so229	12	so229			5	0						7			3					255					255					255		1		1	1					255				1	255		1		1	1					255		1		1	1					255		1		1	1		1		1	1					255					255					255					255					255			1	2		xxx 	xxx 	1	
313 	Giant Sword (4)	4	2hsd	tier	313 	gsd 	313			20	1	36	42	1	1	62	66				2	-5	30		182		56		45	16	5302			403	clm	313 	313 	313 	1hs 	2hs 	5	2hss	1	4					flpgis	invgis			1	3				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
449 	Giant Sword (6)	6	2hsd	tier	449 	gsd 	449			20	1	52	62	1	1	90	96				2	-5	30		355		56		71	25	13222			404	clm	449 	449 	449 	1hs 	2hs 	5	2hss	1	4					flpgis	invgis			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
10@ 	Giant Sword (Sacred)	Sacred	s2hd		10@ 	gsd 	10@			2	1	84	89	1	1	130	133				2	-5	30		480		56		81	30	13222			404	clm	10@ 	10@ 	10@ 	1hs 	2hs 	5	2hss	1	4					flpgis	invgis			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
135 	Glaive (1)	1	jave	tier	135 	glv 	135			20	1	13	21					14	30			20		20		65	104		23	3	22			402	glv	135 	135 	135 	1ht 	1ht 	5	1ht	1	4	1	30	60	60	flpglv	invglv			1	2		primarily thrown		so225	12	so225			5	0					682	7	2		3					255					255					255		1		1	1					255					255					20					255					255					255		1		1	1		1		1	1		1		1	1		1		1	1					255		1		1	1		1		1	1			5	8		xxx 	xxx 	1	
339 	Glaive (4)	4	jave	tier	339 	glv 	339			20	1	28	44					45	79			20		20		202	104		46	17	108			403	glv	339 	339 	339 	1ht 	1ht 	5	1ht	1	4	1	30	60	60	flpglv	invglv			1	3		primarily thrown		so225	12	so225			5	0					682	7	2		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
475 	Glaive (6)	6	jave	tier	475 	glv 	475			20	1	40	63					70	118			20		20		391	104		79	26	168			404	glv	475 	475 	475 	1ht 	1ht 	5	1ht	1	4	1	30	60	60	flpglv	invglv			1	4		primarily thrown		so225	12	so225			5	0					682	7	2		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
36@ 	Glaive (Sacred)	Sacred	qjvn		36@ 	glv 	36@			2	1	77	90					120	144			20		20		496	104		84	30	168			404	glv	36@ 	36@ 	36@ 	1ht 	1ht 	5	1ht	1	4	1	30	60	60	flpglv	invglv			1	4		primarily thrown		so225	12	so225			5	0					682	7	2		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
153 	Gnarled Staff (1)	1	staf	tier	153 	cst 	153			20	1				1	16	20				1	10		10		17	70		12	2	198			402	bst	153 	153 	153 	stf 	stf 	5	staf	1	4					flpcst	invcst			1	2		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255		1		1	1					255					255		1		1	1					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
357 	Gnarled Staff (4)	4	staf	tier	357 	cst 	357			20	1				1	42	53				1	10		10		62	70		38	16	5302			403	bst	357 	357 	357 	stf 	stf 	5	staf	1	4					flpcst	invcst			1	3		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
493 	Gnarled Staff (6)	6	staf	tier	493 	cst 	493			20	1				1	64	78				1	10		10		126	70		74	25	12582			404	bst	493 	493 	493 	stf 	stf 	5	staf	1	4					flpcst	invcst			1	4		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
54@ 	Gnarled Staff (Sacred)	Sacred	qstf		54@ 	cst 	54@			2	1				1	117	124				1	10		10		218	70		79	30	12582			404	bst	54@ 	54@ 	54@ 	stf 	stf 	5	staf	1	4					flpcst	invcst			1	4		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
6@9 	Goedendag (1)	1	pmac	tier	6@9 	mac 	6@9			10	1	14	20										20		46		53		18	3	342			401	mac	6@9 	6@9 	6@9 	1hs 	1hs 	5	1hsl	1	3					flpmac	inv7mas			1	1				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
9@9 	Goedendag (4)	4	pmac	tier	9@9 	mac 	9@9			10	1	36	48										20		169		53		45	17	8262			402	mac	9@9 	9@9 	9@9 	1hs 	1hs 	5	1hsl	1	3					flpmac	inv7mas			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
2@A 	Goedendag (6)	6	pmac	tier	2@A 	mac 	2@A			10	1	52	70										20		339		53		78	26	19833			403	mac	2@A 	2@A 	2@A 	1hs 	1hs 	5	1hsl	1	3					flpmac	inv7mas			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
3@A 	Goedendag (Sacred)	Sacred	spmc		3@A 	mac 	3@A			1	1	97	98										20		574		53		82	30	19833			403	mac	3@A 	3@A 	3@A 	1hs 	1hs 	5	1hsl	1	3					flpmac	inv7mas			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
130 	Grand Scepter (1)	1	scep	tier	130 	mac 	130			20	1	12	17								1	10		20		40	30		15	2	172			401	mac	130 	130 	130 	1hs 	1hs 	5	club	1	3					flpgsc	invgsc			1	1		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255		1		1	1					255					255		1		1	1					255					255					255					20		1		1	1					255					255		1		1	1			2	2		xxx 	xxx 	1	
334 	Grand Scepter (4)	4	scep	tier	334 	mac 	334			20	1	30	40								1	10		20		140	30		40	16	5302			402	mac	334 	334 	334 	1hs 	1hs 	5	club	1	3					flpgsc	invgsc			1	2		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
470 	Grand Scepter (6)	6	scep	tier	470 	mac 	470			20	1	44	58								1	10		20		279	30		76	25	12900			403	mac	470 	470 	470 	1hs 	1hs 	5	club	1	3					flpgsc	invgsc			1	3		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
31@ 	Grand Scepter (Sacred)	Sacred	qscp		31@ 	mac 	31@			2	1	59	76								1	10		20		449	30		80	30	12900			403	mac	31@ 	31@ 	31@ 	1hs 	1hs 	5	club	1	3					flpgsc	invgsc			1	3		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
122 	Great Axe (1)	1	2hax	tier	122 	btx 	122			20	1				1	29	39				2	-10	30		81		76		23	3	342			402	lax	122 	122 	122 	stf 	stf 	5	2hsl	2	4					flpgax	invgax			1	2				so229	12	so229			5	0						7			3					255					255					255		1		1	1					255					255					255					255					255					255		1		1	1		1		1	1		1		1	1					255					255					255					255			2	2		xxx 	xxx 	1	
326 	Great Axe (4)	4	2hax	tier	326 	btx 	326			20	1				1	72	92				2	-10	30		241		76		46	17	6150			404	lax	326 	326 	326 	stf 	stf 	5	2hsl	2	4					flpgax	invgax			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
462 	Great Axe (6)	6	2hax	tier	462 	btx 	462			20	1				1	104	133				2	-10	30		463		76		82	26	14212			406	lax	462 	462 	462 	stf 	stf 	5	2hsl	2	4					flpgax	invgax			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
23@ 	Great Axe (Sacred)	Sacred	s2ha		23@ 	btx 	23@			2	1				1	137	152				2	-10	30		526		76		84	30	14212			406	lax	23@ 	23@ 	23@ 	stf 	stf 	5	2hsl	2	4					flpgax	invgax			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
l36 	Great Maul (1)	1	hamm	tier	l36 	mau 	l36			20	1				1	27	36				2	10	30		117		138		32	5	678			402	mau	l36 	l36 	l36 	stf 	stf 	5	2hsl	2	3					flpgma	invgma			1	2				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255			2	2		xxx 	xxx 	1	
l45 	Great Maul (4)	4	hamm	tier	l45 	mau 	l45			20	1				1	62	82				2	10	30		336		138		53	19	7542			404	mau	l45 	l45 	l45 	stf 	stf 	5	2hsl	2	3					flpgma	invgma			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
