Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
mp95	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Starfire		974	100	2													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		974	100	6											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		974	100	9						0
mp96	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Vanquish		447	25	1	pr127	Doom Serpents		458	10	5							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		447	25	1	pr127		458	10	8						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		447	25	1	pr127		458	10	7	0
mp97	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Stormblast Proc		980	10	5	pr475				60	60	pr198			612	100	20	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr126		980	10	7	pr475			80	80	pr198		612	100	30	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr126		980	10	5	pr475			90	90	0
mp98	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				60	60	pr198			612	100	20							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			80	80	pr198		612	100	30						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		612	100	50	pr475			90	90	0
mp99	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr475				60	60	pr198			612	100	20							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr475			80	80	pr198		612	100	30						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		612	100	50	pr475			90	90	0
mp100	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp101	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp102	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp103	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp104	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp105	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp106	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp107	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Frog Prince		508	100	54	pr173				50	50							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		508	100	58	pr173			75	75						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		508	100	61	pr173			100	100	0
mp108	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mark of the Wild		1013	15	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		1013	15	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		1013	15	8						0
mp109	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Uber Disco Inferno		543	100	14	pr198	Lower Resist		91	50	6							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		543	100	18	pr198		91	50	9						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		543	100	21	pr198		91	50	11	0
mp110	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Death of a God		501	100	12													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		501	100	16											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		501	100	19						0
mp111	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	meslayer		16	1	1	pr262				50	50							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		16	1	1	pr262			100	100						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		16	1	1	pr262			150	150	0
mp112	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr366				127	127	pr114				10	10							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr366			127	127	pr114			15	15						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr366			127	127	pr114			20	20	0
mp113	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	passive_lockout		126	1	1	pr171				50	50							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		126	1	1	pr171			100	100						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		126	1	1	pr171			150	150	0
mp114	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Countdown		825	25	4	pr106				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		825	25	28	pr106			3	3						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		825	25	31	pr106			5	5	0
mp115	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr114				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr114			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1	pr114			75	75	0
mp116	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr205	passive_lockout		126	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr205		126	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1	pr205		126	1	1	0
mp117	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr205	passive_lockout		126	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr205		126	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1	pr205		126	1	1	0
mp118	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Rain of Bombs		30	25	4	pr201				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		30	25	8	pr201			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		30	25	11	pr201			1	1	0
mp119	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Rust Storm		531	100	9													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		531	100	13											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		531	100	16						0
mp120	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Mon Elemental Fury		747		1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr126		747		5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr126		747		8						0
mp121	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Wave of Spiders		720	30	6	pr127	Spawn Broodling		721	100	5							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		720	30	10	pr127		721	100	7						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		720	30	13	pr127		721	100	5	0
mp122	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Celerity		496	20	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		496	20	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		496	20	8						0
mp123	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Celerity		496	20	1	pr220				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		496	20	5	pr220			25	25						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		496	20	8	pr220			25	25	0
mp124	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Death Metal Death		722	100	1	pr205	passive_lockout		126	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		722	100	5	pr205		126	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		722	100	8	pr205		126	1	1	0
mp125	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp126	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Summon Darkwarden		725	10	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr126		725	10	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr126		725	10	8						0
mp127	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Uber Disco Inferno		543	100	4	pr198	Lower Resist		91	50	6							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		543	100	8	pr198		91	50	10						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		543	100	11	pr198		91	50	13	0
mp128	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	That Other VA Aura		282	1	1	pr205			68	1	1	pr91				2	2	pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		282	5	5	pr205		68	1	1	pr91			2	2	pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		282	8	8	pr205		68	1	1	0
mp129	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Pantheress Aura		727	4	6	pr198	Glacial Nova		702	100	8							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		727	7	9	pr198		702	100	12						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		727	6	8	pr198		702	100	15	0
mp130	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Pantheress Aura		727	4	6	pr127	Mark of the Wild		1013	15	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		727	7	9	pr127		1013	15	5						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		727	6	8	pr127		1013	15	8	0
mp131	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Pantheress Aura		727	4	6	pr127	Mark of the Wild		1013	15	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		727	7	9	pr127		1013	15	5						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		727	6	8	pr127		1013	15	8	0
mp132	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Thorns Aura		549	5	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		549	8	10											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		549	7	8	pr4	2		100	100	0
mp133	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	meslayer		181	1	1	pr172				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		181	1	1	pr172			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		181	1	1	pr172			75	75	0
mp134	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr107				100	100													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr107			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr107			100	100						0
mp135	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr205	fullsetgeneric		175	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr205		175	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1	pr205		175	1	1	0
mp136	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Red Death		729	100	5													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		729	100	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		729	100	12						0
mp137	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				150	150													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			150	150											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr57			150	150						0
mp138	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1	pr205	red		91	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1	pr205		91	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1	pr205		91	1	1	0
mp139	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Dark Power		413	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		413	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		413	100	8						0
mp140	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Fire Prince		733	100	25													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		733	100	29											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		733	100	32						0
mp141	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Snake Poison		53	50	1	pr205			2	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		53	50	5	pr205		2	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		53	50	8	pr205		2	1	1	0
mp142	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	1	3	pr127	Black Curse		734	100	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	4	6	pr127		734	100	4						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	3	5	pr127		734	100	3	0
mp143	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Plague Cloud		730	5	7													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		730	5	11											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		730	5	14						0
mp144	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Plague Cloud		730	10	7													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		730	10	11											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		730	10	14						0
mp145	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Teleport		54	100	1	pr127	Nova Bomb		153	100	14							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		54	100	1	pr127		153	100	18						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		54	100	1	pr127		153	100	21	0
mp146	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	necroshadowspirit		68	1	1	pr173				50	50							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		68	1	1	pr173			100	100						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		68	1	1	pr173			150	150	0
mp147	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Item Lemures		708	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		708	100	6											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		708	100	9						0
mp148	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Wave of Spiders		720	30	4	pr127	Spawn Broodswarm		749	50	5							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		720	30	8	pr127		749	50	7						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		720	30	11	pr127		749	50	5	0
mp149	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Death Metal Death		722	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		722	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		722	100	8						0
mp150	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	passive_lockout		126	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		126	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		126	1	1						0
mp151	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Summon Darkwarden		725	5	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr126		725	5	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr126		725	5	8						0
mp152	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Nightmare		697	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		697	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		697	100	8						0
mp153	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	5	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	8	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	7	8						0
mp154	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr107				100	100	pr127	Venomous Spirit		1002	10	6							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr107			100	100	pr127		1002	10	10						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr107			100	100	pr127		1002	10	13	0
mp155	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr114				25	25													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr114			35	35											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr114			45	45						0
mp156	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr174				15	15	pr126	Mon Safe Spike Nova		779	33	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr174			30	30	pr126		779	33	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr174			45	45	pr126		779	33	1	0
mp157	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	5	8	pr127	Mon Super Gift of Inner Fire		539	10	2							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	9	12	pr127		539	15	4						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	12	15	pr127		539	20	2	0
mp158	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Plague Cloud		730	15	5													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		730	15	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		730	15	12						0
mp159	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Plague Cloud		730	30	5													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		730	30	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		730	30	12						0
mp160	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Teleport		54	100	1	pr127	Immolation Bomb		154	100	18							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		54	100	1	pr127		154	100	22						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		54	100	1	pr127		154	100	25	0
mp161	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Dark Power		413	100	1	pr205	cold		11	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		413	100	5	pr205		11	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		413	100	8	pr205		11	1	1	0
mp162	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	cold		11	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		11	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		11	1	1						0
mp163	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	preventheal		52	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		52	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		52	1	1						0
mp164	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr174				25	25													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr174			50	50											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr174			75	75						0
mp165	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp166	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp167	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp168	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp169	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp170	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp171	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp172	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp173	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp174	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp175	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Static Trap		537	100	45													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		537	100	49											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		537	100	52						0
mp176	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp177	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Decrepify Aura		115	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		115	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		115	1	1						0
mp178	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Decrepify Aura		115	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		115	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		115	1	1						0
mp179	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Decrepify Aura		115	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		115	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		115	1	1						0
mp180	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Decrepify Aura		115	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		115	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		115	1	1						0
