description	* info	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm9490	Unique Uptier				10					2	"423,uni"	qum						"491,uni"	100																																																																																						0
cm9491	Unique Uptier				10					2	"372,uni"	qum						"440,uni"	100																																																																																						0
cm9492	Unique Uptier				10					2	"438,uni"	qum						"506,uni"	100																																																																																						0
cm9493	Unique Uptier				10					2	"800,uni"	qum						"846,uni"	100																																																																																						0
cm9494	Unique Uptier				10					2	"806,uni"	qum						"852,uni"	100																																																																																						0
cm9495	Unique Uptier				10					2	"j80,uni"	qum						"j97,uni"	100																																																																																						0
cm9496	Unique Uptier				10					2	"7@M,uni"	qum						"8@M,uni"	100																																																																																						0
cm9497	Unique Uptier				10					2	"4@5,uni"	qum						"5@5,uni"	100																																																																																						0
cm9498	Unique Uptier				10					2	"409,uni"	qum						"477,uni"	100																																																																																						0
cm9499	Unique Uptier				10					2	"412,uni"	qum						"480,uni"	100																																																																																						0
cm9500	Unique Uptier				10					2	"397,uni"	qum						"465,uni"	100																																																																																						0
cm9501	Unique Uptier				10					2	"827,uni"	qum						"873,uni"	100																																																																																						0
cm9502	Unique Uptier				10					2	"!81,uni"	qum						"!82,uni"	100																																																																																						0
cm9503	Unique Uptier				10					2	"w94,uni"	qum						"e24,uni"	100																																																																																						0
cm9504	Unique Uptier				10					2	"792,uni"	qum						"838,uni"	100																																																																																						0
cm9505	Unique Uptier				10					2	"j83,uni"	qum						"o10,uni"	100																																																																																						0
cm9506	Unique Uptier				10					2	"7@E,uni"	qum						"8@E,uni"	100																																																																																						0
cm9507	Unique Uptier				10					2	"787,uni"	qum						"833,uni"	100																																																																																						0
cm9508	Unique Uptier				10					2	"e10,uni"	qum						"e30,uni"	100																																																																																						0
cm9509	Unique Uptier				10					2	"!95,uni"	qum						"!96,uni"	100																																																																																						0
cm9510	Unique Uptier				10					2	"421,uni"	qum						"489,uni"	100																																																																																						0
cm9511	Unique Uptier				10					2	"418,uni"	qum						"486,uni"	100																																																																																						0
cm9512	Unique Uptier				10					2	"408,uni"	qum						"476,uni"	100																																																																																						0
cm9513	Unique Uptier				10					2	"k19,uni"	qum						"k23,uni"	100																																																																																						0
cm9514	Unique Uptier				10					2	"1@P,uni"	qum						"2@P,uni"	100																																																																																						0
cm9515	Unique Uptier				10					2	"809,uni"	qum						"855,uni"	100																																																																																						0
cm9516	Unique Uptier				10					2	"5@F,uni"	qum						"6@F,uni"	100																																																																																						0
cm9517	Unique Uptier				10					2	"410,uni"	qum						"478,uni"	100																																																																																						0
cm9518	Unique Uptier				10					2	"379,uni"	qum						"447,uni"	100																																																																																						0
cm9519	Unique Uptier				10					2	"e17,uni"	qum						"e37,uni"	100																																																																																						0
cm9520	Unique Uptier				10					2	"!46,uni"	qum						"!47,uni"	100																																																																																						0
cm9521	Unique Uptier				10					2	"8@3,uni"	qum						"9@3,uni"	100																																																																																						0
cm9522	Unique Uptier				10					2	"429,uni"	qum						"497,uni"	100																																																																																						0
cm9523	Unique Uptier				10					2	"l26,uni"	qum						"l30,uni"	100																																																																																						0
cm9524	Unique Uptier				10					2	"390,uni"	qum						"458,uni"	100																																																																																						0
cm9525	Unique Uptier				10					2	"l46,uni"	qum						"l49,uni"	100																																																																																						0
cm9526	Unique Uptier				10					2	"403,uni"	qum						"471,uni"	100																																																																																						0
cm9527	Unique Uptier				10					2	"427,uni"	qum						"495,uni"	100																																																																																						0
cm9528	Unique Uptier				10					2	"378,uni"	qum						"446,uni"	100																																																																																						0
cm9529	Unique Uptier				10					2	"!3!,uni"	qum						"!4!,uni"	100																																																																																						0
cm9530	Unique Uptier				10					2	"w90,uni"	qum						"e20,uni"	100																																																																																						0
cm9531	Unique Uptier				10					2	"j89,uni"	qum						"o16,uni"	100																																																																																						0
cm9532	Unique Uptier				10					2	"l27,uni"	qum						"l31,uni"	100																																																																																						0
cm9533	Unique Uptier				10					2	"e16,uni"	qum						"e36,uni"	100																																																																																						0
cm592	Zomghelp change ilvl of item to 1	1			100	10	12	1		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			25	25																																																																															0
cm593	Zomghelp change ilvl of item to 1	1			100	10	12	2		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			27	27																																																																															0
cm594	Zomghelp change ilvl of item to 1	1			100	10	12	3		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			29	29																																																																															0
cm595	Zomghelp change ilvl of item to 1	1			100	10	12	4		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			31	31																																																																															0
cm596	Zomghelp change ilvl of item to 1	1			100	10	12	5		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			33	33																																																																															0
cm597	Zomghelp change ilvl of item to 1	1			100	10	12	6		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			35	35																																																																															0
cm598	Zomghelp change ilvl of item to 1	1			100	10	12	7		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			37	37																																																																															0
cm599	Zomghelp change ilvl of item to 1	1			100	10	12	8		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			39	39																																																																															0
cm600	Zomghelp change ilvl of item to 1	1			100	10	12	9		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			41	41																																																																															0
cm601	Zomghelp change ilvl of item to 1	1			100	10	12	10		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			43	43																																																																															0
cm602	Zomghelp change ilvl of item to 1	1			100	10	12	11		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			45	45																																																																															0
cm603	Zomghelp change ilvl of item to 1	1			100	10	12	12		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			47	47																																																																															0
cm604	Zomghelp change ilvl of item to 1	1			100	10	12	13		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			49	49																																																																															0
cm605	Zomghelp change ilvl of item to 1	1			100	10	12	14		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			51	51																																																																															0
cm606	Zomghelp change ilvl of item to 1	1			100	10	12	15		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			53	53																																																																															0
cm607	Zomghelp change ilvl of item to 1	1			100	10	12	16		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			55	55																																																																															0
cm608	Zomghelp change ilvl of item to 1	1			100	10	12	17		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			57	57																																																																															0
cm609	Zomghelp change ilvl of item to 1	1			100	10	12	18		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			59	59																																																																															0
cm610	Zomghelp change ilvl of item to 1	1			100	10	12	19		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			61	61																																																																															0
cm611	Zomghelp change ilvl of item to 1	1			100	10	12	20		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			63	63																																																																															0
cm612	Zomghelp change ilvl of item to 1	1			100	10	12	21		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			65	65																																																																															0
cm613	Zomghelp change ilvl of item to 1	1			100	10	12	22		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			67	67																																																																															0
cm614	Zomghelp change ilvl of item to 1	1			100	10	12	23		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			69	69																																																																															0
cm615	Zomghelp change ilvl of item to 1	1			100	10	12	24		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			71	71																																																																															0
cm616	Zomghelp change ilvl of item to 1	1			100	10	12	25		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			73	73																																																																															0
cm617	Zomghelp change ilvl of item to 1	1			100	10	12	26		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			75	75																																																																															0
cm618	Zomghelp change ilvl of item to 1	1			100	10	12	27		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			77	77																																																																															0
cm619	Zomghelp change ilvl of item to 1	1			100	10	12	28		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			79	79																																																																															0
cm620	Zomghelp change ilvl of item to 1	1			100	10	12	29		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			81	81																																																																															0
cm621	Zomghelp change ilvl of item to 1	1			100	10	12	30		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			83	83																																																																															0
cm622	Zomghelp change ilvl of item to 1	1			100	10	12	31		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			85	85																																																																															0
cm623	Zomghelp change ilvl of item to 1	1			100	10	12	32		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			87	87																																																																															0
cm624	Zomghelp change ilvl of item to 1	1			100	10	12	33		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			89	89																																																																															0
cm625	Zomghelp change ilvl of item to 1	1			100	10	12	34		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			91	91																																																																															0
cm626	Zomghelp change ilvl of item to 1	1			100	10	12	35		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			93	93																																																																															0
cm627	Zomghelp change ilvl of item to 1	1			100	10	12	36		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			95	95																																																																															0
cm628	Zomghelp change ilvl of item to 1	1			100	10	12	37		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			97	97																																																																															0
cm629	Zomghelp change ilvl of item to 1	1			100	10	12	38		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			99	99																																																																															0
cm630	Zomghelp change ilvl of item to 1	1			100	10	12	39		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			101	101																																																																															0
cm631	Zomghelp change ilvl of item to 1	1			100	10	12	40		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			103	103																																																																															0
cm632	Zomghelp change ilvl of item to 1	1			100	10	12	41		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			105	105																																																																															0
cm633	Zomghelp change ilvl of item to 1	1			100	10	12	42		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			107	107																																																																															0
cm634	Zomghelp change ilvl of item to 1	1			100	10	12	43		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			109	109																																																																															0
cm635	Zomghelp change ilvl of item to 1	1			100	10	12	44		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			111	111																																																																															0
cm636	Zomghelp change ilvl of item to 1	1			100	10	12	45		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			113	113																																																																															0
cm637	Zomghelp change ilvl of item to 1	1			100	10	12	46		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			115	115																																																																															0
cm638	Zomghelp change ilvl of item to 1	1			100	10	12	47		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			117	117																																																																															0
cm639	Zomghelp change ilvl of item to 1	1			100	10	12	48		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			119	119																																																																															0
cm640	Zomghelp change ilvl of item to 1	1			100	10	12	49		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			121	121																																																																															0
cm641	Zomghelp change ilvl of item to 1	1			100	10	12	50		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			123	123																																																																															0
cm642	Zomghelp change ilvl of item to 1	1			100	10	12	51		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			125	125																																																																															0
cm643	Zomghelp change ilvl of item to 1	1			100	10	12	52		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			127	127																																																																															0
cm644	Zomghelp change ilvl of item to 1	1			100	10	12	53		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			129	129																																																																															0
cm645	Zomghelp change ilvl of item to 1	1			100	10	12	54		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			131	131																																																																															0
cm646	Zomghelp change ilvl of item to 1	1			100	10	12	55		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			133	133																																																																															0
cm647	Zomghelp change ilvl of item to 1	1			100	10	12	56		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			135	135																																																																															0
cm648	Zomghelp change ilvl of item to 1	1			100	10	12	57		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			137	137																																																																															0
cm649	Zomghelp change ilvl of item to 1	1			100	10	12	58		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			139	139																																																																															0
cm650	Zomghelp change ilvl of item to 1	1			100	10	12	59		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			141	141																																																																															0
cm651	Zomghelp change ilvl of item to 1	1			100	10	12	60		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			143	143																																																																															0
cm652	Zomghelp change ilvl of item to 1	1			100	10	12	61		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			145	145																																																																															0
cm653	Zomghelp change ilvl of item to 1	1			100	10	12	62		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			147	147																																																																															0
cm654	Zomghelp change ilvl of item to 1	1			100	10	12	63		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			149	149																																																																															0
cm655	Zomghelp change ilvl of item to 1	1			100	10	12	64		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			151	151																																																																															0
cm656	Zomghelp change ilvl of item to 1	1			100	10	12	65		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			153	153																																																																															0
cm657	Zomghelp change ilvl of item to 1	1			100	10	12	66		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			155	155																																																																															0
cm658	Zomghelp change ilvl of item to 1	1			100	10	12	67		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			157	157																																																																															0
cm659	Zomghelp change ilvl of item to 1	1			100	10	12	68		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			159	159																																																																															0
cm660	Zomghelp change ilvl of item to 1	1			100	10	12	69		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			161	161																																																																															0
cm661	Zomghelp change ilvl of item to 1	1			100	10	12	70		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			163	163																																																																															0
cm662	Zomghelp change ilvl of item to 1	1			100	10	12	71		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			165	165																																																																															0
cm663	Zomghelp change ilvl of item to 1	1			100	10	12	72		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			167	167																																																																															0
cm664	Zomghelp change ilvl of item to 1	1			100	10	12	73		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			169	169																																																																															0
cm665	Zomghelp change ilvl of item to 1	1			100	10	12	74		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			171	171																																																																															0
cm666	Zomghelp change ilvl of item to 1	1			100	10	12	75		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			173	173																																																																															0
cm667	Zomghelp change ilvl of item to 1	1			100	10	12	76		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			175	175																																																																															0
cm668	Zomghelp change ilvl of item to 1	1			100	10	12	77		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			177	177																																																																															0
cm669	Zomghelp change ilvl of item to 1	1			100	10	12	78		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			179	179																																																																															0
cm670	Zomghelp change ilvl of item to 1	1			100	10	12	79		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			181	181																																																																															0
cm671	Zomghelp change ilvl of item to 1	1			100	10	12	80		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			183	183																																																																															0
cm672	Zomghelp change ilvl of item to 1	1			100	10	12	81		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			185	185																																																																															0
cm673	Zomghelp change ilvl of item to 1	1			100	10	12	82		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			187	187																																																																															0
cm674	Zomghelp change ilvl of item to 1	1			100	10	12	83		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			189	189																																																																															0
cm675	Zomghelp change ilvl of item to 1	1			100	10	12	84		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			191	191																																																																															0
cm676	Zomghelp change ilvl of item to 1	1			100	10	12	85		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			193	193																																																																															0
cm677	Zomghelp change ilvl of item to 1	1			100	10	12	86		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			195	195																																																																															0
cm678	Zomghelp change ilvl of item to 1	1			100	10	12	87		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			197	197																																																																															0
cm679	Zomghelp change ilvl of item to 1	1			100	10	12	88		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			199	199																																																																															0
cm680	Zomghelp change ilvl of item to 1	1			100	10	12	89		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			201	201																																																																															0
cm681	Zomghelp change ilvl of item to 1	1			100	10	12	90		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			203	203																																																																															0
cm682	Zomghelp change ilvl of item to 1	1			100	10	12	91		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			205	205																																																																															0
cm683	Zomghelp change ilvl of item to 1	1			100	10	12	92		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			207	207																																																																															0
cm684	Zomghelp change ilvl of item to 1	1			100	10	12	93		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			209	209																																																																															0
cm685	Zomghelp change ilvl of item to 1	1			100	10	12	94		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			211	211																																																																															0
cm686	Zomghelp change ilvl of item to 1	1			100	10	12	95		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			213	213																																																																															0
cm687	Zomghelp change ilvl of item to 1	1			100	10	12	96		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			215	215																																																																															0
cm688	Zomghelp change ilvl of item to 1	1			100	10	12	97		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			217	217																																																																															0
cm689	Zomghelp change ilvl of item to 1	1			100	10	12	98		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			219	219																																																																															0
cm690	Zomghelp change ilvl of item to 1	1			100	10	12	99		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			221	221																																																																															0
cm691	Zomghelp change ilvl of item to 1	1			100	10	12	100		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			223	223																																																																															0
cm692	Zomghelp change ilvl of item to 1	1			100	10	12	101		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			225	225																																																																															0
cm693	Zomghelp change ilvl of item to 1	1			100	10	12	102		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			227	227																																																																															0
cm694	Zomghelp change ilvl of item to 1	1			100	10	12	103		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			229	229																																																																															0
cm695	Zomghelp change ilvl of item to 1	1			100	10	12	104		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			231	231																																																																															0
cm696	Zomghelp change ilvl of item to 1	1			100	10	12	105		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			233	233																																																																															0
cm697	Zomghelp change ilvl of item to 1	1			100	10	12	106		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			235	235																																																																															0
cm698	Zomghelp change ilvl of item to 1	1			100	10	12	107		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			237	237																																																																															0
cm699	Zomghelp change ilvl of item to 1	1			100	10	12	108		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			239	239																																																																															0
cm700	Zomghelp change ilvl of item to 1	1			100	10	12	109		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			241	241																																																																															0
cm701	Zomghelp change ilvl of item to 1	1			100	10	12	110		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			243	243																																																																															0
cm702	Zomghelp change ilvl of item to 1	1			100	10	12	111		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			245	245																																																																															0
cm703	Zomghelp change ilvl of item to 1	1			100	10	12	112		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			247	247																																																																															0
cm704	Zomghelp change ilvl of item to 1	1			100	10	12	113		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			249	249																																																																															0
cm705	Zomghelp change ilvl of item to 1	1			100	10	12	114		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			251	251																																																																															0
cm706	Zomghelp change ilvl of item to 1	1			100	10	12	115		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			253	253																																																																															0
cm707	Zomghelp change ilvl of item to 1	1			100	10	12	116		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			255	255																																																																															0
cm708	Zomghelp change ilvl of item to 1	1			100	10	12	117		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			257	257																																																																															0
cm709	Zomghelp change ilvl of item to 1	1			100	10	12	118		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			259	259																																																																															0
cm710	Zomghelp change ilvl of item to 1	1			100	10	12	119		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			261	261																																																																															0
cm711	Zomghelp change ilvl of item to 1	1			100	10	12	120		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			263	263																																																																															0
cm712	Zomghelp change ilvl of item to 1	1			100	10	12	121		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			265	265																																																																															0
cm713	Zomghelp change ilvl of item to 1	1			100	10	12	122		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			267	267																																																																															0
cm714	Zomghelp change ilvl of item to 1	1			100	10	12	123		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			269	269																																																																															0
cm715	Zomghelp change ilvl of item to 1	1			100	10	12	124		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			271	271																																																																															0
cm716	Zomghelp change ilvl of item to 1	1			100	10	12	125		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			273	273																																																																															0
cm717	Zomghelp change ilvl of item to 1	1			100	10	12	126		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			275	275																																																																															0
cm718	Zomghelp change ilvl of item to 1	1			100	10	12	127		3	"weap,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr29			277	277																																																																															0
cm719	Zomghelp change ilvl of item to 1	1			100	10	12	1		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			25	25																																																																															0
cm720	Zomghelp change ilvl of item to 1	1			100	10	12	2		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			27	27																																																																															0
cm721	Zomghelp change ilvl of item to 1	1			100	10	12	3		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			29	29																																																																															0
cm722	Zomghelp change ilvl of item to 1	1			100	10	12	4		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			31	31																																																																															0
cm723	Zomghelp change ilvl of item to 1	1			100	10	12	5		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			33	33																																																																															0
cm724	Zomghelp change ilvl of item to 1	1			100	10	12	6		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			35	35																																																																															0
cm725	Zomghelp change ilvl of item to 1	1			100	10	12	7		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			37	37																																																																															0
cm726	Zomghelp change ilvl of item to 1	1			100	10	12	8		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			39	39																																																																															0
cm727	Zomghelp change ilvl of item to 1	1			100	10	12	9		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			41	41																																																																															0
cm728	Zomghelp change ilvl of item to 1	1			100	10	12	10		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			43	43																																																																															0
cm729	Zomghelp change ilvl of item to 1	1			100	10	12	11		3	"armo,mag"	"amul,mag"	"ring,mag"					"usetype,mag"			1	pr5			45	45																																																																															0
