index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Jackal's Hunger		1		10	1	63	40	392 		(Tier 5)						5	5000	lyel	lyel			so0		so0	pr133		5	5	pr387		76	76	pr29		151	180	pr28		101	120	pr197	814	13	10	pr58		171	200	pr57		25	25	pr104		1	3	pr7		26	30													0
Jackal's Hunger		1		10	1	78	49	460 		(Tier 6)						5	5000	lyel	lyel			so0		so0	pr133		6	6	pr387		76	76	pr29		181	210	pr28		121	140	pr197	814	15	12	pr58		201	230	pr57		30	30	pr104		2	3	pr7		31	35													0
Goreshifter		1		10	1	120	100	21@ 		(Sacred) SU						5	5000	dred	dred			so0		so0	pr133		6	6	pr387		76	76	pr29		251	300	pr28		201	250	pr197	336	5	22	pr107		100	100	pr356		100	100	pr126	500	15	4	pr78		25	25													0
NewRoflchopper		1		4	1	120	100	21@ 		(Sacred) SSU						5	5000	oran	oran			so0		so0	pr133		6	6	pr387		76	76	pr29		251	300	pr140		150	400	pr97		500	500	pr197	889	50	13	pr215		25	25	pr125	296	5	5	pr379		1	1	pr7		51	70	pr96		150	150					0
BroadAxeSU3		1		1	1	120	100	21@ 		(Sacred) SSSU						5	5000	cgrn	cgrn			so0		so0	pr133		6	6	pr387		76	76	pr29		251	300	pr127	19	1	26	pr127	20	1	27	pr174		21	25	pr171		21	25	pr140		200	600	pr58		150	150	pr356		100	100	pr7		100	125	pr57		50	50	0
Raptor Beak		1		10	1	10	6	104 	Broad Sword	(Tier 1)						5	5000	blac	blac			so0		so0	pr133		2	2	pr387		51	51	pr29		41	70	pr57		5	5	pr356		11	15	pr58		31	50	pr9		11	15	pr371	542	25	3	pr295		3	5													0
Raptor Beak		1		10	1	24	15	172 	Broad Sword	(Tier 2)						5	5000	blac	blac			so0		so0	pr133		3	3	pr387		51	51	pr29		71	100	pr57		10	10	pr356		16	20	pr58		51	70	pr9		16	20	pr371	542	30	6	pr295		6	8													0
Raptor Beak		1		10	1	39	25	240 	Broad Sword	(Tier 3)						5	5000	blac	blac			so0		so0	pr133		4	4	pr387		51	51	pr29		101	130	pr57		15	15	pr356		21	25	pr58		71	90	pr9		21	25	pr371	542	35	9	pr295		9	11													0
Raptor Beak		1		10	1	54	34	308 	Broad Sword	(Tier 4)						5	5000	blac	blac			so0		so0	pr133		4	4	pr387		51	51	pr29		131	160	pr57		20	20	pr356		26	30	pr58		91	110	pr9		26	30	pr371	542	40	12	pr295		12	14													0
Raptor Beak		1		10	1	70	44	376 	Broad Sword	(Tier 5)						5	5000	blac	blac			so0		so0	pr133		5	5	pr387		51	51	pr29		161	190	pr57		25	25	pr356		31	35	pr58		111	130	pr9		31	35	pr371	542	45	15	pr295		15	17													0
Raptor Beak		1		10	1	84	53	444 	Broad Sword	(Tier 6)						5	5000	blac	blac			so0		so0	pr133		6	6	pr387		51	51	pr29		191	220	pr57		30	30	pr356		36	40	pr58		131	150	pr9		36	40	pr371	542	50	18	pr295		18	20													0
Plaguemourn		1		10	1	120	100	05@ 	Broad Sword	(Sacred) SU						5	5000	cgrn	lgrn			so0		so0	pr133		6	6	pr387		51	51	pr29		251	300	pr140		150	250	pr126	398	20	26	pr186		11	15	pr174		31	40	pr126	263	15	30	pr108		11	15	pr138	50	1024	2048	pr68		3	4	pr114		11	15	0
SarandeshHellcaller		1		4	1	120	100	05@ 	Broad Sword	(Sacred) SSU						5	5000	cred	cred			so0		so0	pr133		6	6	pr387		51	51	pr29		300	350	pr136		2000	2500	pr57		100	100	pr126	632	5	43	pr10		75	75	pr75		-50	-50	pr126	98	5	16	pr134		500	1000	pr93		21	30					0
BroadSwordSU3		1		1	1	120	100	05@ 	Broad Sword	(Sacred) SSSU						5	5000	cgrn	cgrn			so0		so0	pr133		6	6	pr387		51	51	pr29		251	300	pr204	357	12	16	pr4		25	25	pr140		150	300	pr71		1	2	pr57		25	25	pr13		150	150	pr78		-25	-25	pr68		1	2	pr58		150	300	0
NewAeterna		1		4	1	120	100	05@	Broad Sword	(Sacred) Secret						5	5000	blac	blac			so0		so0	pr133		6	6	pr387		51	51	pr29		300	350	pr136		2000	2500	pr57		100	100	pr474	84	5	1	pr126	340	5	25	pr75		-50	-50	pr296		50	50													0
The Breaking Wheel		1		10	1	9	7	29! 		(Tier 1)						5	5000	oran	oran			so0		so0	pr133		1	1	pr5		41	70	pr108		3	5	pr223		16	25	pr215		7	10	pr216		7	10	pr31		21	25	pr39		21	25																	0
The Breaking Wheel		1		10	1	24	16	30! 		(Tier 2)						5	5000	oran	oran			so0		so0	pr133		2	2	pr5		71	100	pr108		6	8	pr223		26	35	pr215		11	14	pr216		11	14	pr31		26	30	pr39		26	30																	0
The Breaking Wheel		1		10	1	39	24	31! 		(Tier 3)						5	5000	oran	oran			so0		so0	pr133		3	3	pr5		101	130	pr108		9	11	pr223		36	45	pr215		15	18	pr216		15	18	pr31		31	35	pr39		31	35																	0
The Breaking Wheel		1		10	1	53	33	32! 		(Tier 4)						5	5000	oran	oran			so0		so0	pr133		3	3	pr5		131	160	pr108		12	14	pr223		46	55	pr215		19	22	pr216		19	22	pr31		36	40	pr39		36	40																	0
The Breaking Wheel		1		10	1	68	42	33! 		(Tier 5)						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		161	190	pr108		15	17	pr223		56	65	pr215		23	26	pr216		23	26	pr31		41	45	pr39		41	45																	0
The Breaking Wheel		1		10	1	83	51	34! 		(Tier 6)						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		191	220	pr108		18	20	pr223		66	75	pr215		27	30	pr216		27	30	pr31		46	50	pr39		46	50																	0
Rota Solaris		1		10	1	120	100	35! 		(Sacred) SU						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		201	250	pr57		50	50	pr211		2	4	pr126	518	50	21	pr183		31	40	pr28		151	200	pr73		4	4	pr108		5	5	pr31		51	60	pr99		50	50					0
New5CanisVenator		1		4	1	120	100	35! 		(Sacred) SSU						5	5000	oran	oran			so0		so0	pr133		6	6	pr5		301	350	pr16		2	2	pr7		150	150	pr9		150	150	pr53		1000	1000	pr123	366	3	5																					0
BronzeShieldSU3		1		1	1	120	100	35! 		(Sacred) SSSU						5	5000	dred	dred			so0		so0	pr133		4	4	pr5		201	250	pr267		40	50	pr269		30	40	pr302		100	100	pr71		2	3	pr289		1	1	pr84		50	50	pr218		15	15	pr140		150	200	pr75		20	20	pr41		10	15	0
Uldyssian's Legion		1		10	1	13	9	3@7 		(Tier 1)						5	5000	dblu	dblu			so0		so0	pr133		2	2	pr387		76	76	pr29		41	70	pr87		15	15	pr269		11	15	pr267		3	5	pr57		15	15	pr12		21	25	pr41		7	10	pr71		1	1									0
Uldyssian's Legion		1		10	1	28	18	4@7 		(Tier 2)						5	5000	dblu	dblu			so0		so0	pr133		3	3	pr387		76	76	pr29		71	100	pr87		20	20	pr269		16	20	pr267		6	8	pr57		20	20	pr12		26	30	pr41		11	14	pr71		1	2									0
Uldyssian's Legion		1		10	1	42	27	5@7 		(Tier 3)						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr387		76	76	pr29		101	130	pr87		25	25	pr269		21	25	pr267		9	11	pr57		25	25	pr12		31	35	pr41		15	18	pr71		2	2									0
Uldyssian's Legion		1		10	1	57	36	6@7 		(Tier 4)						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr387		76	76	pr29		131	160	pr87		30	30	pr269		26	30	pr267		12	14	pr57		30	30	pr12		36	40	pr41		19	22	pr71		2	3									0
Uldyssian's Legion		1		10	1	72	46	7@7 		(Tier 5)						5	5000	dblu	dblu			so0		so0	pr133		5	5	pr387		76	76	pr29		161	190	pr87		35	35	pr269		31	35	pr267		15	17	pr57		35	35	pr12		41	45	pr41		23	26	pr71		3	3									0
Uldyssian's Legion		1		10	1	86	55	8@7 		(Tier 6)						5	5000	dblu	dblu			so0		so0	pr133		6	6	pr387		76	76	pr29		191	220	pr87		40	40	pr269		36	40	pr267		18	20	pr57		40	40	pr12		46	50	pr41		27	30	pr71		3	4									0
Blade of the Jitan		1		10	1	120	100	9@7 		(Sacred) SU						5	5000	dpur	dpur			so0		so0	pr133		6	6	pr387		76	76	pr29		201	250	pr28		201	400	pr204	416	15	18	pr204	58	15	18	pr87		40	40	pr134		1500	2000	pr135		1500	2000	pr114		21	25	pr350		100	100					0
NewEsubane		1		4	1	120	100	9@7 		(Sacred) SSU						5	5000	lgld	lgld			so0		so0	pr133		6	6	pr387		76	76	pr29		301	350	pr140		250	500	pr197	780	5	18	pr65		42	47	pr41		31	40	pr135		1	500	pr7		100	100	pr8		100	100	pr71		2	2					0
BronzeSwordSU3		1		1	1	120	100	9@7 		(Sacred) SSSU						5	5000	whit	whit			so0		so0	pr133		6	6	pr387	76	76	76	pr204	322	20	25	pr204	460	20	25	pr267		50	50	pr292		25	25	pr269		50	75	pr302		75	100	pr71		2	3	pr87		30	35	pr13		500	500	pr215		30	35	0
Razordisk		1		10	1	1	1	621 		(Tier 1)						5	5000	lred	lred			so0		so0	pr133		1	1	pr145	28	28	28	pr107		11	15	pr97		-21	-50	pr7		3	5																													0
Razordisk		1		10	1	14	8	667 		(Tier 2)						5	5000	lred	lred			so0		so0	pr133		2	2	pr145	32	32	32	pr107		16	20	pr97		-51	-80	pr7		6	8																													0
Razordisk		1		10	1	29	17	713 		(Tier 3)						5	5000	lred	lred			so0		so0	pr133		3	3	pr145	36	36	36	pr107		21	25	pr97		-81	-110	pr7		9	11																													0
Razordisk		1		10	1	43	26	759 		(Tier 4)						5	5000	lred	lred			so0		so0	pr133		3	3	pr145	40	40	40	pr107		26	30	pr97		-111	-140	pr7		12	14																													0
Razordisk		1		10	1	58	35	805 		(Tier 5)						5	5000	lred	lred			so0		so0	pr133		4	4	pr145	44	44	44	pr107		31	35	pr97		-141	-170	pr7		15	17																													0
Razordisk		1		10	1	72	43	851 		(Tier 6)						5	5000	lred	lred			so0		so0	pr133		4	4	pr145	48	48	48	pr107		36	40	pr97		-171	-200	pr7		18	20																													0
Event Horizon		1		10	1	120	100	@22 		(Sacred) SU						5	5000	blac	blac			so0		so0	pr133		4	4	pr5		101	150	pr4		5	5	pr369	710	1	24	pr44		21	25	pr50		21	25	pr46		21	25	pr78		20	20	pr63		500	500													0
NewOgdensSign		1		4	1	120	100	@22 		(Sacred) SSU						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		201	250	pr190		20	20	pr117	765	25	25	pr59		75	75	pr199	455	100	59	pr98		100	100	pr75		-40	-40	pr291		-20	-20	pr206		51	75									0
BucklerSU3		1		1	1	120	100	@22 		(Sacred) SSSU						5	5000	cblu	cblu			so0		so0	pr133		4	4					pr127	798	1	1	pr173		50	50	pr137		999	999	pr36		5	5	pr35		50	50	pr10		50	150	pr75		-50	-50	pr12		20	20	pr185		40	60	pr16		1	1	0
Golden Fleece		1		10	1	5	3	22! 		(Tier 1)						5	5000	lgld	lgld			so0		so0	pr133		1	1	pr5		21	50	pr371	492	25	2	pr7		11	15	pr14		3	5	pr33		11	15	pr59		21	30	pr223		31	50	pr71		1	1													0
Golden Fleece		1		10	1	19	12	23! 		(Tier 2)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		51	80	pr371	492	30	4	pr7		16	20	pr14		6	8	pr33		16	20	pr59		31	40	pr223		51	70	pr71		1	2													0
Golden Fleece		1		10	1	34	21	24! 		(Tier 3)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		81	110	pr371	492	35	6	pr7		21	25	pr14		9	11	pr33		21	25	pr59		41	50	pr223		71	90	pr71		1	2													0
Golden Fleece		1		10	1	49	30	25! 		(Tier 4)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		111	140	pr371	492	40	8	pr7		26	30	pr14		12	14	pr33		26	30	pr59		51	60	pr223		91	110	pr71		1	3													0
Golden Fleece		1		10	1	63	38	26! 		(Tier 5)						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		141	170	pr371	492	45	10	pr7		31	35	pr14		15	17	pr33		31	35	pr59		61	70	pr223		111	130	pr71		2	3													0
Golden Fleece		1		10	1	78	47	27! 		(Tier 6)						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		171	200	pr371	492	50	12	pr7		36	40	pr14		18	20	pr33		36	40	pr59		71	80	pr223		131	150	pr71		2	4													0
Uldyssian's Awakening		1		10	1	120	100	28! 		(Sacred) SU						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		101	150	pr75		-40	-40	pr87		50	50	pr12		50	50	pr269		31	40	pr289		2	2	pr134		500	500	pr137	25	500	500	pr135		500	500	pr182	346	50	11					0
NewPawnstorm		1		4	1	120	100	28! 		(Sacred) SSU						5	5000	dred	dred			so0		so0	pr133		6	6	pr5		301	350	pr117	1203	25	25	pr267		-50	-50	pr289		5	5	pr71		3	3	pr87		50	50	pr12		50	50	pr75		-40	-40	pr140		50	150	pr16		1	1					0
BullShieldSU3		1		1	1	120	100	28! 		(Sacred) SSSU						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr5		251	300	pr320		20	25	pr104		1	2	pr204	343	1	3	pr42		-5	-5	pr78		-20	-20	pr4		5	5	pr0		200	200	pr57		10	10	pr96		50	50					0
The JesterZ		1		10	1	1	1	615 		(Tier 1)						5	5000	cred	cred			so0		so0	pr133		1	1	pr125	295	1	1	pr207		3	5	pr380		1	1	pr78		5	5																													0
The JesterZ		1		10	1	14	9	661 		(Tier 2)						5	5000	cred	cred			so0		so0	pr133		2	2	pr125	295	2	2	pr207		6	8	pr380		1	1	pr78		5	5																													0
The JesterZ		1		10	1	29	17	707 		(Tier 3)						5	5000	cred	cred			so0		so0	pr133		3	3	pr125	295	3	3	pr207		9	11	pr380		1	1	pr78		10	10																													0
The JesterZ		1		10	1	44	26	753 		(Tier 4)						5	5000	cred	cred			so0		so0	pr133		3	3	pr125	295	4	4	pr207		12	14	pr380		1	1	pr78		10	10																													0
The JesterZ		1		10	1	58	35	799 		(Tier 5)						5	5000	cred	cred			so0		so0	pr133		4	4	pr125	295	5	5	pr207		15	17	pr380		1	1	pr78		15	15																													0
The JesterZ		1		10	1	73	44	845 		(Tier 6)						5	5000	cred	cred			so0		so0	pr133		4	4	pr125	295	6	6	pr207		18	20	pr380		1	1	pr78		15	15																													0
The Wanderer's Hood		1		10	1	120	100	@16 		(Sacred) SU						5	5000	blac	blac			so0		so0	pr133		4	4	pr5		201	250	pr104		2	3	pr58		101	150	pr356		41	50	pr117	879	21	25	pr14		10	10																					0
Beanie Sidhe		1		4	1	120	100	@16 		(Sacred) SSU						5	5000	dred	dred			so0		so0	pr133		4	4	pr5		101	150	pr28		100	200	pr134		250	500	pr137		250	500	pr135		250	500																									0
CapSU3		1		1	1	120	100	@16 		(Sacred) SSSU						5	5000	whit	whit			so0		so0	pr133		4	4	pr5		100	150	pr117	1766		10	pr197	513	1	23	pr207		20	20	pr140		25	75	pr4		5	5	pr41		21	25	pr96		150	150	pr192		25	50	pr59		100	100					0
WeddingDress		1		10	1	20	12	2@J 		(Tier 1)						5	5000	dgld	dgld			so0		so0	pr133		2	2	pr5		61	100	pr351		21	50	pr8		16	25	pr7		16	25	pr204	756	2	3	pr204	1011	2	3																					0
WeddingDress		1		10	1	34	21	3@J 		(Tier 2)						5	5000	dgld	dgld			so0		so0	pr133		3	3	pr5		101	140	pr351		51	80	pr8		26	35	pr7		26	35	pr204	756	3	4	pr204	1011	3	4																					0
WeddingDress		1		10	1	50	31	4@J 		(Tier 3)						5	5000	dgld	dgld			so0		so0	pr133		4	4	pr5		141	180	pr351		81	110	pr8		36	45	pr7		36	45	pr204	756	4	5	pr204	1011	4	5																					0
WeddingDress		1		10	1	64	39	5@J 		(Tier 4)						5	5000	dgld	dgld			so0		so0	pr133		4	4	pr5		181	220	pr351		111	140	pr8		46	55	pr7		46	55	pr204	756	5	6	pr204	1011	5	6																					0
WeddingDress		1		10	1	79	48	6@J 		(Tier 5)						5	5000	dgld	dgld			so0		so0	pr133		5	5	pr5		221	260	pr351		141	170	pr8		56	65	pr7		56	65	pr204	756	6	7	pr204	1011	6	7																					0
WeddingDress		1		10	1	90	55	7@J 		(Tier 6)						5	5000	dgld	dgld			so0		so0	pr133		6	6	pr5		261	300	pr351		171	200	pr8		66	75	pr7		66	75	pr204	756	7	8	pr204	1011	7	8																					0
Armor of the Old Religion		1		10	1	120	100	8@J 		(Sacred) SU						5	5000	blac	dgrn			so0		so0	pr133		6	6	pr5		301	350	pr291		200	200	pr266		10	10	pr41		51	100	pr204	407	9	12	pr192		101	150	pr81		50	50	pr207		51	75	pr58		101	150	pr117	1582	25	25	pr70		4	5	0
NewHijabOfThe		1		4	1	120	100	8@J 		(Sacred) SSU						5	5000	lblu	lblu			so0		so0	pr133		6	6	pr5		301	350	pr16		-5	-5	pr78		50	50	pr4		15	15	pr70		4	5	pr207		51	75	pr262		101	150	pr87		100	100	pr10		150	150	pr9		50	50	pr208		10	10	0
CeremonialArmorSU3		1		1	1	120	100	8@J 		(Sacred) SSSU						5	5000	blac	blac			so0		so0	pr133		6	6	pr5		301	350	pr197	687	5	16	pr117	1071	10	10	pr66		15	20	pr140		25	50	pr70		1	2	pr266		5	5	pr207		40	50	pr216		20	30	pr75		100	100					0
Snakehair		1		10	1	8	5	7@K 		(Tier 1)						5	5000	dgrn	dgrn			so0		so0	pr133		1	1	pr5		21	50	pr127	1002	5	3	pr66		2	4	pr174		11	15	pr8		11	15	pr7		11	15																					0
Snakehair		1		10	1	22	14	8@K 		(Tier 2)						5	5000	dgrn	dgrn			so0		so0	pr133		2	2	pr5		51	80	pr127	1002	6	7	pr66		5	7	pr174		16	20	pr8		16	20	pr7		16	20																					0
Snakehair		1		10	1	37	23	9@K 		(Tier 3)						5	5000	dgrn	dgrn			so0		so0	pr133		3	3	pr5		81	110	pr127	1002	7	11	pr66		8	10	pr174		21	25	pr8		21	25	pr7		21	25																					0
Snakehair		1		10	1	52	31	1@L 		(Tier 4)						5	5000	dgrn	dgrn			so0		so0	pr133		3	3	pr5		111	140	pr127	1002	8	15	pr66		11	13	pr174		26	30	pr8		26	30	pr7		26	30																					0
Snakehair		1		10	1	66	40	2@L 		(Tier 5)						5	5000	dgrn	dgrn			so0		so0	pr133		4	4	pr5		141	170	pr127	1002	9	19	pr66		14	16	pr174		31	35	pr8		31	35	pr7		31	35																					0
Snakehair		1		10	1	82	49	3@L 		(Tier 6)						5	5000	dgrn	dgrn			so0		so0	pr133		4	4	pr5		171	200	pr127	1002	10	23	pr66		17	19	pr174		36	40	pr8		36	40	pr7		36	40																					0
Crest of Arnazeus		1		10	1	120	100	4@L 		(Sacred) SU						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		201	250	pr126	542	100	17	pr215		15	15	pr193		5	5	pr134		250	500	pr136		250	500	pr126	450	5	12	pr31		31	50	pr137	15	250	500									0
New2KharosBloodskull		1		4	1	120	100	4@L 		(Sacred) SSU						5	5000	cred	cred			so0		so0	pr133		4	4	pr5		201	250	pr75		-40	-40	pr192		51	70	pr125	284	40	40	pr389		1	1	pr87		-20	-20	pr183		31	40	pr206		31	40	pr3		31	40									0
CervelliereSU3		1		1	1	120	100	4@L 		(Sacred) SSSU						5	5000	dgld	dgld			so0		so0	pr133		4	4	pr293		-100	-100	pr320		22	22	pr134		222	555	pr137		222	555	pr135		222	555	pr67		1	2	pr42		5	5	pr4		5	5	pr266		5	5	pr66		10	15					0
Hellfeast		1		10	1	8	5	j23 		(Tier 1)						5	5000	lred	lred			so0		so0	pr133		1	1	pr388	76	76	76	pr29		41	70	pr27		21	25	pr221		11	15	pr28		26	40	pr66		3	6	pr197	313	25	4	pr171		11	15	pr126	451	15	3									0
Hellfeast		1		10	1	23	15	j40 		(Tier 2)						5	5000	lred	lred			so0		so0	pr133		2	2	pr388	76	76	76	pr29		71	100	pr27		26	30	pr221		16	20	pr28		41	55	pr66		7	10	pr197	313	30	8	pr171		16	20	pr126	451	19	7									0
Hellfeast		1		10	1	38	24	j57 		(Tier 3)						5	5000	lred	lred			so0		so0	pr133		2	2	pr388	76	76	76	pr29		101	130	pr27		31	35	pr221		21	25	pr28		56	70	pr66		11	14	pr197	313	35	12	pr171		21	25	pr126	451	23	11									0
Hellfeast		1		10	1	52	33	j74 		(Tier 4)						5	5000	lred	lred			so0		so0	pr133		2	2	pr388	76	76	76	pr29		131	160	pr27		36	40	pr221		26	30	pr28		71	85	pr66		15	18	pr197	313	40	16	pr171		26	30	pr126	451	27	15									0
Hellfeast		1		10	1	67	42	j91 		(Tier 5)						5	5000	lred	lred			so0		so0	pr133		2	2	pr388	76	76	76	pr29		161	190	pr27		41	45	pr221		31	35	pr28		86	100	pr66		19	22	pr197	313	45	20	pr171		31	35	pr126	451	31	19									0
Hellfeast		1		10	1	82	52	o18 		(Tier 6)						5	5000	lred	lred			so0		so0	pr133		3	3	pr388	76	76	76	pr29		191	220	pr27		46	50	pr221		36	40	pr28		101	115	pr66		23	26	pr197	313	50	24	pr171		36	40	pr126	451	35	23									0
Noblebane		1		10	1	120	100	93@ 		(Sacred) SU						5	5000	lyel	lyel			so0		so0	pr133		3	3	pr388	76	76	76	pr29		251	300	pr140		150	300	pr219		21	30	pr13		500	500	pr11		500	500	pr222		21	30	pr104		3	4	pr57		30	30	pr16		1	1					0
NewCactus		1		4	1	120	100	93@ 		(Sacred) SSU						5	5000	dgrn	dgrn			so0		so0	pr133		3	3	pr388	76	76	76	pr29		251	300	pr140		150	300	pr128	779	25	10	pr174		100	100	pr114		20	20	pr107		100	100	pr326		5	5	pr127	330	1	59	pr88		50	50	pr96		150	150	0
CestusSU3		1		1	1	120	100	93@ 		(Sacred) SSSU						5	5000	cred	cred			so0		so0	pr133		3	3	pr388	76	76	76	pr183		1	30	pr171		50	50	pr13		300	300	pr190		10	50	pr41		25	25	pr123	335	5	10	pr123	339	5	10	pr32		10	10	pr122		1	2	pr87		30	30	0
Lionpaw2		1		10	1	7	4	639 		(Tier 1)						5	5000	lgld	lgld			so0		so0	pr133		1	1	pr5		31	50	pr190		7	10	pr222		3	5	pr58		41	75	pr13		31	50	pr11		31	50																					0
Lionpaw2		1		10	1	22	13	685 		(Tier 2)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		51	70	pr190		11	14	pr222		6	8	pr58		76	110	pr13		51	70	pr11		51	70																					0
Lionpaw2		1		10	1	36	22	731 		(Tier 3)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		71	90	pr190		15	18	pr222		9	11	pr58		111	145	pr13		71	90	pr11		71	90																					0
Lionpaw2		1		10	1	51	31	777 		(Tier 4)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		91	110	pr190		19	22	pr222		12	14	pr58		146	180	pr13		91	110	pr11		91	110																					0
Lionpaw2		1		10	1	66	39	823 		(Tier 5)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		111	130	pr190		23	26	pr222		15	17	pr58		181	215	pr13		111	130	pr11		111	130																					0
Lionpaw2		1		10	1	79	48	869 		(Tier 6)						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		131	150	pr190		27	30	pr222		18	20	pr58		216	250	pr13		131	150	pr11		131	150																					0
Toesie Warmer		1		10	1	120	100	@40 		(Sacred) SU						5	5000	cred	cred			so0		so0	pr133		4	4	pr197	311	10	57	pr31		31	50	pr218		21	25	pr78		25	25	pr134		150	400	pr222		11	15	pr5		151	200																	0
NewClawfeet		1		4	1	120	100	@40 		(Sacred) SSU						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		251	300	pr233		150	150	pr234		50	50	pr121		1	1	pr140		50	150	pr262		50	50	pr57		10	10	pr78		30	30	pr96		50	50									0
ChainBootsSU3		1		1	1	120	100	@40 		(Sacred) SSSU						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		201	250	pr122			2	pr67			2	pr71			2	pr121			2	pr69			2	pr70			2	pr68			2	pr78		50	50	pr14		10	10	pr4		10	10	0
Featherclaw		1		10	1	8	5	634 		(Tier 1)						5	5000	oran	oran			so0		so0	pr133		1	1	pr5		31	50	pr63		101	150	pr78		15	15	pr107		3	5	pr8		6	10	pr96		21	50	pr57		5	5																	0
Featherclaw		1		10	1	22	13	680 		(Tier 2)						5	5000	oran	oran			so0		so0	pr133		2	2	pr5		51	70	pr63		151	200	pr78		20	20	pr107		6	8	pr8		11	15	pr96		51	80	pr57		10	10																	0
Featherclaw		1		10	1	37	22	726 		(Tier 3)						5	5000	oran	oran			so0		so0	pr133		2	2	pr5		71	90	pr63		201	250	pr78		25	25	pr107		9	11	pr8		16	20	pr96		81	110	pr57		15	15																	0
Featherclaw		1		10	1	51	31	772 		(Tier 4)						5	5000	oran	oran			so0		so0	pr133		3	3	pr5		91	110	pr63		251	300	pr78		30	30	pr107		12	14	pr8		21	25	pr96		111	140	pr57		20	20																	0
Featherclaw		1		10	1	66	40	818 		(Tier 5)						5	5000	oran	oran			so0		so0	pr133		3	3	pr5		111	130	pr63		301	350	pr78		35	35	pr107		15	17	pr8		26	30	pr96		141	170	pr57		25	25																	0
Featherclaw		1		10	1	80	48	864 		(Tier 6)						5	5000	oran	oran			so0		so0	pr133		4	4	pr5		131	150	pr63		351	400	pr78		40	40	pr107		18	20	pr8		31	35	pr96		171	200	pr57		30	30																	0
Deadman's Hand		1		10	1	120	100	@35 		(Sacred) SU						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr5		201	250	pr216		11	15	pr81		20	20	pr104		1	1	pr126	330	5	36	pr96		41	50	pr114		5	5																	0
Facebreaker		1		4	1	120	100	@35 		(Sacred) SSU						5	5000	dred	dred			so0		so0	pr133		4	4	pr5		201	250	pr108		11	15	pr326		1	1	pr215		15	15	pr216		-10	-10	pr4		5	5	pr220		125	125																	0
ChainGlovesSU3		1		1	1	120	100	@35 		(Sacred) SSSU						5	5000	dblu	dblu			so0		so0	pr133		4	4	pr5		201	250	pr81		30	40	pr104		1	2	pr58		250	250	pr78		25	25	pr193		10	15	pr191		20	20	pr53		100	100	pr3		50	100	pr41		21	30	pr88		50	50	0
Albrecht's Revenge		1		10	1	7	4	606 		(Tier 1)						5	5000	blac	lblu			so0		so0	pr133		2	2	pr5		31	50	pr75		-11	-15	pr117	728	8	10	pr17		11	25	pr18		41	50	pr35		21	25	pr127	492	5	1	pr111		7	15													0
Albrecht's Revenge		1		10	1	22	13	652 		(Tier 2)						5	5000	blac	lblu			so0		so0	pr133		3	3	pr5		51	70	pr75		-16	-20	pr117	728	11	13	pr17		26	50	pr18		51	100	pr35		26	30	pr127	492	6	1	pr111		16	24													0
Albrecht's Revenge		1		10	1	37	22	698 		(Tier 3)						5	5000	blac	lblu			so0		so0	pr133		4	4	pr5		71	90	pr75		-21	-25	pr117	728	14	16	pr17		51	100	pr18		101	200	pr35		31	35	pr127	492	7	1	pr111		25	33													0
Albrecht's Revenge		1		10	1	51	31	744 		(Tier 4)						5	5000	blac	lblu			so0		so0	pr133		4	4	pr5		91	110	pr75		-26	-30	pr117	728	17	19	pr17		101	200	pr18		201	400	pr35		36	40	pr127	492	8	1	pr111		34	42													0
