Stat	ID	* Laz / comments	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is318	318			1	3													1024																						55	3		PlugYCustomDefense	PlugYCustomDefense									0
is319	319			1	3													1024																						55	3		PlugYCustomOther	PlugYCustomOther									0
is320	320			1	3													1024																																			0
is321	321			1	3													1024																																			0
is322	322			1	3													1024																																			0
is323	323			1	3													1024																																			0
is324	324			1	6													1024		6		6												1	1																		0
is325	325			1	16													1024																																			0
is326	326			1	5													1024																	1																		0
is327	327			1	8													1024																																			0
is328	328			1	6													1024																																			0
is329	329			1	12											162	60	1024		8		8	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk		5	4	1	ModitemAllsk	ModitemAllsk			0
is330	330			1	12											162	60	1024		8		8	50																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk		5	4	1	ModitemAllsk	ModitemAllsk			0
is331	331			1	12											162	60	1024		8		8	50																	88	4	1	ModitemdamColdsk	ModitemdamColdsk		5	4	1	ModitemAllsk	ModitemAllsk			0
is332	332			1	12											162	60	1024		8		8	50																	88	4	1	ModitemdamPoissk	ModitemdamPoissk		5	4	1	ModitemAllsk	ModitemAllsk			0
is333	333			1	9												2578	1024		8		8																		88	20	1	Moditemenresfiresk	Moditemenresfiresk		6	20	1	ModitemResallsk	ModitemResallsk			0
is334	334			1	9												2493	1024		8		8																		88	20	1	Moditemenresltngsk	Moditemenresltngsk		6	20	1	ModitemResallsk	ModitemResallsk			0
is335	335			1	9												1984	1024		8		8																		88	20	1	Moditemenrescoldsk	Moditemenrescoldsk		6	20	1	ModitemResallsk	ModitemResallsk			0
is336	336			1	9												2345	1024		8		8																		88	20	1	Moditemenrespoissk	Moditemenrespoissk		6	20	1	ModitemResallsk	ModitemResallsk			0
is337	337			1	9													1024		8		8																															0
is338	338			1	9											8	14	1024		7		8																		40	2	1	ModitemArrrgh	ModitemArrrgh		8	2	1	ModitemAvoidance	ModitemAvoidance			0
is339	339			1	9											8	14	1024		7		8																		40	2	1	ModitemArrrgh	ModitemArrrgh		8	2	1	ModitemAvoidance	ModitemAvoidance			0
is340	340			1	9											8	14	1024		7		8																		40	2	1	ModitemArrrgh	ModitemArrrgh		8	2	1	ModitemAvoidance	ModitemAvoidance			0
is341	341			1	9													1024		8		8																															0
is342	342			1	11	8												1024		8		8																															0
is343	343			1	11	8										15	207	1024		8		8																								4	3						0
is344	344			1	9	8												1024		8		8																															0
is345	345			1	11	8												1024		8		8																															0
is346	346			1	11	8										15	207	1024		8		8																															0
is347	347			1	9	8												1024		8		8																															0
is348	348			1	9	8												1024		8		8																															0
is349	349			1	9											522	180	1024		9		9																															0
is350	350				9													1024																																			0
is351	351				8													1024																																			0
is352	352			1	8													1024																																			0
is353	353				5													1024																																			0
is354	354				32													1024																																			0
is355	355				16													1024																																			0
is356	356																	1024				2																															0
is357	357			1	12											1211	431	1024		8		9	50																														0
is358	358			1	9												2812	1024		8		8																															0
is359	359	none		1	11											47	20	1024		9		9	50			11			is0											74	2	1	Modstrpercent	Modstrpen		3	2	1	ModitemAllpercents				0
is360	360	none		1	11											47	20	1024		9		9	50			11			is2											74	2	1	Moddexpercent	Moddexpen		3	2	1	ModitemAllpercents				0
is361	361	none		1	11											47	20	1024		9		9	50			11			is1											74	2	1	Modenrpercent	Modenrpen		3	2	1	ModitemAllpercents				0
is362	362	none		1	11											47	20	1024		9		9	50			11			is3											74	2	1	Modvitpercent	Modvitpen		3	2	1	ModitemAllpercents				0
is363	363	none		1	7							1				101	40	1024		7		8	50													ev1	19			12	2	2	Moditemslowthorns	Moditemslowthorns									0
is364	364	none		1	8							1				55	10	1024		7	-1	7	25													ev1	8			79	2	2	Moditemhowlthorns	Moditemhowlthorns									0
is365	365	none		1	5							1				2804	307	1024		5		5	5												1	ev1	14			78	12	2	Moditembrrr	Moditembrrr									0
is366	366	none		1	5							1				666	98	1024		5		8	50												1	ev1	9			80	12	2	ModitemBlindthorns	ModitemBlindthorns									0
is367	367	may not apply cold length		1	6							1				4	102	1024		5		10														ev1	12			14	3	2	ModitemColdThorns	ModitemColdThorns		14	3	2	ModitemAllThorns				0
is368	368	none		1	6							1				4	102	1024		5		10														ev1	11			14	3	2	ModitemFireThorns	ModitemFireThorns		14	3	2	ModitemAllThorns				0
is369	369	c		1	12											13	4	1024		5		5																															0
is370	370	c		1	12											13	4	1024		5		5																															0
is371	371	1.E9 NEW		1	7	17						1			2	190	256	1024		21		7		17											1	ev7	20	ev8	20	235	3		ModitemAmazingGrace	ModitemAmazingGrace									0
is372	372	desc only		1	12											8	2	1024		1		1																		159	3		ModitemDBString	ModitemDBString									0
is373	373	desc only		1	12											8	2	1024		1		1																		3	3		ModitemDeathmarch	ModitemDeathmarch									0
is374	374	desc only		1	12											8	2	1024		1		1																		3	3		ModitemJudasDesc	ModitemJudasDesc									0
is375	375			1	5											3	3	1024		2		2																		180	3		ModitemNoUpgradesLol	ModitemNoUpgradesLol									0
is376	376	NEWLY ADDED IN 004		1	7							1				101	40	1024		7		8	50												1	ev7	19			77	2	2	DescSlowVariantMelee	DescSlowVariantMelee									0
is377	377	skills.txt		1	12											162	60	1024		8		9	50																	88	4	1	ModitemdamPMsk	ModitemdamPMsk		5	4	1	ModitemAllsk				0
is378	378	skills.txt		1	12											701	440	1024		1		8																		150	4	1	ModitemVanquish	ModitemVanquish									0
is379	379	1.B9 DEPRECATED		1	12											599	170	1024		1		5																		150	3		ModitemBroken	ModitemBroken									0
is380	380	skills.txt		1	12											662	181	1024		1		8																		149	4	1	ModitemBloodlustDmg	ModitemBloodlustDmg									0
is381	381	skills.txt		1	12											662	181	1024		1		8																		149	4	1	ModitemBloodlustElem	ModitemBloodlustElem									0
is382	382	c		1	12											13	4	1024		5		5																															0
is383	383	c		1	12											13	4	1024		5		5																															0
is384	384	skills.txt		1	12													1024		1		8																		150	2	1	ModitemHolyArmor2	ModitemHolyArmor2									0
is385	385	skills.txt		1	12											116	18	1024		1		2																		10	3		ModitemStateLockout	ModitemStateLockout									0
is386	386	skills.txt		1	12													1024		1		8																															0
is387	387	skills.txt		1	12											662	181	1024		1		8																		149	4	1	ModitemMotwDmg	ModitemMotwDmg									0
is388	388	skills.txt		1	12											662	181	1024		1		8																		149	4	1	ModitemMotwElem	ModitemMotwElem									0
is389	389	skills.txt		1	12											160	58	1024		8		10																		122	2	1	ModitemMotwDur	ModitemMotwDur									0
is390	390	skills.txt		1	12											4	102	1024		1		5																		150	1	1	ModitemMaxSummon	ModitemMaxSummon									0
is391	391	skills.txt		1	12											9	121	1024		1		10																		94	2	1	ModitemHexDur	ModitemHexDur									0
is392	392	skills.txt		1	12											503	160	1024		1		2																		150	3		ModitemHalvedAT	ModitemHalvedAT									0
is393	393	c		1	12											13	4	1024		5		5																															0
is394	394	skills.txt		1	12													1024		1		8																															0
is395	395	skills.txt		1	12													1024																																			0
is396	396	technical - not suited for affixes		1	12													1024																																			0
is397	397	c		1	12											13	4	1024		5		5																															0
is398	398	c		1	12											13	4	1024		5		5																															0
is399	399	skills.txt		1	12											512	133	1024		1		8																		148	4	1	ModitemSearingSyn	ModitemSearingSyn									0
is400	400	c		1	12											13	4	1024		5		5																															0
is401	401	c		1	12											13	4	1024		5		5																															0
is402	402	skills.txt		1	12											81	60	1024		1		8																		149	1	1	ModitemMissMiss	ModitemMissMiss									0
is403	403	c		1	12											13	4	1024		5		5																															0
is404	404	none		1	6											43	42	1024		6		10				4	5	is12	is329											88	7	1	ModitemdamFiresk	ModitemdamFiresk	increaseswithplaylevelX								0
is405	405	none		1	6											43	42	1024		6		10				4	5	is12	is330											88	7	1	ModitemdamLtngsk	ModitemdamLtngsk	increaseswithplaylevelX								0
is406	406	none		1	6											43	42	1024		6		10				4	5	is12	is331											88	7	1	ModitemdamColdsk	ModitemdamColdsk	increaseswithplaylevelX								0
is407	407	none		1	6											43	42	1024		6		10				4	5	is12	is332											88	7	1	ModitemdamPoissk	ModitemdamPoissk	increaseswithplaylevelX								0
is408	408	c		1	12											13	4	1024		5		5																															0
is409	409	skills.txt		1	12											668	190	1024		8	50	8	50																	125	2	1	ModitemDurMod	ModitemDurMod									0
is410	410	technical - not suited for affixes		1	12													1024		1		8																															0
is411	411	technical - not suited for affixes		1	12													1024																																			0
is412	412	resonance buff		1	12											15	3	1024		10		10																															0
is413	413	misc.txt		1	12											33	6	1024		8		8																		50	2	1	ModitemMary	ModitemMary									0
is414	414	misc.txt		1	12											33	6	1024		8		8																		49	2	1	ModitemPagan	ModitemPagan									0
is415	415	technical - not suited for affixes		1	12													1024																																			0
is416	416	states.txt		1	12													1024																																			0
is417	417	skills.txt		1	12													1024																																			0
is418	418	cubemain.txt		1	12											8	2	1024		2		2																		225	3		ModitemNeedsLCed	ModitemNeedsLCed									0
is419	419	hard mode challenge counter		1	12											11	7	1024		8		8																		3	3		DescWtfIsThis	DescWtfIsThis									0
is420	420	technical - not suited for affixes		1	12													1024																																			0
is421	421	black road fodder		1	12											666	13	1024		2		2	2																	228	3		DescBlack1	DescBlack1		12	3		ModItemWhyMe				0
is422	422	black road fodder		1	12											666	13	1024		2		2	2																	227	3		DescBlack2	DescBlack2		12	3		ModItemWhyMe				0
is423	423	black road fodder		1	12											666	13	1024		2		2	2																	225	3		DescBlack3	DescBlack3		12	3		ModItemWhyMe				0
is424	424	black road fodder		1	12											666	13	1024		2		2	2																	224	3		DescBlack4	DescBlack4		12	3		ModItemWhyMe				0
is425	425	black road fodder		1	12											666	13	1024		2		2	2																	226	3		DescBlack5	DescBlack5		12	3		ModItemWhyMe				0
is426	426	black road fodder		1	12											666	13	1024		2		2	2																	2	3		DescBlack6	DescWhatsUpBro									0
is427	427	black road fodder		1	12											666	13	1024		2		2	2																	2	3		DescBlack7	Desc_Ultimative_You_Won									0
is428	428	black road fodder		1	12													1024																																			0
is429	429	skills.txt		1	12											8	2	1024		8		8																		18	4	1	ModitemRejuvSyn	ModitemRejuvSyn									0
is430	430	misc.txt		1	12											33	6	1024		8		8																		50	1	1	ModitemPaganB	ModitemPaganB									0
is431	431	skills.txt		1	12											8	2	1024		8	50	9	50																	149	4	1	ModitemPASyn	ModitemPASyn									0
is432	432	none		1	6											43	42	1024		6		10				4	5	is12	is32											88	6	1	ModStr6a	ModStr6a	increaseswithplaylevelX								0
is433	433	states.txt		1	12													1024																																			0
is434	434	states.txt		1	12													1024																																			0
is435	435	states.txt		1	12													1024																																			0
is436	436	states.txt		1	12													1024																																			0
is437	437	states.txt		1	12													1024																																			0
is438	438	skills.txt		1	12													1024																																			0
is439	439	none		1	7							1				12	3	1024		8		8														ev1	28			14	1	1	ModitemHealThorns	ModitemHealThorns									0
is440	440	none		1	7							1				12	3	1024		8		8														ev1	17			13	1	1	ModitemManaThorns	ModitemManaThorns									0
is441	441	skills.txt		1	12											99	70	1024		6		6	5																	79	1	1	ModitemExtraPets	ModitemExtraPets		11	1	1	ModitemExtraAllPets	ModitemExtraAllPets			0
is442	442	automagic.txt		1	6											8	2	1024		6		10				2	8	is0	is25											130	2	2	ModitemStrBBB	ModitemStrBBB									0
is443	443	cubemain.txt		1	12											8	2	1024		8		8																		229	3		ModitemUpgraded	ModitemUpgraded									0
is444	444	skills.txt		1	12											109	82	1024		9		9	50																	75	4	1	ModitemHPMinBonus	ModitemHPMinPenality									0
is445	445	skills.txt		1	12											99	70	1024		6		6																		66	1	1	ModitemMoreBarbs	ModitemMoreBarbs		11	1	1	ModitemExtraAllPets	ModitemExtraAllPets			0
is446	446	skills.txt		1	12											104	116	1024		8		8																		75	4	1	ModitemSPSyn	ModitemSPSyn									0
is447	447	skills.txt		1	12													1024																																			0
is448	448	skills.txt		1	12													1024																																			0
is449	449	skills.txt		1	12											24	11	1024		8		8																		33	4	1	ModitemMoonstrikeSyn	ModitemMoonstrikeSyn									0
is450	450	itemstatcost.txt		1	6											132	128	1024		6		10				2	5	is212	is0											57	6	1	ModStr1a	ModStr1a	ModitemLionessSyn								0
is451	451	skills.txt		1	12													1024																																			0
is452	452	skills.txt		1	12													1024																																			0
is453	453	skills.txt		1	12													1024																																			0
is454	454	skills.txt		1	12													1024																																			0
is455	455	skills.txt		1	12													1024																																			0
is456	456	skills.txt		1	12													1024																																			0
is457	457	skills.txt		1	12													1024																																			0
is458	458	c		1	12											13	4	1024		5		5																															0
is459	459	c		1	12											13	4	1024		5		5																															0
is460	460	c		1	12											13	4	1024		5		5																															0
is461	461	c		1	12											13	4	1024		5		5																															0
is462	462	c		1	12											13	4	1024		5		5																															0
is463	463	c		1	12											13	4	1024		5		5																															0
is464	464	c		1	12											13	4	1024		5		5																															0
is465	465	c		1	12											13	4	1024		5		5																															0
is466	466	c		1	12											13	4	1024		5		7																															0
is467	467	misc.txt		1	12											33	6	1024		10		10																		49	4	1	ModitemElix	ModitemElix									0
is468	468	skills.txt		1	12													1024				8																		137	2	1	ModitemVDmgSyn	ModitemVDmgSyn									0
is469	469	skills.txt		1	12													1024				8																		138	1	1	ModitemVTgtSyn	ModitemVTgtSyn									0
is470	470	skills.txt		1	12											109	82	1024		9	50	9	50																	75	4	1	ModitemDmgMinBonus	ModitemDmgMinBonus									0
is471	471	cubemain.txt		1	12											8	2	1024		2	1	2	1																	149	3		ModitemNeedsUpgraded	ModitemNeedsUpgraded									0
is472	472	cubemain.txt		1	12											8	2	1024		8		8																															0
is473	473	skills.txt		1	12											11	3	1024		8		8																		230	3		ModitemLernEnnead	ModitemLernEnnead									0
is474	474	skills.txt		1	12											11	3	1024		8		8																		230	3		ModitemLearnBlackroad	ModitemLearnBlackroad									0
is475	475	desc only		1	12													1024		1		1																		234	3		ModitemDruidString	ModitemDruidString									0
is476	476	desc only		1	12													1024		1		1																		159	3		ModitemDBA	ModitemDBA									0
is477	477	desc only		1	12													1024		4	1	4	1																	2	3		ModitemIncDif	DescBlack7									0
is478	478	desc only		1	12													1024		1		1																		159	3		ModitemJollyRoger	ModitemJollyRoger									0
is479	479	skills.txt		1	12											404	118	1024		3		4																		69	3	2	ModitemMorSkillz	ModitemMorSkillz									0
is480	480	itemstatcost.txt		1	12											902	227	1024		5		5																		75	1	1	ModitemParagon	ModitemParagon									0
is481	481	itemstatcost.txt		1	12											902	227	1024		5		5																		74	4	1	ModitemRunemaster	ModitemRunemaster									0
is482	482	hidden bonus		1	6													1024		6		10				2	5	is480	is3																								0
is483	483	hidden bonus		1	6													1024		6		10				4	5	is481	is182																								0
is484	484	desc only		1	12													1024		1		1																		157	3		ModitemSpinalTap	ModitemSpinalTap									0
is485	485	skills.txt		1	12											3	2	1024		7		9	50																	195	1	1	ModitemEnrFactor	ModitemEnrFactor									0
is486	486	none		1	7							1						1024																		ev2	28																0
is487	487	skills.txt		1	12											109	82	1024		9		9	25																	75	4	1	ModitemResMinBonus	ModitemResMinBonus									0
is488	488	none		1	11											1012	290	1024		9		9	50			11			is485											157	4	1	ModitemEFPct	ModitemEFPct									0
is489	489	none		1	16							1				112	128	1024		7		10														ev5	6	ev8	6	13	3	2	ModitemDoomed	ModitemDoomed									0
is490	490			1	12													1024		1		1																		157	3		ModitemDescLifecost	ModitemDescLifecost									0
is491	491			1	12													1024		3		3																		2	3		ModitemHasStardragon	ModitemHasStardragon									0
is492	492	misc.txt		1	12											902	233	1024		8		8	50																	31	4	1	ModitemFasterPots	ModitemSlowerPots									0
is493	493	none		1	7							1				41	33	1024		8		8	50													ev2	19			74	2	2	ModitemSlowsRangedAt	ModitemSlowsRangedAt									0
is494	494	none		1	7							1						1024																		ev3	19																0
is495	495	desc only		1	12													1024		1		1																		234	3		ModitemSorcieString	ModitemSorcieString									0
is496	496	1.B9 NEW		1	12											117	99	1024		9	1	9	1																		3		ModitemSuchbalance	ModitemSuchbalance									0
is497	497	skills.txt		1	12													1024																																			0
is498	498	skills.txt		1	12											888	406	1024		9		9																		14	2	1	ModitemCotsWhenPact	ModitemCotsWhenPact									0
is499	499			1	6											105	128	1024		6		10				2	5	is12	is1											60	6	1	ModStr1d	ModStr1d	increaseswithplaylevelX								0
is500	500	skills.txt		1	12											87	92	1024		8		8	100																	106	4	1	ModitemMinionAttack	ModitemMinionAttack									0
is501	501	skills.txt		1	12													1024				10	23																	55	3	2	ModItemShrineCount	ModItemShrineCountEmpty									0
is502	502	skills.txt		1	12													1024																																			0
is503	503	none		1	6											132	128	1024		6		10				2	5	is502	is0											66	6	1	ModStr1a	ModStr1a	ModitemStrBL								0
is504	504	none		1	6											105	128	1024		6		10				2	5	is502	is2											62	6	1	ModStr1b	ModStr1b	ModitemStrBL								0
is505	505	none		1	6											221	136	1024		6		10				2	5	is12	is74											60	6	2	ModStr2l	ModStr2w	increaseswithplaylevelX								0
is506	506	skills.txt		1	12											8	2	1024		1		1																		234	3		IMAMOTHERFUCKINGMONSTAR	IMAMOTHERFUCKINGMONSTAR									0
is507	507	skills.txt		1	12													1024																																			0
is508	508			1	12											8	2	1024		1		1																		234	3		1553755050	DescBlack7									0
is509	509			1	16											112	8	1024		6	10	10	500			11			is7											250	3		FUCKYOUFUCKYOU	FUCKYOUFUCKYOU									0
