Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	* Laz / status	* Laz / new	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
ms729	729	ms727	ms730	2	BoneArcher	ms623	mp23	mt9	ma37	mon_coldhit	SK  			1	1												2	4		5	5	1	21	55	120	mo107	mo107	10	3	2	1	80	80	80	85	90	95	3	2	1	10	10	10	5	5	5	40	40	40										ml198									1				1		1				1			1	1																																	100	100	100	-20	-20	-20											100						100						25	25	25		80	100	100	80	100	105	100							80	100	100	80	60	77	100							190	200	100	80	20	50	100							A1	cold	100	20	40	15	100	40	60	30	100	60	80	45																													Act 2 Miss B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Miss B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Miss B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
ms730	730	ms727	ms731	3	BurningDeadArcher	ms624	mp23	mt9	ma37	mon_firehit	SK  			1	1												2	4		6	6	1	35	74	120	mo107	mo107	10	3	2	1	80	80	80	90	95	100	3	2	1	10	10	10	5	5	5	40	40	40										ml199									1				1		1				1			1	1																																	100	100	100	-20	-20	-20			100						100						100								35	35	35		80	100	100	80	100	105	100							80	100	100	80	60	77	100							190	200	100	80	20	50	100							A1	fire	100	25	50		100	45	70		100	65	90																														Act 5 Miss A	Act 5 Champ A	Act 5 Unique A		Act 5 (N) Miss A	Act 5 (N) Champ A	Act 5 (N) Unique A		Act 5 (H) Miss A	Act 5 (H) Champ A	Act 5 (H) Unique A								0
ms731	731	ms727	ms1162	4	HorrorArcher	ms625	mp23	mt9	ma37	mon_lightninghit	SK  			1	1												2	4		6	6	1	37	74	120	mo107	mo107	10	3	2	1	80	80	80	95	100	100	3	2	1	10	10	10	5	5	5	40	40	40										ml200									1				1		1				1			1	1																																	100	100	100	-20	-20	-20				100						100						100							45	45	45		80	100	100	80	100	105	100							80	100	100	80	60	77	100							190	200	100	80	20	50	100							A1	ltng	100	1	80		100	1	120		100	1	160																														Act 5 Miss A	Act 5 Champ A	Act 5 Unique A		Act 5 (N) Miss A	Act 5 (N) Champ A	Act 5 (N) Unique A		Act 5 (H) Miss A	Act 5 (H) Champ A	Act 5 (H) Unique A								0
ms732	732	ms732	ms733		BalrogBsd	ms626	mp28	mt51	ma89	mon_immolation	DM  			1													3	5		6	6	1	34	71	120	mo82	mo82	10	3	2	1	80	80	80	95	95	95	25	25	25	95	95	95	70	70	70	100	100	100	25	25	25																1				1				1		1			1	1		1							sk518	A1	2																						100	100	100	-20	-20	-20		100						100						100									39	39	39		130	170	110	100	120	170	200							130	170	110	100	120	170	200							215	235	110	100	120	170	200							A1	fire	100	70	90		100	70	90		100	70	90																														Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms733	733	ms732	ms734	1	Guardian	ms627	mp29	mt51	ma89	mon_immolation	DM  			1													3	5		8	8	1	35	73	120	mo82	mo82	10	3	2	1	80	80	80	95	95	95	25	25	25	95	95	95	70	70	70	100	100	100	25	25	25																1				1				1		1			1	1		1							sk518	A1	2																						100	100	100	-20	-20	-20			100						100						100								39	39	39		130	170	110	100	120	170	200							130	170	110	100	120	170	200							215	235	110	100	120	170	200							A1	fire	100	70	90		100	70	90		100	70	90																														Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms734	734	ms732	ms735	2	InfernalLord	ms628	mp30	mt51	ma89	mon_immolation	DM  			1													3	5		6	6	1	37	75	120	mo82	mo82	10	3	2	1	80	80	80	95	95	95	25	25	25	95	95	95	70	70	70	100	100	100	25	25	25																1				1				1		1			1	1		1							sk518	A1	2																						100	100	100	-20	-20	-20			100						100						100								39	39	39		130	170	110	100	120	170	200							130	170	110	100	120	170	200							215	235	110	100	120	170	200							A1	fire	100	70	90		100	70	90		100	70	90																														Act 5 H2H B	Act 5 Champ B	Act 5 Unique B		Act 5 (N) H2H B	Act 5 (N) Champ B	Act 5 (N) Unique B		Act 5 (H) H2H B	Act 5 (H) Champ B	Act 5 (H) Unique B								0
ms735	735	ms732	ms1155	1	VortexLord	ms629	mp31	mt51	ma89	mon_immolation	DM  			1													3	5		9	9	1	49	81	120	mo82	mo82	10	3	2	1	80	80	80	95	95	95	25	25	25	95	95	95	70	70	70	100	100	100	25	25	25																1				1				1		1			1	1		1							sk518	A1	2																						100	100	100	-20	-20	-20				100						100						100							39	39	39		130	170	110	100	120	170	200							130	170	110	100	120	170	200							215	235	110	100	120	170	200							A1	fire	100	120	140		100	120	140		100	120	140																														Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
ms736	736	ms736	ms737	3	ThunderBeetle	ms630	mp23	mt29	ma20	mon_thunderltng	SC  			1													2	5		5	5	1	18	54	120	mo104	mo104	10	3	2	1	80	80	80	95	100	100	50	50	50	3	2	1	35	40	45	35	40	45																			1	1			1									1	1							1		sk573	A1	1																						100	100	100	-20	-20	-20									100						100								15	15	15		100	120	100	100	120	150	200	120	150	200	120	150	100	100	120	100	100	120	150	200	120	150	200	120	150	150	200	210	100	100	120	150	200	120	150	200	120	150	200	A1	ltng	100	1	40		100	1	60		100	1	80																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
ms737	737	ms736	ms738		UnholyScarab	ms631	mp23	mt29	ma20	mon_thunderltng	SC  			1													2	5		5	5	1	25	60	120	mo104	mo104	10	3	2	1	80	80	80	95	100	100	50	50	50	3	2	1	40	45	50	40	45	50																			1	1			1									1	1							1		sk573	A1	1																						100	100	100	-20	-20	-20											100						100						15	15	15		100	120	100	100	120	150	200	120	150	200	120	150	100	100	120	100	100	120	150	200	120	150	200	120	150	150	200	210	100	100	120	150	200	120	150	200	120	150	200	A1	ltng	100	1	40		100	1	60		100	1	80																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
ms738	738	ms736	ms739	2	TombGuardian	ms632	mp23	mt29	ma20	mon_thunderltng	SC  			1													2	5		5	5	1	25	61	120	mo104	mo104	10	3	2	1	80	80	80	95	100	100	50	50	50	3	2	1	40	45	50	40	45	50																			1	1			1									1	1							1		sk573	A1	1																						100	100	100	-20	-20	-20									100						100								15	15	15		100	120	100	100	120	150	200	120	150	200	120	150	100	100	120	100	100	120	150	200	120	150	200	120	150	150	200	210	100	100	120	150	200	120	150	200	120	150	200	A1	ltng	100	1	40		100	1	60		100	1	80																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
ms739	739	ms736	ms740	1	EmeraldScarab	ms633	mp23	mt29	ma20	mon_thunderltng	SC  			1													2	5		6	6	1	30	66	120	mo104	mo104	10	3	2	1	80	80	80	100	100	100	50	50	50	3	2	1	50	55	60	50	55	60																			1	1			1									1	1							1		sk573	A1	1																						100	100	100	-20	-20	-20				100						100						100							15	15	15		100	120	100	100	120	150	200	120	150	200	120	150	100	100	120	100	100	120	150	200	120	150	200	120	150	150	200	210	100	100	120	150	200	120	150	200	120	150	200	A1	ltng	100	1	40		100	1	60		100	1	80																														Act 3 H2H C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) H2H C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) H2H C	Act 3 (H) Champ C	Act 3 (H) Unique C								0
ms740	740	ms736	ms1140	4	DiamondBeetle	ms634	mp23	mt29	ma20	mon_thunderltng	SC  			1													2	5		6	6	1	36	76	120	mo104	mo104	10	3	2	1	80	80	80	100	100	100	50	50	50	3	2	1	55	60	65	55	60	65																			1	1			1									1	1							1		sk573	A1	1																						100	100	100	-20	-20	-20				100						100						100							15	15	15		100	120	100	100	120	150	200	120	150	200	120	150	100	100	120	100	100	120	150	200	120	150	200	120	150	150	200	210	100	100	120	150	200	120	150	200	120	150	200	A1	ltng	100	1	40		100	1	60		100	1	80																														Act 5 H2H A	Act 5 Champ A	Act 5 Unique A		Act 5 (N) H2H A	Act 5 (N) Champ A	Act 5 (N) Unique A		Act 5 (H) H2H A	Act 5 (H) Champ A	Act 5 (H) Unique A								0
ms741	741	ms741	ms742		ProwlerPriestess	ms635	mp32	mt27	ma95	mon_boss	PW  			1	1						ms831		1		2	4	1	1		9	9	1	19	54	120	mo110	mo110	10	3	2	1	80	80	80	75	80	85	85	90	95	10	10	10	10	10	10	3	2	1	30	30	30							ml226									1				1						1			1	1																																	100	100	100	-20	-20	-20								100						100									15	15	15		200	220	100	100	20	70	100							200	220	100	100	20	70	100							250	260	100	100	20	70	100																																																	Act 2 Cast A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) Cast A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) Cast A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
ms742	742	ms741	ms743	1	DesertPriestess	ms636	mp33	mt27	ma95	mon_boss	PW  			1	1						ms832		1		2	4	1	1		9	9	1	25	60	120	mo110	mo110	10	3	2	1	80	80	80	80	85	90	90	95	100	10	10	10	15	15	15	3	2	1	30	30	30							ml227									1				1						1			1	1																																	100	100	100	-20	-20	-20												100						100					16	16	16		200	220	100	100	20	70	100							200	220	100	100	20	70	100							250	260	100	100	20	70	100																																																	Act 2 Cast C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) Cast C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) Cast C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
ms743	743	ms741	ms744	2	FelinePriestess	ms637	mp34	mt27	ma95	mon_geo	PW  			1	1						ms833		1		2	4	1	1		10	10	1	28	65	120	mo110	mo110	10	3	2	1	80	80	80	85	90	95	95	100	100	10	10	10	20	20	20	3	2	1	30	30	30							ml228									1				1						1			1	1																																	100	100	100	-20	-20	-20			100						100						100								17	17	17		200	220	100	100	20	70	100							200	220	100	100	20	70	100							250	260	100	100	20	70	100																																																	Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
ms744	744	ms741	ms1142	1	LacuniPriestess	ms638	mp35	mt27	ma95	mon_geo	PW  			1	1						ms834		1		2	4	1	1		10	10	1	33	70	120	mo110	mo110	10	3	2	1	80	80	80	90	95	100	100	100	100	10	10	10	25	25	25	3	2	1	30	30	30							ml229									1				1						1			1	1																																	100	100	100	-20	-20	-20			100						100						100								19	19	19		200	220	100	100	20	70	100							200	220	100	100	20	70	100							250	260	100	100	20	70	100																																																	Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms745	745	ms745	ms746	2	DeathSpitter	ms639	mp36	mt48	ma71	mon_spit	CS  			1													2	4		5	5	1	33	70	120	mo99	mo99	10	3	2	1	80	80	80	90	95	100	10	10	10	80	85	90	40	50	60	10	10	10	30	30	30								ml341								1	1			1				1					1	1							1		sk214	S1	3																						100	100	100	-20	-20	-20				100						100						100							29	29	29		140	170	100	100	105	145	200							140	170	100	100	105	145	200							220	235	100	100	105	145	200																																																	Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms746	746	ms745	ms747		Devourer	ms640	mp36	mt48	ma71	mon_spit	CS  			1													2	4		5	5	1	34	71	120	mo99	mo99	10	3	2	1	80	80	80	90	95	100	10	10	10	80	85	90	40	50	60	10	10	10	30	30	30								ml341								1	1			1				1					1	1							1		sk214	S1	3																						100	100	100	-20	-20	-20			100						100						100								29	29	29		140	170	100	100	105	145	200							140	170	100	100	105	145	200							220	235	100	100	105	145	200																																																	Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms747	747	ms745	ms1156	1	Gravedigger	ms641	mp36	mt48	ma71	mon_spit	CS  			1													3	4		5	5	1	35	73	120	mo99	mo99	10	3	2	1	80	80	80	90	95	100	10	10	10	80	85	90	40	50	60	10	10	10	30	30	30								ml341								1	1			1				1					1	1							1		sk214	S1	3																						100	100	100	-20	-20	-20			100						100						100								29	29	29		140	170	100	100	105	145	200							140	170	100	100	105	145	200							220	235	100	100	105	145	200																																																	Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms748	748	ms748	ms749	1	OasisToad	ms642	mp37	mt43	ma16	mon_fireprince	FD  			1													2	4		9	18	1	26	63	120	mo60	mo60	10	3	2	1	80	80	80	10	10	10	7	7	7	80	85	90	50	50	50	5	3	1																			1	1			1									1	1		1							sk292	mq2	1																						100	100	100	-20	-20	-20				100						100						100							21	21	21		80	160	100	100	65	130	200							80	160	100	100	65	130	200							190	230	100	100	65	130	200							A1	fire	100	10	20		100	30	50		100	50	70																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 5 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
ms749	749	ms748	ms750		AcidPrince	ms643	mp38	mt43	ma16	mon_acidprince	FD  			1													2	4		9	19	1	29	65	120	mo60	mo60	10	3	2	1	80	80	80	10	10	10	7	7	7	85	90	95	50	50	50	5	3	1																			1	1			1									1	1		1							sk292	mq2	1																						100	100	100	-20	-20	-20						100						100						100					21	21	21		80	160	100	100	65	130	200							80	160	100	100	65	130	200							190	230	100	100	65	130	200							A1	pois	100	30	60	50	100	50	80	75	100	70	100	100																													Act 3 H2H C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) H2H C	Act 3 (N) Champ C	Act 5 (N) Unique C		Act 3 (H) H2H C	Act 3 (H) Champ C	Act 3 (H) Unique C						1	1	0
ms750	750	ms748	ms1159	2	IcePrince	ms644	mp39	mt43	ma16	mon_iceprince	FD  			1													2	4		10	20	1	36	76	120	mo60	mo60	10	3	2	1	80	80	80	10	10	10	7	7	7	90	95	100	50	50	50	5	3	1																			1	1			1									1	1		1							sk292	mq2	1																						100	100	100	-20	-20	-20					100						100						100						21	21	21		80	160	100	100	65	130	200							80	160	100	100	65	130	200							190	230	100	100	65	130	200							A1	cold	100	10	20	50	100	30	50	100	100	50	70	200																													Act 5 H2H A	Act 5 Champ A	Act 5 Unique A		Act 5 (N) H2H A	Act 5 (N) Champ A	Act 5 (N) Unique A		Act 5 (H) H2H A	Act 5 (H) Champ A	Act 5 (H) Unique A						1	1	0
ms751	751	ms751	ms752		Zombie	ms645	mp23	mt10	ma3	mon_poisonhit	ZM  			1													1	2		1	1	1	1	33	120	mo138	mo139	10	3	2	1	80	80	80	100	100	100	40	40	40				30	40	50																						1	1			1		1							1	1							1																										100	100	100	-20	-20	-20										100						100							3	3	3		120	150	100	80	60	90	200	60	90	200				120	150	100	80	60	90	200	60	90	200				210	225	100	80	60	90	200	60	90	200				A1	pois	100	150	150	50	100	30	50	75	100	40	60	100	A2	pois	100	150	150	50	100	30	50	75	100	40	60	100																																	0
ms752	752	ms751	ms753	1	HungryDead	ms646	mp23	mt10	ma3	mon_poisonhit	ZM  			1													3	4		3	3	1	6	48	120	mo138	mo139	10	3	2	1	80	80	80	100	100	100	45	45	45				40	50	60																						1	1			1		1							1	1							1																										100	100	100	-20	-20	-20									100						100								4	4	4		120	150	100	80	60	90	200	60	90	200				120	150	100	80	60	90	200	60	90	200				210	225	100	80	60	90	200	60	90	200				A1	pois	100	25	50	50	100	45	70	75	100	65	90	100	A2	pois	100	25	50	50	100	45	70	75	100	65	90	100															Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms753	753	ms751	ms754		Genies	ms1052	mp205	mt10	ma3	mon_ghoul	JI  			1													3	4		3	3	1	21	55	120	mo138	mo139	10	3	2	1	80	80	80	100	100	100	50	50	50				50	60	70																						1	1			1		1							1	1							1																										100	100	100	-20	-20	-20											100						100						13	13	13		120	150	100	80	60	90	200	60	90	200				120	150	100	80	60	90	200	60	90	200				210	225	100	80	60	90	200	60	90	200				A1	cold	100	20	40	50	100	40	60	100	100	60	80	150	A2	cold	100	20	40	50	100	40	60	100	100	60	80	150															Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
ms754	754	ms751	ms1160	3	GhostZombie	ms648	mp40	mt10	ma3	mon_spiritdeath	ZM  			1													3	4		4	4	1	28	63	120	mo138	mo139	10	3	2	1	80	80	80	100	100	100	55	55	55				60	70	80																						1	1			1		1							1	1							1																										100	100	100	-20	-20	-20						100						100						100					22	22	22		140	200	100	80	60	90	200	60	90	200				140	200	100	80	60	90	200	60	90	200				220	250	100	80	60	90	200	60	90	200				A1	cold	100	20	40	50	100	40	60	100	100	60	80	150	A2	cold	100	20	40	50	100	40	60	100	100	60	80	150															Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
ms755	755	ms755	ms756		Impaler	ms649	mp41	mt37	ma28	mon_vampirepriest	VA  			1													2	3		5	5	1	14	53	120	mo128	mo128	11	3	2	1	80	80	80	15	10	5	95	98	100	70	70	70	10	15	20	7	7	7																			1				1		1				1			1	1									sk144	mq63	1	sk853	mq63	4	sk853	mq63	5	sk144	mq63	1													100	100	100	-20	-20	-20												100						100					19	19	19		100	140	50	100	60	120	200	60	120	200	60	120	200	100	140	50	100	60	120	200	60	120	200	60	120	200	200	220	50	100	60	120	200	60	120	200	60	120	200	A1	pois	100	25	50	50	100	45	70	75	100	65	90	100																													Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
ms756	756	ms755	ms757	1	Assamite	ms650	mp42	mt37	ma28	mon_vampirepriest	VA  			1													2	3		6	6	1	28	65	120	mo128	mo128	11	3	2	1	80	80	80	15	10	5	95	98	100	70	70	70	10	15	20	7	7	7																			1				1		1				1			1	1									sk144	mq63	1	sk853	mq63	4	sk853	mq63	5	sk144	mq63	1													100	100	100	-20	-20	-20				100						100						100							19	19	19		100	140	50	100	60	120	200	60	120	200	60	120	200	100	140	50	100	60	120	200	60	120	200	60	120	200	200	220	50	100	60	120	200	60	120	200	60	120	200	A1	pois	100	25	50	50	100	45	70	75	100	65	90	100																													Act 3 Cast C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) Cast C	Act 3 (N) Champ C	Act 5 (N) Unique C		Act 3 (H) Cast C	Act 3 (H) Champ C	Act 3 (H) Unique C								0
ms757	757	ms755	ms758	2	Nosferatu	ms651	mp43	mt37	ma28	mon_vampirepriest	VA  			1													2	3		6	6	1	33	70	120	mo128	mo128	11	3	2	1	80	80	80	15	10	5	95	98	100	70	70	70	10	15	20	7	7	7																			1				1		1				1			1	1									sk144	mq63	2	sk853	mq63	6	sk853	mq63	7	sk144	mq63	2													100	100	100	-20	-20	-20		100						100						100									19	19	19		100	140	50	100	60	120	200	60	120	200	60	120	200	100	140	50	100	60	120	200	60	120	200	60	120	200	200	220	50	100	60	120	200	60	120	200	60	120	200	A1	pois	100	25	50	50	100	45	70	75	100	65	90	100																													Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms758	758	ms755	ms759	3	Ventrue	ms652	mp44	mt37	ma28	mon_vampirepriest	VA  			1													2	3		8	8	1	36	76	120	mo128	mo128	11	3	2	1	80	80	80	15	10	5	95	98	100	70	70	70	10	15	20	7	7	7																			1				1		1				1			1	1									sk144	mq63	3	sk853	mq63	8	sk853	mq63	7	sk144	mq63	3													100	100	100	-20	-20	-20					100						100						100						19	19	19		100	140	50	100	60	120	200	60	120	200	60	120	200	100	140	50	100	60	120	200	60	120	200	60	120	200	200	220	50	100	60	120	200	60	120	200	60	120	200	A1	pois	100	25	50	50	100	45	70	75	100	65	90	100																													Act 5 Cast B	Act 5 Champ B	Act 5 Unique B		Act 5 (N) Cast B	Act 5 (N) Champ B	Act 5 (N) Unique B		Act 5 (H) Cast B	Act 5 (H) Champ B	Act 5 (H) Unique B								0
ms759	759	ms755	ms1139	4	BloodMarquis	ms653	mp45	mt37	ma28	mon_vampirepriest	VA  			1													2	3		8	8	1	36	78	120	mo128	mo128	11	3	2	1	80	80	80	15	10	5	95	98	100	70	70	70	10	15	20	7	7	7																			1				1		1				1			1	1									sk144	mq63	3	sk853	mq63	8	sk853	mq63	10	sk144	mq63	3													100	100	100	-20	-20	-20			100						100						100								19	19	19		100	140	50	100	60	120	200	60	120	200	60	120	200	100	140	50	100	60	120	200	60	120	200	60	120	200	200	220	50	100	60	120	200	60	120	200	60	120	200	A1	pois	100	25	50	50	100	45	70	75	100	65	90	100																													Act 5 Cast A	Act 5 Champ A	Act 5 Unique A		Act 5 (N) Cast A	Act 5 (N) Champ A	Act 5 (N) Unique A		Act 5 (H) Cast A	Act 5 (H) Champ A	Act 5 (H) Unique A								0
ms760	760	ms760	ms761		Skeleton	ms654	mp23	mt9	ma72		SK  			1													2	3		6	6	1	1	33	120	mo109	mo109	10	3	2	1	80	80	80	70	90	90	3	2	1	70	75	80	3	2	1																						1	1			1		1				1			1	1							1																										100	100	100	-20	-20	-20									100						100								10	10	10		75	95	95	90	75	90	225	75	90	225				75	95	95	90	75	90	225	75	90	225				187	197	95	90	75	90	225	75	90	225																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms761	761	ms760	ms762	1	Returned	ms655	mp23	mt9	ma72		SK  			1													3	4		6	6	1	9	48	120	mo109	mo109	10	3	2	1	80	80	80	75	90	90	3	2	1	75	80	85	3	2	1																						1	1			1		1				1			1	1							1																										100	100	100	-20	-20	-20												100						100					15	15	15		75	95	95	90	75	90	225	75	90	225				75	95	95	90	75	90	225	75	90	225				187	197	95	90	75	90	225	75	90	225																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
