skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	* Laz / counter	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd236	1	1	3	1		new skill	20	SkillnameTriStrike2	SkillsdTriumphant	SkillsdTriumphant	SkillnameTriStrike2	StrSkill3	7	clc1											1				1					12	StrSkill20		((dm78+skill('sk320'.blvl)*15)*(100+stat('is409'.accr)))/100		3	DescACBonus	StrSkill23	((220*lvl)*(par2-par1))/(100*(lvl+50))+par1		2	DescATTS	StrSkill23	min(4+lvl,10)+blvl*par6		2	StrSkill4	DescPctToAtt	ln34		2	StrSkill22	DescPctToAtt	toht							3	DescTakedownFury2	DescTakedownFury3	(stat('is7'.accr)/256)/40		18	DescBlankTakedownFury				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	Sksyn	SkillnameTriStrike2	4		65	SkillnameGreatHunt	DescTriumphOverEvil			18	DescBlank				40	SksynSelf	SkillnameTriStrike2	4		63	DescSelf	DescIASSyn	par6		18	DescSelfSynergy									0
sd237	1	2	3	1		new skill	74	SkillnameHyenaStrike	SkillsdHyenaStrike	SkillsdHyenaStrike	SkillnameHyenaStrike	StrSkill3	5												1				1					12	DescOrbBuffDur		(ln34*(100+stat('is409'.accr)))/100		2	DescDamageReduc	StrSkill23	min(ln56,20)		12	DescRegenAll		max(265-dm12,125)		18	DescHyenaLifeOrb				14															18	DescBlankHyenaFury				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	Sksyn	SkillnameHyenaStrike	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd238	1	3	3	1		1.B9 TIMER IF OSKILL	70	SkillnameWhaaWhaaWhaaa	SkillsdWhaaWhaaWhaaa	SkillsdWhaaWhaaWhaaa	SkillanWWWhaaa	StrSkill3	5												1				1					3	DescBonusMagDmg	DescPctStrOrDex	lvl*30																						18	DescPounceNurfed7				73	WeapDamsk		5	4	18	DescBlankPounce				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)																																				0
sd239	1	4	3	1		new skill	26	SkillnameImmortal	SkillsdImmortal	SkillsdImmortal	SkillnameImmortal	StrSkill3																	1					3	DescTCDLioness	StrSkill23	ln34		2	DescGenericAR	StrSkill23	((220*lvl)*(par6-par5))/(100*(lvl+50))+par5																	2	DescGenericDmg	StrSkill23	min(blvl*par1+50,1000)		18	DescBlankGold				73	DescMaxLevel2	ModStre9c	blvl	(max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr))+skill('sk692'.pst1)/2	18	DescThisIsCat				40	Sksyn	SkillnameImmortal	4		65	DescAnySpearSkill	DescMaxLvlSyn			18	DescBlank				40	SksynSelf	SkillnameImmortal	4		63	DescSelf	DescDmgPLvl	par1		18	DescMaxOneThousand				18	DescSelfSynergy				0
sd240	1	5	3	1		1.B9 NAME CHANGE	72	SkillnameGreatHunt	SkillsdGreatHunt2	SkillsdGreatHunt2	SkillnameGreatHunt	StrSkill3	5												1				1					6	DescStopReadingThis		edmx																						3	DescGHUnleashes	DescGHCougars	3		73	WeapDamsk		3	4	18	DescBlankGreatHunt				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)																																				0
sd241	2	1	3	2		new skill	48	SkillnameWingsZ6	SkillsdWrathWings	SkillsdWrathWings	SkillnameWingsZ6																		1					2	DescHitRecWild	StrSkill23	dm34																											2	StrSkill70	StrSkill23	((220*blvl)*(par2-par1))/(100*(blvl+50))+par1		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	SksynSelf	SkillnameWingsZ6	4		65	DescSelf	DescVelDim			18	DescSelfSynergy																								0
sd242	2	2	3	2		new skill	42	SkillnameFireEl	SkillsdFireEl	SkillsdFireEl	SkillanSFE	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+ast6))/100	((11+pst3)*(100+ast6))/100	3	DescPainless	DescHitPointz	((1+pst1/256)*(100+clc1))/100		5	StrSkill22		(200*(100+(((lvl-1)*50)*(100+stat('is500'.accr)))/100))/100		5	DescElementals		min(lvl+4,25)												18	DescCastsGOIF				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	Sksyn	SkillnameFireEl	4		63	SkillnameSpellbind	DescLifeSyn	25		18	SkillnameACHarmony				18	SkillnameBalance				18	SkillnameWingsZ6				18	SkillnamePoizond				65	DescSelf				0
sd243	2	3	3	2		new skill	44	SkillnameBalance	SkillsdBalance	SkillsdBalance	SkillnameBalance																		1					6	DescDefenzor		edmx																																					73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	40	SksynSelf	SkillnameBalance	4		63	DescSelf	DescImprovedQueenSlow	par4		18	DescSelfSynergy																								0
sd244	2	4	3	2		new skill	38	SkillnameMaenadFrenzy	SkillsdMaenadFrenzy	SkillsdMaenadFrenzy	SkillnameMaenadFrenzy	StrSkill3																	1					7	DescExtaticMDM		min(edmx,50000)																						12	StrSkill20		(par1*(100+stat('is409'.accr)))/100							18	DescExtatic				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	40	SksynSelf	SkillnameMaenadFrenzy	4		63	DescSelf	DescMaenadSyn4	par4		18	DescSelfSynergy																								0
sd245	2	5	3	2		new skill	40	SkillnameACHarmony	SkillsdACHarmony	SkillsdACHarmony	SkillnameACHarmony																		1					3	StrSkill76	StrSkill23	((220*lvl)*(par2-par1))/(100*(lvl+50))+par1																						2	DescSlowRangedHarmony	StrSkill23	par3+(blvl-1)*par4		2	DescSlowNewHarmony	StrSkill23	par3+(blvl-1)*par4		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	40	SksynSelf	SkillnameACHarmony	4		63	DescSelf	DescSlowHarNewSyn	par4		18	DescSelfSynergy																								0
sd246	1	1	1	1		1.B9 CHANGED SYN		SkillnameLethalS	SkillsdLethalS	SkillsdLethalS	SkillanLethalS	StrSkill3	5												1				1					19	DescRandomYardage	DescThirdChargeCharm	min(lvl+1,10)		35	Desc4Bats		((1+pst3)*(100+(stat('is470'.accr)*(100-stat('is379'.accr)))/100))/100	((6+pst3)*(100+(stat('is470'.accr)*(100-stat('is379'.accr)))/100))/100	3	DescPainlessBats	DescHitPointz	(((1+100*lvl)*(100+(stat('is444'.accr)*(100-stat('is379'.accr)))/100))*(100+ulvl*2))/10000		19	DescFirstChargeRadius		((40+(lvl-1)*5)*20)/32							18	DescThirdTime				5	DescBatsNr		blvl		18	DescNewBats				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	Sksyn	SkillnameLethalS	4		18	DescWayCollection																													0
sd247	1	2	1	1		1.B9 ADDED SPIKE DESC	2	SkillnameCrucify	SkillsdCrucify	SkillsdCrucify	SkillnameCrucify	StrSkill3	5												1				1					6	DescStopReadingThis		edmx																						18	Desc1B9Cruc				19	DescTargetComp		par1		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)																																				0
sd248	2	3	1	2			4	SkillnameBladeQ	SkillsdBladeQ	SkillsdBladeQ	SkillanBladeQ	StrSkill3	5												1				1					12	StrSkill20		(ln56*(100+stat('is409'.accr)))/100																						3	DescUpToN	DescBladesMax	par1+(blvl-1)*par2		18	DescBladeBabble				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	40	SksynSelf	SkillnameBladeQ	4		67	DescSelf	DescBladesOnAPlane	par2		18	DescSelfSynergy																								0
sd249	1	4	1	1			84	SkillnameBackblast	SkillsdBackblast	SkillsdBackblast	SkillanBackblast	StrSkill3	5												1				1					6	DescStopReadingThis		edmx																						3	DescEOFMagCrit	DescCritSpelldesc	blvl*2+5		73	DescBladeWeapdamsk		5	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	40	SksynSelf	SkillnameBackblast	4		63	DescSelf	DescBarrierDropped	2		18	DescSelfSynergy																								0
sd250	2	5	2	2		new skill	8	SkillnameDoom	SkillsdDoom	SkillsdDoom	SkillnameDoom	StrSkill3																	1					2	StrSkill4	DescOnEachHit	edmx																						18	DoomPierce				12	StrSkill20		(par8*(100+stat('is409'.accr)))/100		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	40	SksynSelf	SkillnameDoom	4		63	DescSelf	DescWereDoomed	par4		18	DescSelfSynergy																								0
sd251	2	2	1	2		new skill	10	SkillnameWayOfTheSdr	SkillsdWayOfTheSdr	SkillsdWayOfTheSdr	SkillanWoS																		1					12	DescOver		edln		35	DescPDtoWPN		(edmn*edln)/256	(edmx*edln)/256	2	DescPsnSD	StrSkill23	((220*lvl)*(par2-par1))/(100*(lvl+50))+par1																						73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	18	DescMultiplier				40	SksynSelf	SkillnameWayOfTheSdr	4		63	DescSelf	DesecPDtoWPNsynergy	par5		18	DescSelfSynergy																								0
sd252	1	2	3	1		new skill	12	SkillnameShadowRef	SkillsdShadowRef	SkillsdShadowRef	SkillnameShadowRef	StrSkill3	7	clc1											1				1					12	StrSkill20		(dm78*(100+stat('is409'.accr)))/50		2	StrSkill70	StrSkill23	min(ln12,250)		2	DescDamageReduc	StrSkill23	((220*lvl)*(par6-par5))/(100*(lvl+50))+par5		2	StrSkill4	DescPctToAtt	par3*lvl							2	StrSkill22	StrSkill23	toht		2	DescPsnSD	StrSkill23	skill('sk334'.blvl)*par4		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	Sksyn	SkillnameShadowRef	4		63	SkillnameTwinFang	PsnPctSyn	par4																											0
sd253	1	3	3	1		1.B9 TIMER IF OSKILL	92	SkillnameTwinFang	SkillsdTwinFang	SkillsdTwinFang	SkillanTwinFang	StrSkill3													1				1					12	DescOver		edln		35	DescLotusPois		(((edmn*edln)/28)*(stat('is332'.accr)+100))/100	(((edmx*edln)/28)*(stat('is332'.accr)+100))/100	35	DescLotusFire		(edmn*(stat('is329'.accr)+100))/100	(edmx*(stat('is329'.accr)+100))/100																										73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	40	Sksyn	SkillnameTwinFang	4		65	strchrenghard	DescFireSyn			65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																	0
sd254	1	4	3	1			90	SkillnameLaserblade	SkillsdLaserblade	SkillsdLaserblade	SkillnameLaserblade																		1					18	DescLaserbladeCond				2	DescLaserbladeMag	DescLaserbladeStat	lvl*50																																73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)																																				0
sd255	2	4	1	2		new skill	18	SkillnameWayOfThePh	SkillsdWayOfThePh	SkillsdWayOfThePh	SkillanWoP																		1					35	DescFDtoWPN		edmn	edmx	2	DescFireSD	StrSkill23	((220*lvl)*(par2-par1))/(100*(lvl+50))+par1																											73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	18	DescMultiplier				40	SksynSelf	SkillnameWayOfThePh	4		63	DescSelf	DescFDtoWPNsynergy	par5		18	DescSelfSynergy																								0
sd256	2	1	3	2			88	SkillnameLandmine	SkillsdLandmine	SkillsdLandmine	SkillanLandmine	StrSkill3	5																1					10																														12	DescTrapDur2		75		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	Sksyn	SkillnameLandmine	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd257	2	2	3	2		1.B9 NEW SKILL	96	SkillnameSeismicCharge	SkillsdSeismicCharge	SkillsdSeismicCharge	SkillnameSeismicCharge	StrSkill3	5																1					12	StrSkill62		edln		10																				5	DescLimpets		1+blvl/10		18	DesLimpet				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	Sksyn	SkillnameSeismicCharge	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)		18	DescBlank				40	SksynSelf	SkillnameSeismicCharge	4		65	DescSelf	DescMoreLimpets								0
sd258	2	3	3	2			80	SkillnameEfieldsentry	SkillsdEfieldsentry	SkillsdEfieldsentry	SkillanEfieldsentry	StrSkill3	5																1					10																									18	DescStormCloudNovaDeath				12	DescTimeBomb		50		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	40	Sksyn	SkillnameEfieldsentry	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd259	2	4	3	2			82	SkillnameSentryFB	SkillsdSentryFB	SkillsdSentryFB	SkillanSentryFB	StrSkill3	5																1					10																									18	DesFireballDeath				12	DescTimeBomb		50		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	40	Sksyn	SkillnameSentryFB	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd260	2	4	2	2			56	SkillnameSeismicField	SkillsdSeismicField	SkillsdSeismicField	SkillnameSeismicField	StrSkill3	5																1										11					9															18	DescHitHitHitHitS				12	DescDelayZ		(75*(100-((110*blvl)*(par6-par5))/(100*(blvl+6))))/100		18	DescBlackHole				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	40	Sksyn	SkillnameSeismicField	4		65	strchrenghard	DescPhysSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)		18	DescBlank				40	SksynSelf	SkillnameSeismicField	4		65	DescSelf	DescASTRtimerSyn			18	DescSelfSynergy				0
sd261	1	1	2	1		1.B9 CHANGED SYNERGY ORIGIN	30	SkillnameScorpionBlade	SkillsdScorpionBlade	SkillsdScorpionBlade	SkillnameScorpionBlade	StrSkill3	3												1				1					14																														3	DescKnivesAbc	DescBlank	1+skill('sk344'.blvl)/6		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	Sksyn	SkillnameScorpionBlade	4		65	strchrenghard	DescPoisSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)		65	SkillnameMael4	DescOneKnifeTen																		0
sd262	1	2	2	1			32	SkillnameStormCrows	SkillsdStormCrows	SkillsdStormCrows	SkillnameStormCrows	StrSkill3	3												1				1					2	DescBonusKnivesOnKill	DescOnKillC	min(lvl,20)																						3	DescKnivesAbc	DescBlank	max(par1+(blvl-1)/par2,3)	2	19	DescTargetComp		20		18	DescThreeFourBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	SksynSelf	SkillnameStormCrows	4		65	DescSelf	DescNewCrows			18	DescSelfSynergy																								0
sd263	1	3	2	1		new skill	34	SkillnameWychwind	SkillsdWychwind2	SkillsdWychwind2	SkillnameWychwind	StrSkill3	3												1				1					3	DescWychSelfEffect	StrSkill23	max(50,100-ln34)																						12	DescHarmfulDur		max(par1+(blvl-1)*par2,5)		18	DescWychbabble2				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	40	SksynSelf	SkillnameWychwind	4		65	DescSelf	DescVulDurRed			18	DescSelfSynergy																								0
sd264	1	4	2	1		BLAH BLAH BLAH	36	SkillnameMael4	SkillsdMael4	SkillsdMael4	SkillanMael4	StrSkill3	3												1				1					3	DescFlechetteMagDmg	DescFlechetteDex	150+12*(lvl-1)		10																				19	DescBlastRadius		3		18	DescNovaEffectM				18	DescMael4Blank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)	40	Sksyn	SkillnameMael4	4		65	strchrenghard	DescFireSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd265	1	5	2	1		new skill	38	SkillnameBroadside	SkillsdBroadside2	SkillsdBroadside2	SkillnameBroadside	StrSkill3	3												1				1					7	DescBombardment		12+lvl*2																						12	DescRealLockoutDur		max(par1+(blvl-1)*par2,150)		73	WeapDamsk		3	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	40	SksynSelf	SkillnameBroadside	4		65	DescSelf	DescVulDurRed2			18	DescSelfSynergy																								0
sd266	2	1	1	2		new skill	40	SkillnameBlink	SkillsdBlink	SkillsdBlink	SkillnameBlink	StrSkill3																	1					12	StrSkill48		ln12																						12	DescDelayZ		(125*(100-((110*blvl)*(par6-par5))/(100*(blvl+6))))/100		19	StrSkill56		6		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	SksynSelf	SkillnameBlink	4		65	DescSelf	DescASTRtimerSyn			18	DescSelfSynergy																								0
sd267	2	2	2	2		new skill	42	SkillnameShurryFlurry	SkillsdShurryFlurry	SkillsdShurryFlurry	SkillanShurryFlurry	StrSkill3	5																1					7	DescShurikens		3+lvl		10					9																														73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	40	Sksyn	SkillnameShurryFlurry	4		65	strchrenghard	DescDisPhMahSyn			67	DescCurrentSyn	DescPctNoS	(260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+min((stat('is1'.accr)*stat('is485'.accr))/15000+(stat('is0'.accr)*stat('is278'.accr))/15000,200)																						0
sd268	2	5	3	2		1.B9 MORE DMGZ	86	SkillnameTiefling	SkillsdTiefling	SkillsdTiefling	SkillanTiefling	StrSkill3																	1					12	StrSkill20		(ln78*(100+stat('is409'.accr)))/100		2	DescBlank	TieflingBonus	25+lvl*5		5	DescEnrFB		3*lvl												2	DescBlank	DescLifePerBerry	30+(blvl*blvl)*2		18	DescTiefling				2	DescBlank	DescSkillsAndSpace	1		73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	40	SksynSelf	SkillnameTiefling	4		65	DescSelf	DescLivingFlameSyn			18	DescSelfSynergy																								0
sd269	2	3	2	2		new skill	76	SkillnameMorePylons	SkillsdMorePylons	SkillsdMorePylons	SkillnameMorePylons	StrSkill3	5																1					35	DescPsiPersistent1	StrSkill34	(edmn*2)/5	(edmx*2)/5	38	DescPsiFirst	DescPerHardEnPsi	lvl	lvl+2																					12	StrSkill20		25		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)																																				0
sd270	2	5	1	2		new skill	48	SkillnameGodSaveThe	SkillsdGodSaveThe	SkillsdGodSaveThe	SkillnameGodSaveThe																		1										3	DescTrackAvoid	StrSkill23	par1+((par2*blvl)*5)/4																																73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)	40	Sksyn	SkillnameGodSaveThe	4		65	DescSelf	DescMeLieksAvoid			18	DescSelfSynergy																								0
sd271	1	1	1	1			8	SkillnameBoldNewEQ	SkillsdBoldNewEQ	SkillsdBoldNewEQ	SkillnameBoldNewEQ	StrSkill3	5												1				1					3	DescBonusMagDmg	DescNephalemStr	lvl*25																											73	WeapDamsk		3	4	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)																																				0
sd272	1	1	2	1		1.B9 DESC	2	SkillnamePwnYourself	SkillsdPwnYourself4	SkillsdPwnYourself4	SkillnamePwnYourself	StrSkill3	7	clc1											1				1					18	DescScalingBonus				3	DescBloodhatredSwing	StrSkill23	lvl*2							7	DescLifeRage26		ln12		2	StrSkill4	DescPctToAtt	ln56		12	DescSuckHalf		((clc2+par7)*(100+stat('is409'.accr)))/100		12	StrSkill20		((clc2+par7)*(100+stat('is409'.accr)))/100		18	DescBlankWhite				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	Sksyn	SkillnamePwnYourself	4		18	SkillnameDeadalus																													0
sd273	1	3	1	1		new skill	4	SkillnameThunderSlam	SkillsdThunderSlam	SkillsdThunderSlam	SkillnameThunderSlam	StrSkill3	5												1				1					3	DescBonusMagDmg	DescNephalemStr	lvl*25							12	DescDelayZ		max(250-dm78,100)		18	DescHitYou									73	WeapDamsk		3	4	12	StrSkill48		75		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)																																				0
sd274	1	4	1	1			6	SkillnameRocks	SkillsdRocks	SkillsdRocks	SkillanSOR	StrSkill3	5												1				1					3	DescARPenalty	StrSkill23	-1*min(((220*lvl)*(par2-par1))/(100*(lvl+50))+par1,75)		3	DescBonusMagDmg	DescNephalemStr	lvl*25																	3	DescEnemyIAS	StrSkill23	-25		3	DescVenomPena	StrSkill23	-15		18	DescRocksDmg				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-18)/6,19),2)+stat('is479'.accr)																																				0
sd275	1	5	1	1			30	SkillnameStormblast	SkillsdStormblast	SkillsdStormblast	SkillanStormblast	StrSkill3	5												1				1					19	StrSkill56		10+(lvl-1)*2																						18	DescStormBlastFlat				73	WeapDamsk		1	2	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-24)/6,18),2)+stat('is479'.accr)																																				0
sd276	2	1	3	2		new skill	12	SkillnameLionStance	SkillsdLionStance	SkillsdLionStance	SkillnameLionStance																		1					10					9					3	DescDamageIncr	StrSkill23	max(ln34,25)		7					2	StrSkill4	StrSkill23	ln12+stat('is279'.accr)							38	DescBonusMagDmg	DescNephalemStr	blvl*50	blvl*75	18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+ulvl/6,22),2)+stat('is479'.accr)	40	Sksyn	SkillnameLionStance	4		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameLionStance	4		65	DescSelf	DescLionStrToMag			18	DescSelfSynergy									0
sd277	2	2	3	2		new skill	14	SkillnameSnakeStance	SkillsdSnakeNew	SkillsdSnakeNew	SkillnameSnakeStance																		1					12	DescOver		edln		35	DescPDtoWPN		(edmn*((skill('sk360'.blvl)*par5+100)*edln))/25600	(edmx*((skill('sk360'.blvl)*par5+100)*edln))/25600																3	DescSlowsYoo	StrSkill23	5+min(blvl*2,45)		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-6)/6,21),2)+stat('is479'.accr)	18	DescMultiplier				40	Sksyn	SkillnameSnakeStance	4		63	SkillnameEagleStance	Poisdplev	par5		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameSnakeStance	4		65	DescSelf	DescSlowSyn2			18	DescSnakeSynergy				0
sd278	2	3	3	2		new skill	16	SkillnameBearski	SkillsdBearski	SkillsdBearski	SkillnameBearski																		1					3	DescACBonus	StrSkill23	edmx		2	StrSkill4	StrSkill23	par1+par2*lvl																	2	DescDamageReduc	StrSkill23	min(blvl*1+25,100)		18	BearGrowl				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	max(min(2+(ulvl-12)/6,20),2)+stat('is479'.accr)	40	Sksyn	SkillnameBearski	4		18	SkillnameWithDinosaurs				18	DescBlank				40	SksynSelf	SkillnameBearski	4		63	DescSelf	DescDmgRedSyn	1		18	DescSelfSynergy									0
