Name	Id	* zone name	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	*Laz/arc	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	* Laz / todo	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Sewers Level 1	47		1	1			29	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	13	-1	-1	-1	-1	40	40	48						22	21	23	-1	-1	-1	-1	-1		64	128	112	64			1		100	21	62	120	21	73	120	3000	3000	3000							1		12		ms992	ms993	ms994	ms814	ms831	ms1790	ms916	ms1188	ms1189	ms1558	ms1731	ms1762										ms992	ms993	ms994	ms1760	ms831	ms1790	ms1725	ms1188	ms1189	ms1558	ms1731	ms1762									ms992	ms993	ms994	ms814	ms831	ms1790	ms916	ms1558	ms1731												ms151	ms159	ms269		30	100	20							15	255	Sewers Level 1	To The Sewers Level 1	A2L8	32	26	5						10	10	10						0
Sewers Level 2	48		1	1			30	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	13	-1	-1	-1	-1	47		49						22	-1	23	-1	-1	-1	-1	-1		64	128	112	64			1		2025	22	62	120	22	75	120	3300	3300	3300							1		12		ms992	ms993	ms994	ms814	ms831	ms1790	ms916	ms1188	ms1189	ms1558	ms1731	ms1762										ms992	ms993	ms994	ms1760	ms831	ms1790	ms1725	ms1188	ms1189	ms1558	ms1731	ms1762									ms992	ms993	ms994	ms814	ms831	ms1790	ms916	ms1558	ms1731												ms151	ms159	ms269		30	100	20							15	10	Sewers Level 2	To The Sewers Level 2	A2L9	32	26	5						12	12	12						0
Sewers Level 3	49		1	1			31	200	200	200	200	200	200	1500	1600		1				1	1	1		1	1	13	-1	-1	-1	-1	48								22	-1	-1	-1	-1	-1	-1	-1		64	128	112	64			1		2025	23	63	120	23	76	120	3300	3300	3300							1		12		ms992	ms993	ms994	ms814	ms831	ms1790	ms916	ms1188	ms1189	ms1558	ms1731	ms1762										ms992	ms993	ms994	ms1760	ms831	ms1790	ms1725	ms1188	ms1189	ms1558	ms1731	ms1762									ms992	ms993	ms994	ms814	ms831	ms1790	ms916	ms1558	ms1731												ms151	ms159	ms269		30	100	20							15	255	Sewers Level 3	To The Sewers Level 3	A2L10	32	26	5						15	15	15						0
Harem Level 1	50		1	1	11	11	32	16	19	16	19	16	19	2000	1000		1				1	1	1		1	2	14	-1	-1	-1	-1	40		51	51					25	-1	28	29	-1	-1	-1	-1		192	255	255	255			1		2025	26	65	120	26	80	120										1		10		ms741	ms712	ms762	ms729	ms753	ms717	ms1193	ms1192	ms1556	ms1723												ms741	ms712	ms762	ms729	ms753	ms717	ms1193	ms1192	ms1556	ms1723											ms741	ms712	ms762	ms729	ms753	ms717	ms1556	ms1723													ms151	ms159	ms269		30	30	20						8	16	255	Harem Level 1	To The Harem Level 1	A2L11	56								15								0
Harem Level 2	51		1	1	11	11	33	100	100	100	100	100	100	2000	1119		1				1	1	1		1	1	14	-1	-1	-1	-1	50	50	52	52					26	27	28	29	-1	-1	-1	-1		255	255	255	255			1		2025	26	65	120	26	80	120	3300	3300	3300							1		10		ms741	ms712	ms762	ms729	ms753	ms717	ms1193	ms1192	ms1556	ms1723												ms741	ms712	ms762	ms729	ms753	ms717	ms1193	ms1192	ms1556	ms1723											ms741	ms712	ms762	ms729	ms753	ms717	ms1556	ms1723													ms151	ms159	ms269		30	30	20						8	17	255	Harem Level 2	To The Harem Level 2	A2L12	56	55							15	33							0
Palace Cellar Level 1	52		1	1	11	11	34	100	100	100	100	100	100	2000	1319		1				1	1	1		1	1	15	-1	-1	-1	-1	51	51	53	53					26	27	32	32	-1	-1	-1	-1		4	255	255	255			1		2025	26	65	120	26	80	120	3700	3700	3700							1	1	11		ms712	ms762	ms729	ms753	ms717	ms801	ms1791	ms1193	ms1192	ms1556	ms1723											ms712	ms762	ms729	ms753	ms717	ms801	ms1791	ms1193	ms1194	ms1556	ms1723										ms712	ms762	ms729	ms753	ms717	ms801	ms1791	ms1556	ms1723												ms151	ms159	ms269		30	30	20						60	18	15	Palace Cellar Level 1 	To The Palace Cellar Level 1 	A2L13	57	58							20	10							0
Palace Cellar Level 2	53		1	1	11	11	35	100	100	100	100	100	100	2000	1519		1				1	1	1		1	1	15	-1	-1	-1	-1	52	52	54	54					30	31	32	32	-1	-1	-1	-1		132	192	192	255	1		1		2025	27	65	120	27	81	120	3700	3700	3700							1	1	11		ms712	ms762	ms729	ms753	ms717	ms801	ms1791	ms1194	ms1193	ms1556	ms1723											ms712	ms762	ms729	ms753	ms717	ms801	ms1791	ms1194	ms1193	ms1556	ms1723										ms712	ms762	ms729	ms753	ms717	ms801	ms1791	ms1556	ms1723												ms151	ms159	ms269		30	30	20						60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	A2L14	57	58							20	10							0
Palace Cellar Level 3	54		1	1	11	11	36	100	100	100	100	100	100	2000	1719		1				1	1	1		1	1	15	-1	-1	-1	-1	53	53							30	31	-1	-1	-1	-1	-1	-1		255	128	128	255	1	1	1		2025	27	65	120	27	81	120	3700	3700	3700							1	1	11		ms712	ms762	ms729	ms753	ms827	ms801	ms1791	ms1194	ms1193	ms1556	ms1723											ms712	ms762	ms729	ms753	ms827	ms801	ms1791	ms1194	ms1193	ms1556	ms1723										ms712	ms762	ms729	ms753	ms827	ms801	ms1791	ms1556	ms1723												ms151	ms159	ms269		30	30	20						60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	A2L15	57	58							20	10							0
Stony Tomb Level 1	55		1	1			37	200	200	250	250	250	250	3000	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	41				59				45	-1	-1	-1	46	-1	-1	-1		64	128	64	32			1		1500	50	70	120	50	115	120	1200	1400	3000							1		20		ms1043	ms1045	ms1046	ms1740	ms1048	ms1049	ms1050	ms1051	ms1052	ms1053	ms1054	ms1055	ms1056	ms1737	ms1253	ms1597	ms1598	ms1599	ms1600	ms1601		ms1043	ms1045	ms1046	ms1740	ms1048	ms1049	ms1050	ms1051	ms1052	ms1053	ms1054	ms1055	ms1056	ms1737	ms1253	ms1597	ms1598	ms1599	ms1600	ms1601	ms1043	ms1045	ms1046	ms1740	ms1048	ms1049	ms1050	ms1051	ms1052	ms1053	ms1054	ms1055	ms1056	ms1737	ms1597	ms1598	ms1599	ms1600	ms1601		ms151	ms159	ms269		30	30	20						60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	A2L16	19	29	24						10	20	35	45					0
Halls of the Dead Level 1	56		1	1			38	133	185	133	185	133	185	3000	1300		1	1			1	1	1			2	16	-1	-1	-1	-1	60	57							33	37	-1	-1	-1	-1	-1	-1		20	255	255	255			1		2025	26	66	120	60	90	120	10	10	10							1		1		ms2193																					ms2193																				ms2193																				ms269				20								8	14	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	A2L17	30	24	32	37	36				15	30	10	40	40				0
Halls of the Dead Level 2	57		1	1			39	200	200	200	200	200	200	3000	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	42				56				45	-1	-1	-1	46	-1	-1	-1		64	128	64	32			1		1500	21	62	120	21	73	120	3300	3300	3300							1		8		ms916	ms736	ms814	ms741	ms875	ms1188	ms1189	ms1558														ms916	ms736	ms814	ms741	ms875	ms1188	ms1189	ms1558													ms916	ms736	ms814	ms741	ms875	ms1558															ms151	ms159	ms269		30	30	20						60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	A2L18	19	29	24						10	20	35	45					0
Claw Viper Temple Level 1	58		1	1			40	200	200	200	200	200	200	3000	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	45				61				45	-1	-1	-1	46	-1	-1	-1		64	128	64	32			1		1500	23	63	120	23	76	120	3300	3300	3300							1		5		ms796	ms887	ms1190	ms1194	ms1558																	ms796	ms887	ms1190	ms1194	ms1558																ms796	ms887	ms1558																		ms151	ms159	ms269		30	30	20						60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	A2L19	19	29	24						10	20	35	45					0
Stony Tomb Level 2	59		1	1			41	127	127	127	127	127	127	3000	2200		1			1	1	1	1		1	2	17	-1	-1	-1	-1	55								45	-1	-1	-1	-1	-1	-1	-1		48			255			1		4500	75	80	120	80	115	120	2500	3000	4800							1		4		ms1092	ms1093	ms1094	ms1752																		ms1092	ms1093	ms1094	ms1752																																					ms151	ms159			60	60							60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	53	75							75	75							0
Halls of the Dead Level 3	60		1	1			42	127	127	127	127	127	127	3000	2500		1				1	1	1		1	2	17	-1	-1	-1	-1	56								45	-1	-1	-1	-1	-1	-1	-1		48	255	255				1		1500	60	80	120	60	115	120	1800	2700	3600							1		2		ms1086	ms1754																				ms1086	ms1754																																							ms151				100								60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	6	15	1						10	45	15	55					0
Claw Viper Temple Level 2	61		1	1			43	200	200	200	200	200	200	3000	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	58								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		1500	24	63	120	24	77	120	3300	3300	3300							1		5		ms875	ms796	ms887	ms1190	ms1194																	ms875	ms796	ms887	ms1190	ms1194																ms875	ms796	ms887																		ms151	ms159	ms269		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24						10	30	45	55					0
Maggot Lair Level 1	62		1	1			44	200	200	200	200	200	200	3500	1000		1	1			1	1	1		1	1	18	-1	-1	-1	-1	43	63							48	49	-1	-1	-1	-1	-1	-1			255	255	255			1		2025	26	66	120	26	80	120	5000	5000	5000							1		12		ms2022	ms2023	ms2025																			ms2022	ms2023	ms2025																		ms2022	ms2023	ms2025																		ms151	ms159	ms269		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29							50	35							0
Maggot Lair Level 2	63		1	1			45	200	200	200	200	200	200	3500	1300		1	1			1	1	1		1	1	18	-1	-1	-1	-1	62	64							48	49	-1	-1	-1	-1	-1	-1			255	255	255			1		2025	26	66	120	26	80	120	5000	5000	5000							1		12		ms2022	ms2023	ms2025																			ms2022	ms2023	ms2025																		ms2022	ms2023	ms2025																		ms151	ms159	ms269		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29							65	35							0
Maggot Lair Level 3	64		1	1			46	200	200	200	200	200	200	3500	1600		1	1			1	1	1		1	1	18	-1	-1	-1	-1	63								48	-1	-1	-1	-1	-1	-1	-1		1	255					1		2025	26	66	120	26	80	120	5000	5000	5000							1		12		ms2019	ms2020	ms2021	ms2024	ms2022	ms2023																ms2019	ms2020	ms2021	ms2023	ms2022	ms2024															ms2019	ms2020	ms2021	ms2024	ms2022	ms2023															ms151	ms159	ms269		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29							80	55							0
Ancient Tunnels	65		1	1			47	47	47	47	47	47	47	4000	1000		1				1	1	1		1	2	19	-1	-1	-1	-1								44	-1	-1	-1	-1	-1	-1	-1	50		48			255			1		2025	55	85	120	60	115	120	800	800	800							1		1		ms1750																					ms1750																																																				8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	53	75							75	75							0
Tal Rasha's Tomb	66		1	1	13	13	48	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Tal Rasha's Tomb	67		1	1	13	13	49	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Tal Rasha's Tomb	68		1	1	13	13	50	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Tal Rasha's Tomb	69		1	1	13	13	51	200	200	200	200	200	200	4500	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Tal Rasha's Tomb	70		1	1	13	13	52	200	200	200	200	200	200	4500	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Tal Rasha's Tomb	71		1	1	13	13	53	200	200	200	200	200	200	4500	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Tal Rasha's Tomb	72		1	1	13	13	54	200	200	200	200	200	200	4500	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32			1		2025	29	67	120	29	84	120	3600	3600	3600							1		11		ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821											ms844	ms845	ms1781	ms738	ms775	ms910	ms1193	ms1194	ms1585	ms1723	ms1821										ms844	ms845	ms1781	ms738	ms775	ms910	ms1585	ms1723	ms1821												ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Duriel's Lair	73		1	1	13	13	55	249	249	249	249	249	249	4500	3100		2			1	1	1	1		1	2	17	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		80	72	48	18		1	1		2025	29	66	120	29	84	120										1		1		ms948																					ms948																				ms948																				ms151	ms159	ms269	ms283	30	30	20	100						21	255	Duriel's Lair	To Duriel's Lair	A2L40																	0
Arcane Sanctuary	74		1	1	11	11	56	200	200	200	200	200	200	5000	1000		1			1	1	1	1		1	1	19	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		48			255	1	1	1	11	3800	28	66	120	28	83	120	1485	1485	1485							1		8		ms1081	ms729	ms796	ms844	ms845	ms898	ms1193	ms1192														ms1081	ms729	ms796	ms844	ms845	ms898	ms1193	ms1192													ms1081	ms729	ms796	ms844	ms845	ms898																												22	16	Arcane Sanctuary	To The Arcane Sanctuary	A2L41	53	75							75	75							0
Kurast Docktown	75		2	2			57	64	48	64	48	64	48	1000	1000		1	1	1			1	1			2	20	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		250	128	255	128		1			2025																																																																																														23	18	Kurast Docktown	To The Kurast Docktown	A3L1																	0
Spider Forest	76		2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	84	85							51	51	-1	-1	-1	-1	-1	-1		100	128	255	128			1		4500	30	69	120	30	85	120	500	500	500							1	5	14		ms919	ms848	ms1080	ms722	ms756	ms802	ms780	ms876	ms1195	ms1197	ms1555	ms1581	ms1653	ms1738								ms919	ms848	ms1080	ms722	ms756	ms802	ms780	ms876	ms1195	ms1197	ms1555	ms1581	ms1653	ms1738							ms919	ms848	ms1080	ms722	ms756	ms802	ms780	ms876													ms318	ms319			30	30								24	19	Spider Forest	To The Spider Forest	A3L2	31	43	40	52	69				50	15	45	35	30				0
Great Marsh	77		2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		96	128	255	128			1		4500	31	69	120	31	87	120	666	666	666							1	5	14		ms1080	ms869	ms785	ms866	ms780	ms1766	ms872	ms748	ms1195	ms1197	ms1555	ms1581	ms1653	ms1738								ms1080	ms869	ms785	ms866	ms780	ms1766	ms872	ms748	ms1195	ms1197	ms1555	ms1581	ms1653	ms1738							ms1080	ms869	ms785	ms866	ms780	ms1738	ms872	ms748													ms318	ms319			30	30								24	20	Great Marsh	To The Great Marsh	A3L3	31	43	40	52	69				50	15	45	35	30				0
Flayer Jungle	78		2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	86	88							53	54	-1	-1	-1	-1	-1	-1		128	128	255	128			1		4500	32	70	120	32	88	120	666	666	666							1	5	14		ms866	ms869	ms872	ms748	ms754	ms713	ms781	ms899	ms786	ms1160	ms1198	ms1555	ms1581	ms1653								ms866	ms869	ms872	ms748	ms754	ms713	ms781	ms899	ms786	ms1160	ms1198	ms1555	ms1581	ms1653							ms866	ms869	ms872	ms748	ms754	ms713	ms781	ms899	ms786												ms318	ms319			30	30								24	21	Flayer Jungle	To The Flayer Jungle	A3L4	31	43	40	52	43	69			50	15	45	35	50	25			0
Lower Kurast	79		2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		128	128	255	128			1		4500	33	70	120	33	90	120	1500	1800	2100							1		13		ms776	ms899	ms1782	ms816	ms833	ms743	ms749	ms1788	ms863	ms858	ms1198	ms1199	ms1564									ms776	ms899	ms1782	ms816	ms833	ms743	ms749	ms1788	ms863	ms858	ms1198	ms1199	ms1564								ms776	ms899	ms816	ms833	ms743	ms749	ms1788	ms863	ms858												ms318	ms319			30	30								22	22	Lower Kurast	To Lower Kurast	A3L5	31	76	40	42	43	69			33	15	35	40	40	15			0
Kurast Bazaar	80		2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	94	95					57	57	61	61	-1	-1	-1	-1		128	128	255	128			1		4500	33	70	120	33	90	120	1500	1800	2100							1		12		ms776	ms1782	ms888	ms863	ms858	ms743	ms1789	ms723	ms1198	ms1199	ms1564	ms1589										ms776	ms1782	ms888	ms863	ms858	ms743	ms1789	ms723	ms1198	ms1199	ms1564	ms1589									ms776	ms888	ms863	ms858	ms743	ms1789	ms723	ms1589													ms318	ms319			30	30								22	23	Kurast Bazaar	To The Kurast Bazaar	A3L6	31	76	40	42	43	69			33	15	45	50	50	25			0
Upper Kurast	81		2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	96	97					57	57	61	61	-1	-1	-1	-1		128	150	232	96			1		4500	34	71	120	34	91	120	1700	2000	2300							1		13		ms739	ms1782	ms888	ms863	ms858	ms719	ms756	ms724	ms922	ms1199	ms1201	ms1564	ms1724									ms739	ms1782	ms888	ms863	ms858	ms719	ms756	ms724	ms922	ms1199	ms1201	ms1564	ms1724								ms739	ms888	ms863	ms858	ms719	ms756	ms724	ms922	ms1724												ms318	ms319			30	30								22	24	Upper Kurast	To Upper Kurast	A3L7	31	76	40	42	43	69			33	15	45	50	50	25			0
Kurast Causeway	82		2	2			57	48	16	48	16	48	16	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1			98	99					-1	-1	61	61	-1	-1	-1	-1		128	150	232	96			1		4500	35	95	120	75	115	120										1				ms964																					ms964																																								ms318	ms319			30	30								22	255	Kurast Causeway	To The Kurast Causeway	A3L8	31	76	40	42	43	69			33	15	45	50	50	25			0
Travincal	83		2	2			57	64	64	64	64	64	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	100								64	-1	-1	-1	-1	-1	-1	-1		255	255	162				1		1000	35	72	120	35	92	120	2000	2000	2000							1		14	GLOWING BLOB HERE	ms787	ms782	ms805	ms724	ms739	ms923	ms924	ms920	ms1165	ms1201	ms1561	ms1589	ms1583	ms1705								ms787	ms782	ms805	ms724	ms739	ms923	ms924	ms920	ms1165	ms1201	ms1561	ms1589	ms1583	ms1708							ms787	ms782	ms805	ms724	ms739	ms923	ms924	ms920	ms1561	ms1589											ms318	ms319			30	30								49	25	Travincal	To Travincal	A3L9	31	61	40	42	69	62			33	25	50	33	33	35			0
Spider Cave	84		2	2			58	50	50	50	50	50	50	1500	1000		1	1	1			1	1	1		2	22	-1	-1	-1	-1	76								57	-1	-1	-1	-1	-1	-1	-1		248	168	192	168			1		2500	60	90	120	60	115	120	2000	2000	2000							1		9		ms1006	ms1007	ms1008	ms1009	ms1010	ms1011	ms1012	ms1013	ms1014													ms1006	ms1007	ms1008	ms1009	ms1010	ms1011	ms1012	ms1013	ms1014																																ms151				30									25	255	Spider Cave	To The Spider Cave	A3L10	31	76	40	42	43	69			33	15	45	50	50	25			0
Yshari Sanctum	85		2	2			59	199	199	199	199	199	199	1500	1300		2					1	1		1	2	4	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1		150	200	200	200			1		2025	31	69	120	31	87	120										1		13		ms2093																					ms2093																				ms2093																				ms269	ms159			50	50								29	255	Yshari Sanctum	To The Spider Cavern	A3L11	33	76	31	40	42	43	69	62									0
Swampy Pit Level 1	86		2	2			60	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	24	-1	-1	-1	-1	87	78							56	55	-1	-1	-1	-1	-1	-1		64	48	64	32			1		1000	31	69	120	31	87	120	1050	1050	1050							1		11		ms1818	ms748	ms876	ms713	ms866	ms869	ms872	ms754	ms1160	ms1197	ms1733											ms1818	ms748	ms876	ms713	ms866	ms869	ms872	ms754	ms1160	ms1197	ms1733										ms748	ms876	ms713	ms866	ms869	ms872	ms754	ms1733													ms151				30									27	255	Swampy Pit Level 1	To The Swampy Pit Level 1	A3L12	66	67	62	64	72				80	80	35	35	35				0
Swampy Pit Level 2	87		2	2			61	200	200	200	200	200	200	2000	1300		1				1	1	1		1	1	24	-1	-1	-1	-1	90	86							56	55	-1	-1	-1	-1	-1	-1		64	48	64	32			1		1000	31	69	120	31	87	120	1050	1050	1050							1		11		ms1818	ms748	ms876	ms713	ms866	ms869	ms872	ms754	ms1160	ms1197	ms1733											ms1818	ms748	ms876	ms713	ms866	ms869	ms872	ms754	ms1160	ms1197	ms1733										ms748	ms876	ms713	ms866	ms869	ms872	ms754	ms1733													ms151				30									27	255	Swampy Pit Level 2	To The Swampy Pit Level 2	A3L13	66	67	62	64	72				80	80	35	35	35				0
Flayer Dungeon Level 1	88		2	2			62	200	200	200	200	200	200	2000	1600		1				1	1	1		1	2	25	-1	-1	-1	-1	89	78							85	85	-1	-1	-1	-1	-1	-1		20	255	255	255			1		1000	33	70	120	33	90	120	200	200	200							1		1		ms2043																					ms2043																				ms2043																																	27	255	Flayer Dungeon Level 1	To The Flayer Dungeon Level 1	A3L14	66																0
Flayer Dungeon Level 2	89		2	2			63	200	200	200	200	200	200	2000	1900		1				1	1	1		1	2	25	-1	-1	-1	-1	91	88							85	85	-1	-1	-1	-1	-1	-1		20	255	255	255			1		1000	33	70	120	33	90	120	350	350	350							1		1		ms2043																					ms2043																				ms2043																																	27	255	Flayer Dungeon Level 2	To The Flayer Dungeon Level 2	A3L15																	0
Swampy Pit Level 3	90		2	2			64	40	40	40	40	40	40	2000	2200		1				1	1	1		1	2	24	-1	-1	-1	-1		87							-1	19	-1	-1	-1	-1	-1	-1		212	255	81	128			1		1000	60	90	120	70	115	120										1				ms1622																					ms1622																				ms1622																				ms151				30									27	255	Swampy Pit Level 3	To The Swampy Pit Level 3	A3L16	66	67	62	64	72				80	80	35	35	35				0
Flayer Dungeon Level 3	91		2	2			65	200	200	200	200	200	200	2000	2340		1				1	1	1		1	2	25	-1	-1	-1	-1		89							-1	19	-1	-1	-1	-1	-1	-1		80	255	255	255			1		1000	33	70	120	33	90	120	500	500	500							1		1		ms2043																					ms2043																				ms2043																																	27	255	Flayer Dungeon Level 3	To The Flayer Dungeon Level 3	A3L17	66																0
