code	*done	* Laz / status	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
pr409	1	Mystic Orbs			1	is235																									Mystic Orbs		min	max	none	0
pr410	1	Mystic Orbs			1	is236																									Mystic Orbs	(32nds)			none	0
pr411	1	Mystic Orbs			1	is237																									Mystic Orbs	(32nds)			none	0
pr412	1	Mystic Orbs			1	is238																									Mystic Orbs		1	1	desc string for special item class	0
pr413	1	Mystic Orbs			1	is241																									Mystic Orbs		min	max	none	0
pr414	1	Mystic Orbs			1	is242																									Mystic Orbs		min	max	none	0
pr415	1	Mystic Orbs			1	is243																									Mystic Orbs		min	max	none	0
pr416	1	Mystic Orbs			1	is244																									Mystic Orbs		min	max	none	0
pr417	1	Mystic Orbs			1	is245																									Mystic Orbs		1	1	desc string for Evanescence	0
pr418	1	Mystic Orbs			1	is246																									Mystic Orbs		min	max	none	0
pr419	1	Mystic Orbs			1	is249																									Mystic Orbs		min	max	none	0
pr420	1	Skill on Cast UNUSED			11	is251																									Proc Skill on Cast	Skill #	% Chance	Level	none	0
pr421	1	Mystic Orbs			1	is255																									Mystic Orbs		min	max	none	0
pr422	1	Mystic Orbs			1	is256																									Mystic Orbs		min	max	none	0
pr423	1	Mystic Orbs			1	is257																									Mystic Orbs		min	max	none	0
pr424	1	Mystic Orbs			1	is258																									Mystic Orbs		min	max	none	0
pr425	1	Mystic Orbs			1	is263																									Mystic Orbs		1	1	desc string for built-in cascade attack	0
pr426	1	Mystic Orbs			1	is264																									Mystic Orbs		min	max	none	0
pr427	1	Mystic Orbs			1	is285																									Mystic Orbs	Skill #	% Chance	Level		0
pr428	1	Mystic Orbs			1	is286																									Mystic Orbs	Skill #	% Chance	Level		0
pr429	1	Mystic Orbs			1	is287																									Mystic Orbs	Skill #	% Chance	Level		0
pr430	1	Mystic Orbs			1	is294																									Mystic Orbs		min	max	none	0
pr431	1	Mystic Orbs			1	is297																									Mystic Orbs		min	max	none	0
pr432	1	Mystic Orbs			1	is298																									Mystic Orbs	Skill #	% Chance	Level	white text	0
pr433	1	Mystic Orbs			1	is304																									Mystic Orbs	(32nds)			none	0
pr434	1	Mystic Orbs UNUSED			1	is309																									Mystic Orbs UNUSED		1	1	none	0
pr435	1	Mystic Orbs			1	is310																									Mystic Orbs		min	max	none	0
pr436	1	Mystic Orbs			1	is311																									Mystic Orbs		min	max	none	0
pr437	1	Mystic Orbs			1	is312																									Mystic Orbs		1	1	none	0
pr438	1	Mystic Orbs			1	is313																									Mystic Orbs		1	1	none	0
pr439	1	Mystic Orbs			1	is314																									Mystic Orbs		min	max	none	0
pr440	1	Mystic Orbs			1	is369																									Mystic Orbs		min	max	none	0
pr441	1	Mystic Orbs			1	is370																									Mystic Orbs		min	max	none	0
pr442	1	Mystic Orbs			1	is382																									Mystic Orbs		min	max	none	0
pr443	1	Mystic Orbs			1	is383																									Mystic Orbs	Skill #	% Chance	Level	white text	0
pr444	1	Mystic Orbs			1	is393																									Mystic Orbs		min	max	none	0
pr445	1	Mystic Orbs			1	is397																									Mystic Orbs				none	0
pr446	1	Mystic Orbs			1	is398																									Mystic Orbs				none	0
pr447	1	Mystic Orbs			1	is400																									Mystic Orbs		1	1	none	0
pr448	1	Mystic Orbs			1	is401																									Mystic Orbs				none	0
pr449	1	Mystic Orbs			1	is403																									Mystic Orbs		min	max	none	0
pr450	1	Mystic Orbs			1	is408																									Mystic Orbs		min	max	none	0
pr451	1	Mystic Orbs UNUSED			1	is458																									Mystic Orbs UNUSED		min	max	none	0
pr452	1	Mystic Orbs			1	is459																									Mystic Orbs		min	max	none	0
pr453	1	Mystic Orbs			1	is460																									Mystic Orbs		min	max	none	0
pr454	1	Mystic Orbs			1	is461																									Mystic Orbs		min	max	none	0
pr455	1	cubemain.txt			1	is462																									Laz / MC counter		min	max	none	0
pr456	1	cubemain.txt			1	is463																									Laz / MC counter		min	max	none	0
pr457	1	cubemain.txt			1	is464																									Laz / MC counter		min	max	none	0
pr458	1	cubemain.txt			1	is465																									Laz / MC counter		min	max	none	0
pr459	1	cubemain.txt			1	is466																									Laz / MC counter		min	max	none	0
pr460	1	cubemain.txt			17	is499																									Laz / MC counter		min	max	none	0
pr461	1	cubemain.txt			1	is278																									Laz / MC counter		min	max	none	0
pr462	1	cubemain.txt			1	is491																									Laz / MC counter		min	max	none	0
pr463	1	cubemain.txt			1	is99			3	is96																					Laz / MC counter		min	max	none	0
pr464	1	cubemain.txt			1	is490																									Laz / MC counter		min	max	none	0
pr465	1	cubemain.txt			1	is52																									Laz / MC counter		min	max	none	0
pr466	1	cubemain.txt			1	is53																									Laz / MC counter		min	max	none	0
pr467	1	cubemain.txt			1	is96			3	is1																					Laz / MC counter		min	max	none	0
pr468	1	cubemain.txt			1	is441			3	is445																					Laz / MC counter		min	max	none	0
pr469	1	Level Required			1	is219																									Laz / MC counter		min	max	none	0
pr470	1	cubemain.txt			1	is93			3	is153			3	is329			3	is330			3	is331			3	is332			3	is377	Laz / MC counter		min	max	none	0
pr471	1	cubemain.txt			1	is261																									Laz / MC counter		min	max	none	0
pr472	1	cubemain.txt			1	is136			3	is362																					Laz / MC counter		min	max	none	0
pr473	1	cubemain.txt			1	is93			3	is99																					Laz / MC counter		min	max	none	0
pr474	1	cubemain.txt			11	is371																									Laz / MC counter		min	max	none	0
pr475	1	cubemain.txt			1	is338			3	is339			3	is340			3	is110													Laz / MC counter		min	max	none	0
pr476	1	cubemain.txt			1	is276																									Laz / MC counter		min	max	none	0
pr477	1	cubemain.txt			1	is333			3	is336																					Laz / MC counter		min	max	none	0
pr478	1	cubemain.txt			11	is200																									Laz / MC counter		min	max	none	0
pr479	1	cubemain.txt			11	is260																									Laz / MC counter		min	max	none	0
pr480	1	cubemain.txt			1	is376																									Laz / MC counter		min	max	none	0
pr481	1	cubemain.txt			11	is292																									Laz / MC counter		min	max	none	0
pr482	1	cubemain.txt			1	is340																									Laz / MC counter		min	max	none	0
pr483	1	cubemain.txt			1	is506																									Laz / MC counter		min	max	none	0
pr484	1	cubemain.txt			1	is508																									Laz / MC counter		min	max	none	0
pr485	1	cubemain.txt			1	is508																									Laz / MC counter		min	max	none	0
pr486	1	cubemain.txt			1	is189																									Laz / MC counter		min	max	none	0
pr487	1	cubemain.txt			1	is509																									Laz / MC counter		min	max	none	0
pr488	1	cubemain.txt			1	is143				is145				is147				is149													Laz / MC counter		min	max	none	0
pr489	1	cubemain.txt			1	is448																									Laz / MC counter		min	max	none	0
pr490	1	cubemain.txt			1	is412																									Laz / MC counter		min	max	none	0
pr491	1	cubemain.txt			1	is501																									Laz / MC counter		min	max	none	0
pr492	1	cubemain.txt			1	is468																									Laz / MC counter		min	max	none	0
pr493	1	cubemain.txt			1	is469																									Laz / MC counter		min	max	none	0
pr494	1	cubemain.txt			1	is334			3	is336																					Laz / MC counter		min	max	none	0
pr495	1	cubemain.txt			1	is496																									Laz / MC counter		min	max	none	0
pr496	1	cubemain.txt			1	is329			3	is331			3	is377																	Laz / MC counter		min	max	none	0
