skill	Id	charclass	skilldesc	* Laz / status	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	*Manaat30	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk199	199					104																																																							ms340	pt0																so755	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	S3																	1						so755			1																								0	1	1																	?		?		?		?		?		?					1								8																																			1		
sk200	200														ml246																																																															so0	so0			so0	so0	so0		so0		so0									ml246													1			none												SC	SC	S1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8		10	10	10	10	10	10	20	10	10	10	10	10																						1		
sk201	201														ml203																																																															so0	so0			so0	so0	so0		so0		so0									ml203													1			none												SQ	SQ	A1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk202	202					110																																																																								so0	so0			so0	so0	so0		so0		so0					66																	1			none												SQ	SQ	A1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk203	203					105												ml283																																																												so0	so0			so0	so0	so0		so0		so0					60					ml283												1			none												SQ	SQ	xx	26																1						so0			1																								0	1										3	#missiles							?		?		?		?		?		?					1								8																																			1		
sk204	204					106												ml643																																																												so1253	so0			so0	so0	so0		so0		so0					61					ml643												1			none												SQ	SQ	xx	27																1						so1253			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk205	205																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											280,5																			freeze duration				radius		radius per level																																																						
sk206	206				55	107																																																																								so0	so0			so0	so0	so0		so0		so0				42	62																	1			none												SQ	SQ	xx	34																1						so0			1																								0	1										4	min loops	7	max loops	25	heal pct		12	reset loop frame		?		?		?		?		?					1								8		2	2	2	2	2	2	4	2	2	2	2	2			2	3	3	3	3	3	4	3	3	3	3	3		200						1		
sk207	207														ml243																																																															so0	so0			so0	so0	so0		so0		so0									ml243													1			none												SC	SC	S2																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																						1		
sk208	208														ml244																																																															so0	so0			so0	so0	so0		so0		so0									ml244													1			none												SC	SC	S2																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																						1		
sk209	209		sd681			8												ml2102																																																												so0	so0			so0	so0	so0		so0		so0					17					ml2102	ml2102											1	2		none												SC	SC	xx																	1						so0			1	99													1							7	28	7	115,5	1										1	number of missiles												1	synergy									1								4		32						32						(rand(0,999)<stat('is1'.base))?1250000:0	cold	96	32	16	16	16	16	108	36	18	18	18	18	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100	25				stat('is409'.accr)				
sk210	210														ml2514																																																															so1253	so0			so0	so0	so0		so0		so0									ml2514													1	2		none												SC	SC	xx																	1						so1253			1	99													1										0	1																																	1								8																																					
sk211	211					10												ml329	ml329																																																											so422	so0			so0	so0	so0		so0		so0					18					ml329	ml329											1			none												SQ	SQ	S1																	1						so422			1																								0	1																	15	Search range		?		?		?		?		?					1								8																																			1		
sk212	212					112																			ln34	ln12																																																				so0	so0			so0	so0	so0		so0		so0				18	30					ml142		ml147										1	5		none												SQ	SQ	S2																	1						so0			1																								0	1																	3	radius	1	radius per level	300	duration	60	additional duration/level	25	min % resist lower	70	max % resist lower	-50	speed			1								8																																			1		
sk213	213					28												ml336																																																												so0	so0			so0	so0	so0		so0		so0				44																		1	4		none												SQ	SQ	A1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk214	214					108																																																																								so1599	so0			so0	so0	so0		so0		so0					63					ml115	ml20											1	2		none												SQ	SQ	S1									1		1						1						so1599			1																								0	1										100	heal% of target hp							?		?		?		?		?		?					1								8																																			1		
sk215	215				64	109																			ln12		is67	dm34	is68	dm34	is69	dm34																																														so0	so0			so0	so0	so0		so0		so0																						1	3		none												SQ	SQ	A2				1		1	1										1						so0			1																								0	1																	200	duration	25	duration/level	30	min % speed increase	110	max % speed increase		?		?					1	10	10						8	128																																		1		
sk216	216																																																																													so0	so0			so0	so0	so0		so0		so0					64																	1			none												SQ	SQ	xx	41																1						so0			1																								0																			?		?		?		?		?		?					1								8																																			1		
sk217	217		sd156			113																																																																								so0	so0			so0	so0	so0		so0		so0																									none												SC	SC	xx																	1						so0			1									1							5								0		1								1									?		?		?		?		?		?					1								8																																			1		
sk218	218		sd157			113																																																																								so0	so0			so0	so0	so0		so0		so0																									none												SC	SC	xx																	1						so0			1									1							5								0		1								1									?		?		?		?		?		?					1								8																																			1		
sk219	219		sd158			113																																																																								so0	so0			so0	so0	so0		so0		so0																									none												SC	SC	xx																	1						so0			1									1							5								0										1									?		?		?		?		?		?					1								8																																			1		
sk220	220		sd159			113																																																																								so0	so0			so0	so0	so0		so0		so0																									none												SC	SC	xx																	1						so0			1									1							5								0										1									?		?		?		?		?		?					1								8																																			1		
sk221	221					125												ml517																																																												so0	so0			so0	so0	so0		so0		so0					70					ml517												1			none												SQ	SQ	S2				1													1						so0			1																								0	1																par8	6	Number of missiles	2	Number of missiles per level			2	Min Range							5	Shots Fired	1								8																																			1		
sk222	222				59	126												ml398																																																												so0	so0			so0	so0	so0		so0		so0					71					ml398	ml399			8	z offset	lvl-1	range					1			none												SQ	SQ	SC	6			1													1						so0			1																								0	1										rand(par3,par4)	len	lvl-1	range				30	base ranged (doubled)	3	level range (doubled)	100	min frames	120	max frames									1								4															fire	18	15	15	15	15	15	37	15	15	15	15	15								1		
sk223	223		sd316			18									ml716								st205		19		is26	-20	is364	skill('sk398'.blvl)*par1																																																so2473	so0			so0	so0	so0		so0		so0									ml716													1	2		none												SC	SC	xx																	1						so2473		(ulvl<((blvl-1)-stat('is479'.accr))*6)?(stat('is5'.accr)+1):1	1	99								1					1							7	12	6	93	1																	2						1	synergy							10	duration synergy	1																							pois	16	8	4	4	4	4	72	36	18	18	18	18	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100	75	5	5	5	skill('sk1018'.blvl)*par8+stat('is431'.accr)				
sk224	224					28												ml546																																																												so0	so0			so0	so0	so0		so0		so4631				46						ml546												1			none												SQ	SQ	A1				1													1						so0			1																								0	1										3		45					45	Delay in poison clouds	3	Delay in lightning 													1								8																																			1		
sk225	225					141																				ln34																																																				so0	so0			so0	so0	so0		so0		so0				82																		1			none												SQ	SQ	S3				1													1						so0			1																								0	1																	1	% of base monster HP min damage	1	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	40	Radius of search for corpses							1								8																																			1		
sk226	226														ml550		1																																																													so477	so0			so0	so0	so0		so0		so0									ml550													1			none												SQ	SQ	S3				1													1						so477			1																								0	1																																	1								8																																			1		
sk227	227					28												ml407																																																												so0	so0			so0	so0	so0		so0		so0				47						ml407				16	fall rate							1			none												SQ	SQ	A1				1													1						so0			1																								0	1																	4	Charged bolts per level															1								8																																			1		
sk228	228					28												ml411																																																												so0	so0			so0	so0	so0		so0		so0				47						ml411				16	fall rate							1			none												SQ	SQ	A1				1													1						so0			1																								0	1																ln12	20	Spikes to launch	5	Spikes per level													1								8																																			1		
sk229	229				60	127																																																																								so0	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	A1				1													1						so0			1																								0	1										par1	heal%						25	Percent life to boss															1								8		1						3																											1		
sk230	230					128															ol133																																																									so0	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	S1				1													1						so0			1																								0											ln12	duration						100	Time for minions to attack target	20	Time per level													1								8																																			1		
sk231	231														ml425																																																															so0	so0			so0	so0	so0		so0		so0									ml425													1			none												SQ	SQ	S2				1													1						so0			1																								0	1																																	1								8		10	5	5	5	5	5	20	5	5	5	5	5																						1		
sk232	232					98																																																																								so0	so0			so0	so0	so0		so0		so0				48	73																	1			none												SQ	SQ	S1				1													1						so0			1																								0	1																																	1								8																																			1		
sk233	233				61																																																																									so0	so0			so0	so0	so0		so0		so0				38																		1			none												SQ	SQ	S1				1													1						so0			1																								0	1																																	1								8																																			1		
sk234	234					130												ml474						st24			is67	-100																																																		so0	so0			so786	so799	so795		so0		so0				49						ml469	ml471	ml466	ml468	ln12	#vines	35	delay	6	min dist between missiles			1			none												SQ	SQ	S1				1													1						so0			1																								0	1										ln12	# missiles					20	3	Number of vines	1	vines per level													1								8																																			1		
sk235	235					131																			par2		is67	par3	is68	par4	is171	par5	is25	par6																											ms461			S1											33			so0	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	A2				1													1						so0			1																								0	1										par1	chance						65	Chance Bloodlust	250	Bloodlust duration	80	Velocity change	80	Speed change	50	Armor change	100	Damage change					1								8																																			1		
sk236	236		sd655			124												ml2287	ml2287	ml2287			st87		(ln56*(100+stat('is409'.accr)))/100	1																																																				so2398	so0			so0	so0	so0		so0		so0	ol34					92					ml2287			25		25		15				1	6		none												SC	SC	xx																	1						so0			1	99								1					1							7	100		50	1	1																						125	delay between attacks	1500	duration	500	duration per level					1								2															ltng	12	4	2	2	2	2	36	12	6	6	6	6	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100									
sk237	237					65																65795				ln12	is119	ln34	is25	ln56																																																so0	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	A1				1													1						so0			1																								0	1		1															30	Radius	2	radius per level	25	% attack rating bonus	7	% attack rating bonus per lvl	20	% damage increase	7	% damage increase per level					1								8																																			1		
sk238	238					65																65795				ln12	is76	ln34																																																		so0	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	A1				1													1						so0			1																								0	1		1															30	Radius	2	radius per level	30	% hitpoints more per level	5	% hitpoint bonus per level									1								8																																			1		
sk239	239					132												ml592																																																												so2399	so0			so0	so0	so0		so0		so0	ol192								ml592													1			none												A1	A1	A1																	1						so2399	ol192		1																								0	1										lvl-1	range adder							?		?		?		?		?		?					1								8																																			1		
sk240	240					133																																																										NU														so0	so0			so0	so0	so0		so0		so0																						1			none												S1	S1	S1				1													1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk241	241		sd698												ml750											ln78																																																				so0	so0			so0	so0	so0		so0		so0									ml750													1			rng		miss										A1	A1	A1				1													1						so0		(ulvl<((blvl-1)-stat('is479'.accr))*6)?(stat('is5'.accr)+1):1	1	99													1										0	1																													14	target seek range	3	target seek range per level	1								8	128														mag	9	9	9	9	9	9	9	9	9	9	9	9	10*ulvl									
sk242	242				62	135																																																																						ol202		so0	so0			so0	so0	so0		so0		so0																						1			none												A1	A1	A1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk243	243					28												ml416																																																												so0	so0			so0	so0	so0		so0		so0				47						ml416				16	fall rate							1			none												A1	A1	A1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk244	244					28												ml419																																																												so0	so0			so0	so0	so0		so0		so0				47						ml419				16	fall rate							1			none												A1	A1	A1																	1						so0			1																								0	1																		?		?		?		?		?		?					1								8																																			1		
sk245	245					28												ml422								par1																																																				so0	so0			so0	so0	so0		so0		so0				47						ml422				16	fall rate							1			none												A1	A1	A1																	1						so0			1																								0	1																	5	radius of explosion		?	50	duration base	3	duration/level		?		?					1								8																																			1		
sk246	246					17												ml495																																																												so0	so0			so0	so0	so0		so0		so0					23					ml495												1			none												SC	SC	xx																	1						so0			1																								0	1										ln12+skill('sk0'.blvl)/3	# bolts					par8+skill('sk0'.blvl)/4	5	Bolts to send out		Bolts to send out per level											5	Shots Fired	1								8																																			1		
sk247	247				63													ml498								10																																																				so0	so0			so0	so0	so0		so0		so0				49		93				ml469	ml498											1			none												SQ	SQ	S1				1							1						1						so0			1																								0	1										dm12	life steal						3	min % life steal	12	max % life steal													1								8																																			1		
sk248	248		sd709												ml2846							73731	st190	st190	25-(lvl-1)*20		is67	-119	is68	-119	is69	-119	is105	-119																																												so2490	so0			so0	so0	so0		so0		so0									ml2846													1	2		none												SC	SC	xx																	1						so2490			1	99													1							7			0	1											missile animrate							?		?	100	?		?		?		?	100		100		1								4																																					
sk249	249					30																3			ln34	ln12	is171	-10																																																		so0	so0			so0	so0	so0		so0		so0				18	30					ml142		ml147										1			none												SC	SC	S2																	1						so0			1																								0	1																	3	radius	1	radius per level	200	duration	75	additional duration/level	50	% defense	5	% defense/lvl					1																																											1		
sk250	250	nec	sd751			124																42883	st81		750	par3																																																				so4934	so0			so0	so0	so0		so0		so4935										ml3692	ml3691	ml3690		3		75						1			none												SC	SC	xx				1																			so0		(ulvl-24<((blvl-1)-stat('is479'.accr))*6)?(stat('is5'.accr)+1):1	24	99					sk1269			1				max(0,750-50*blvl)							1	8	50	10	0																		750	radius		radius per level	9	duration	20	additional duration/level		Max hitpoints to remove curse			50		9		1				1	2																		pois	72	21	11	11	11	11	160	35	16	16	16	16	((((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100)*(25+skill('sk1269'.blvl)))/50	50				stat('is431'.accr)			896	64000
sk251	251					68												ml869					st197		35		is36	200	is37	200	is39	200	is43	200	is41	200	is45	200																																								so0	so0			so0	so0	so0		so0		so0					25					ml869												1	9		none												SC	SC	xx				1													1						so0	ol79		1	99												max(par7-blvl*par8,50)											0	1	1																																1								8																																					
sk252	252					55																				ln34																																																				so0	so0			so0	so0	so0		so0		so2458	ol276			50	78					ml115	ml519											1			none												SQ	SQ	xx											1						1						so0	ol276		1																								0	1										par1	damage %	par2	damage %	50	fire %	par8+skill('sk0'.blvl)/3	10	% of base monster HP min damage	25	% of base monster HP max damage	10	radius (half squares)	1	additional radius/level (half squares)							5	Shots Fired	1								8															fire																				1		
sk253	253														ml1016																																																															so0	so0			so0	so0	so0		so0		so0									ml1016													1			none												SQ	SQ	xx																	1						so0			1																								0	1																par8															15	Shots Fired	1								8																																			1		
sk254	254					137																			par1		is25	par2																																																		so0	so0			so2458	so0	so0		so0		so0				51	79					ml115												1			none												A1	A1	A1											1						1						so0			1																								0	1																	500	rage duration - see fenris rage	100	% damage with rage - see fenris rage													1								8																																			1		
sk255	255					140																																																																								so0	so0			so0	so0	so0		so0		so0																						1			none												S2	S2	S2				1													1						so0			1																								0	1																		?		?		?		?									1																																											1		
sk256	256					22												ml555																																																												so476	so0			so0	so0	so0		so0		so0	ol30				25					ml555												1			none												S3	S3	S3																	1						so476	ol30		1																								0	1																																	1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32								1		
sk257	257				53	95												ml554																																																												so475	so0			so0	so0	so0		so0		so0					54					ml554												1			none												SQ	SQ	xx																	1						so475			1																								0	1												par1	length of fire	2	density		20	frame length						?									1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48								1		
sk258	258					139												ml589																																																												so462	so0			so0	so0	so0		so0		so0					81					ml589												1			none												A1	A1	A1				1													1						so462			1																								0	1																																	1								8															cold	2	2	2	2	2	2	4	4	4	4	4	4	20*ulvl	200	50	50	50			1		
sk259	259				53	95												ml675																																																												so0	so0			so0	so0	so0		so0		so0					54					ml144	ml145											1			none												SQ	SQ	S1																	1						so0			1																								0	1												par1	length of fire	2	density		15	frame length															1								8																																			1		
sk260	260				49	91															ol221																																																									so0	so0			so0	so0	so0		so0		so0				36	50																	1			none												SQ	SQ	xx																	1						so0			1																								0	1																																	1								8																																			1		
sk261	261					24												ml653	ml331																																																											so2399	so0			so0	so0	so0		so0		so0					26					ml653												1			none												SQ	SQ	A1																	1						so2399			1																								0	1																																	1																																											1		
sk262	262					30																3		st176	250	50	is359	-500*lvl	is360	-500*lvl	is361	-500*lvl	is362	-500*lvl	is67	-50	is182	-100																																								so2464	so0			so0	so0	so0		so0		so0				18	30					ml181		ml147										1	3		none												SC	SC	xx					4												1						so2464			1	99																							0	1											#bolts														4								1								8																																					
sk263	263		sd658			8												ml983																																																												so2367	so0			so0	so0	so0		so0		so0	ol191				17					ml983	ml983											1	6		none												SC	SC	xx																	1						so2367			12													2	1							7	42	7	122,5	1										3	number of missiles						5	timer loss min	100	timer loss max											5	poison length synergy	1																							pois	832	208	104	104	104	104	1408	352	176	176	176	176	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100	50				stat('is431'.accr)				
sk264	264														ml641																																																															so0	so0			so0	so0	so0		so0		so0									ml641													1			none												SQ	SQ	xx																	1						so0			1																								0	1																															5	Shots Fired	1								8																																			1		
sk265	265				63													ml540								10																																																				so0	so0			so0	so0	so0		so0		so0				49		93				ml469	ml498											1			none												SQ	SQ	S1				1							1						1						so0			1																								0	1										dm12	mana steal						1	min % mana steal	8	max % mana steal													1								8																																			1		
sk266	266				32	2																																																																								so768	so0			so0	so0	so0		so0		so0																						1	9		h2h												S1	S1	xx				1		1	1										1						so768			1																								0											ln34	damage %	max(250,ln12)	stunlen				15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8																																			1		
sk267	267					97																																																																								so0	so0			so0	so0	so0		so0		so0	ol26			39																		1			none												SQ	SQ	xx							1	1	1		1					1	1						so0	ol26		1																								0	1																																	1																																											1		
sk268	268				37	109																	st94		ln12		is67	dm34	is68	dm34	is69	dm34																																														so304	so0	1		so304	so0	so0		so0		so0																						1	3		none												SQ	SQ	A2				1		1	1										1						so304			1																								0	1																	200	duration	25	duration/level	30	min % speed increase	110	max % speed increase									1	10	10						8	128																																		1		
sk269	269					98																																																																								so0	so0			so0	so0	so0		so0		so0				48	73						ml613											1			none												SQ	SQ	S1				1													1						so0			1																								0	1																																	1								8																																			1		
sk270	270					129																																																																								so2441	so0			so0	so0	so0		so0		so0				48	74					ml451	ml451											1			none												SQ	SQ	S1				1													1						so2441			1																								0	1																																	1								8																																			1		
sk271	271					98																																																																								so0	so0			so0	so0	so0		so0		so0				48	73					ml614	ml613											1			none												SQ	SQ	S1				1													1						so0			1																								0	1																																	1								8																																			1		
sk272	272														ml170																																																															so2398	so0			so0	so0	so0		so0		so0	ol34								ml170													1			none												SQ	SQ	S1																	1						so2398	ol34		1																								0	1																																	1								8																																			1		
sk273	273					65																73731	st251	st251		ln12	is329	ln34	is377	ln34	is76	25																																														so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														xx																	1						so0			1	99								1															0	1	1	1		50													50	range		range per level	25	dmg % elem	5	dmg % elem per level	50	dmg %	5	dmg % per level					1								8																																			1		
sk274	274														ml276																																																															so0	so0			so0	so0	so0		so0		so0									ml276													1			none												SC	SC	A2																	1						so0			1																								0	1																																	1								8																																			1		
sk275	275					148												ml323																																																												so0	so0			so0	so0	so0		so0		so0					94					ml323												1			none												SC	SC	S1																	1						so0			1																								0	1																																	1								8																																			1		
sk276	276					110												ml120																																																												so0	so0			so0	so0	so0		so0		so0					66					ml120												1			none												A1	A1	A1																	1						so0			1																								0	1																																	1								8																																			1		
sk277	277														ml247																																																															so0	so0			so0	so0	so0		so0		so0									ml247													1			none												SC	SC	SC																	1						so0			1																								0	1																																	1								8																																			1		
sk278	278					149												ml208																																																												so0	so0			so0	so0	so0		so0		so0					95					ml208												1			none												SC	SC	A1																	1						so0			1																								0	1																																	1								8																																			1		
sk279	279				4										ml660																																																															so0	so0			so0	so0	so0		so0		so0				11					ml660													1			rng												A1	A1	A1				1													1						so0			1																								0	1																																	1								8	128																																		1		
sk280	280					65																73731	st114	st114			is96	5																																																		so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																	1						so0			1	99																							0	1	1	1		25																													1								8																																					
sk281	281					65																73731	st177	st177			is39	rand(0,400)	is43	rand(0,400)	is41	rand(0,400)	is37	rand(0,400)	is36	rand(0,400)	is45	rand(0,400)																																								so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																	1						so0			1	99																							0	1	1	1		25																													1								8																																					
sk282	282					66																42371	st243	st243		40	is68	-1*par1	is25	-5	is3	(-4*lvl)*(lvl+5)	is448	1																																												so0	so0			so0	so0	so0		so0		so0																						1	6		none														xx																	1						so0			1	99																							0	1	1	1		50													20	attack rate penalty															1								8																																					
sk283	283																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											0																																																																															
sk284	284		sd419			65																73731	st223	st223			is74	-1*(stat('is7'.accr)/1250)																																																		so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																	1						so0			65526	99																							0	1	1	1		15																													1								8																																			1		
sk285	285					141																				ln34																																																				so0	so0			so0	so0	so0		so0		so0				82																		1			none												SQ	SQ	S3				1													1						so0			1																								0	1																	1	% of base monster HP min damage	1	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	40	Radius of search for corpses							1								8																																					
sk286	286														ml550		1																																																													so477	so0			so0	so0	so0		so0		so0									ml550													1			none												SQ	SQ	S3				1													1						so0			1																								0	1																																	1								8																																					
sk287	287					65																73731	st177	st177			is171	50	is25	stat('is0'.accr)	is485	stat('is0'.accr)/4	is67	50+(ulvl-1)*2	is74	stat('is0'.accr)*256																																										so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																	1						so0			1	99																							0	1	1	1		50																													1								8																																					
sk288	288																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											0																			dmg % min		dmg % max		dmg % elem min		dmg % elem max		hp (in 256ths)		hp (in 256ths) per level		attack bonus min		attack bonus max																																														
sk289	289																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											0																							dmg % synergy																																																								
sk290	290		sd442			66																42371	st37	st37		120	is25	(lvl==11)?600:dm12	is329	(lvl==11)?500:dm34	is330	(lvl==11)?500:dm34	is331	(lvl==11)?500:dm34	is7	(lvl==11)?102400000:(((ln56*ulvl)*ulvl)/4)	is119	(lvl==11)?500:dm78											is80	(stat('-1'.accr)>0)?(lvl*40):0	is112	-32*lvl	is81	-1*lvl	is20	-2*lvl	is150	-25*lvl																				so0	so0			so0	so0	so0		so0		so0																						1	6		none		mele												xx	5		1																				so0			1	99																							0	1	1	1		50													30	dmg % min	750	dmg % max	25	dmg % elem min	625	dmg % elem max	2560	hp (in 256ths)	2560	hp (in 256ths) per level		attack bonus min	500	attack bonus max	1								8																																					
sk291	291				17	55																				6																																																			1	so2457	so0			so0	so0	so0		so2458		so0				21	32					ml115	ml42	ml151										1			none												SC	SC	xx								1		1	1						1						so2457			1																								0	1										par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental		10	% of base monster HP min damage	20	% of base monster HP max damage					50	% damage to do as elemental							1								8															fire																				1		
sk292	292				31	67																																																																								so0	so0			so0	so0	so0		so0		so0				25	37																	1	2		none												SQ	A1	xx	4					1	1								1		1						so0			1																								0																		150	percent increase in velocity				plus % damage		plus % dam per level									1	50	15						8	128																																		1		
sk293	293					22												ml678	ml678	ml678																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				25					ml678												1	2		none												SC	SC	xx																	1						so2398	ol34		1																								0																		12	number of missiles	4	additional missiles per level													1								8																																			1		
sk294	294					65																73731	st177	st177			is39	-1000*stat('is269'.accr)	is41	-1000*stat('is269'.accr)	is43	-1000*stat('is269'.accr)	is45	-1000*stat('is269'.accr)	is37	-1000*stat('is269'.accr)	is36	-1000*stat('is269'.accr)																																								so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																	1						so0			1	99																							0	1	1	1		50																													1								8																																					
sk295	295		sd419			65																73731	st177	st177			is39	rand(0,100+lvl*10)-(25+lvl*5)	is43	rand(0,100+lvl*10)-(25+lvl*5)	is41	rand(0,100+lvl*10)-(25+lvl*5)	is45	rand(0,100+lvl*10)-(25+lvl*5)																																												so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																							so0			1	99																							0	1	1	1		50																													1								8																																					
sk296	296		sd419			65																73731	st177	st177			is22	15	is96	rand(0,200)-75																																																so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																							so0			1	99																							0	1	1	1		50																													1								8																																					
sk297	297		sd419			65																73731	st210	st210		ln12	is76	dm34	is74	(ulvl-1)*(4+(ulvl-1)/10)	is329	stat('is394'.accr)	is331	stat('is394'.accr)	is330	stat('is394'.accr)	is332	stat('is394'.accr)																																								so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														xx																							so0			1	99								1															0	1	1	1		50													40	range	2	range per level	25	hp % min	50	hp % max									1								8																																			1		
sk298	298					65																73729	st159	st159		ln12	is441	4	is445	4																																																so0	so0			so0	so0	so0		so0		so0																						1	8		none														xx																							so0			1	99								1															0	1	1	1		50													80	range		range per level													1								8																																			1		
