Name	Rune Name	complete	* Laz / status	* Laz / level	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
WallOfFire	WallOfFire	1		115		shld									On	jew	jew	r50				pr222		11	20	pr5		251	300	pr218		31	40	pr84		40	40	pr226		500	500	pr215		31	40	pr104		1	1	0
Avatar	Avatar	1		120		shld									Qor	jew	jew	r53				pr75		45	45	pr5		301	350	pr198	sk680	100	61	pr339		45	45	pr59		31	50	pr104		1	1	pr320		41	50	0
Iblis	Iblis	1		13		glov									Nef	jew	jew	r04				pr262		1	5	pr43		5	5	pr183		16	20	pr217		10	10	pr73		5	5									0
Mercy	Mercy	1		29		glov									Shael	jew	jew	r13				pr7		1	10	pr126	sk263	5	14	pr218		11	15	pr0		26	26	pr28		21	30									0
Kali	Kali	1		45		glov									Pul	jew	jew	r21				pr31		1	1	pr197	sk518	33	6	pr104		2	2	pr0		-214	-214	pr32		10	10	pr182	sk568	124	2					0
Aiwass	Aiwass	1		69		glov									Zod	jew	jew	r33				pr208		-5	-5	pr354		1	1	pr69		2	2	pr0		93	93	pr182	sk873	78	4	pr215		11	20	pr269		21	25	0
Skald	Skald	1		94		glov									Kra	jew	jew	r41				pr292		11	15	pr182	sk96	33	3	pr182	sk570	33	3	pr5		201	250	pr87		20	20	pr65		14	18	pr126	sk998	40	6	0
Icarus	Icarus	1		115		glov									Lai	jew	jew	r49				pr78		80	80	pr5		251	300	pr9		75	75	pr10		75	75	pr31		-20	-20	pr198	sk824	100	62	pr239		101	200	0
Drekavac	Drekavac	1		120		glov									Taha	jew	jew	r51				pr28		71	90	pr280		1	1	pr137		100	200	pr225	sk75	101	150	pr59		21	40	pr104		1	1	pr258		45	45	0
Epicenter	Epicenter	1		15		boot									Ith	jew	jew	r06				pr5		6	25	pr153	sk4	4	4	pr198	sk612	100	21	pr14		11	15													0
Outlaw	Outlaw	1		31		boot									Dol	jew	jew	r14				pr5		51	100	pr237		2	2	pr10		11	15	pr0		-1	-1	pr209		5	5									0
Ginfaxi	Ginfaxi	1		47		boot									Um	jew	jew	r22				pr217		-5	-5	pr204	sk689	1	4	pr5		51	100	pr208		5	5	pr7		16	20	pr222		11	15					0
Craton	Craton	1		67		boot									Cham	jew	jew	r32				pr9		-10	-10	pr222		31	40	pr221		11	20	pr126	sk595	5	7	pr108		5	5	pr190		21	25	pr3		16	20	0
Megalith	Megalith	1		90		boot									Ath	jew	jew	r40				pr5		201	250	pr62		50	50	pr87		25	25	pr7		41	50	pr4		5	5	pr104		1	1	pr182	sk57	15	8	0
Nephilim	Nephilim	1		115		boot									Nih	jew	jew	r48				pr5		251	300	pr215		21	25	pr218		21	25	pr0		150	150	pr198	sk518	100	51	pr353		50	50					0
Hibagon	Hibagon	1		120		boot									Qor	jew	jew	r53				pr75		-3	-3	pr5		301	350	pr117	sk823	5	5	pr117	sk824	5	5	pr117	sk825	5	5	pr41		31	40	pr104		1	1	0
StataMater	StataMater	1		35		azhm									Io	jew	jew	r16				pr216		6	10	pr204	sk566	1	7	pr217		11	15	pr31		100	100	pr171		10	10	pr3		11	15	pr58		101	150	0
Amaterasu	Amaterasu	1		51		azhm									Ist	jew	jew	r24				pr10		40	40	pr204	sk632	1	9	pr183		21	25	pr67		1	2	pr73		5	5	pr58		201	250	pr43		2	5	0
Siegfried	Siegfried	1		65		azhm									Jah	jew	jew	r31				pr5		126	175	pr8		50	50	pr41		21	25	pr187	sk250	333	1000	pr57		40	40	pr204	sk698	1	8	pr108		10	10	0
Lohengrin	Lohengrin	1		98		azhm									Vith	jew	jew	r42				pr117	1849	1	2	pr117	1850	1	2	pr117	1851	1	2	pr349		40	40	pr28		101	150	pr205	sk126	1	1	pr343		1	1	0
Unicorn	Unicorn	1		120		azhm									Ghal	jew	jew	r52				pr291		16	20	pr67		3	5	pr87		40	40	pr263		6	8	pr306		10	10	pr294		15	20	pr294		15	20	0
Edda	Edda	1		33		azsd									Hel	jew	jew	r15				pr206		6	10	pr87		15	15	pr12		11	20	pr67		1	1	pr75		-15	-15	pr183		11	15					0
Lion	Lion	1		75		azsd									Lah	jew	jew	r35				pr219		18	27	pr57		20	20	pr16		1	1	pr73		2	2	pr223		21	30	pr5		151	200	pr81		40	40	0
Eloi	Eloi	1		98		azsd									Vith	jew	jew	r42				pr53		20	20	pr204	sk668	11	27	pr5		201	250	pr269		11	15	pr4		10	10	pr10		-25	-25	pr193		5	5	0
Nix	Nix	1		115		azsd									Nih	jew	jew	r48				pr238		15	15	pr5		301	350	pr204	sk703	22	29	pr185		41	50	pr216		25	25	pr204	sk397	1	3	pr117	1564	10	10	0
Ea2	Ea2	1		120		azsd									Ghal	jew	jew	r52				pr291		26	45	pr67		2	2	pr5		201	250	pr75		-20	-20	pr87		60	60	pr348		41	60	pr78		40	40	0
Afrit	Afrit	1		29		ishd									Shael	jew	jew	r13				pr7		-20	-20	pr204	sk525	1	9	pr206		11	20	pr87		15	15	pr59		21	40	pr3		3	5					0
Rahab	Rahab	1		41		ishd									Fal	jew	jew	r19				pr8		5	5	pr204	sk353	1	4	pr66		2	4	pr221		11	15	pr5		51	100	pr7		15	15	pr126	sk473	10	4	0
Ligeia	Ligeia	1		59		ishd									Lo	jew	jew	r28				pr35		30	30	pr197	sk62	25	13	pr198	sk569	100	34	pr204	sk695	11	14	pr41		40	40	pr39		-90	-90	pr204	sk691	11	14	0
Dar-Al-Harb	Dar-Al-Harb	1		81		ishd									Ix	jew	jew	r37				pr87		15	15	pr248	sk16	16	16	pr249	sk16	16	16	pr325		25	25	pr122		3	4	pr204	sk401	19	22	pr204	sk1021	16	19	0
Scorched Earth	Scorched Earth	1		120		ishd									Taha	jew	jew	r51				pr28		31	80	pr126	sk632	33	59	pr134		250	500	pr183		41	50	pr220		75	75	pr5		301	350	pr190		31	50	0
Algiz	Algiz	1		21		phlm									Ort	jew	jew	r09				pr135		1	40	pr222		11	15	pr126	sk540	10	4	pr108		5	5	pr215		10	10	pr218		10	10					0
Nasrudin	Nasrudin	1		41		phlm									Fal	jew	jew	r19				pr8		31	40	pr5		101	150	pr257		50	50	pr87		-20	-20	pr84		-20	-20	pr58		101	150	pr204	sk690	3	9	0
Sagarmatha	Sagarmatha	1		78		phlm									Kur	jew	jew	r36				pr5		101	150	pr108		10	10	pr137	sk50	150	400	pr35		51	70	pr126	sk571	35	9	pr182	sk828	50	12					0
Morthwyrtha	Morthwyrtha	1		102		phlm									No	jew	jew	r43				pr84		-20	-20	pr71		3	4	pr204	sk563	1	3	pr289		2	2	pr269		31	40	pr302		41	50	pr204	sk416	31	34	0
Wodziwob	Wodziwob	1		120		phlm									Qor	jew	jew	r53				pr75		-3	-3	pr126	sk708	100	23	pr185		31	50	pr99		100	100	pr110		250	250	pr12		21	25	pr266		5	5	0
Enmerkar	Enmerkar	1		37		basd									Lum	jew	jew	r17				pr5		101	150	pr219		11	20	pr350		51	70	pr71		1	1	pr182	sk449	10	6									0
Warpath	Warpath	1		57		basd									Ohm	jew	jew	r27				pr5		151	200	pr218		10	10	pr126	sk542	10	4	pr140		50	150	pr108		10	10	pr84		20	20					0
Gauntlet	Gauntlet	1		87		basd									Nas	jew	jew	r39				pr267		-10	-10	pr126	sk500	33	3	pr212		201	250	pr192		51	100	pr16		-10	-10	pr5		151	200	pr107		100	100	0
Huracan	Huracan	1		106		basd									Yul	jew	jew	r44				pr5		251	300	pr126	sk498	15	7	pr41		50	50	pr187		1	1000	pr57		40	40	pr39		-50	-50	pr204	sk58	22	26	0
E-Engur-A	E-Engur-A	1		120		basd									Ghal	jew	jew	r52				pr5		301	350	pr291		-5	-5	pr190		50	50	pr211		2	5	pr59		51	100	pr341		100	100	pr71		3	3	0
Nezha	Nezha	1		39		pelt									Ko	jew	jew	r18				pr5		101	150	pr216		10	10	pr57		20	20	pr12		11	20	pr59		21	40	pr121		1	1	pr266		5	5	0
Natha	Natha	1		59		pelt									Lo	jew	jew	r28				pr33		-30	-30	pr5		101	150	pr127	sk492	10	2	pr96		31	50	pr57		20	20	pr81		50	50	pr4		10	10	0
Norma	Norma	1		84		pelt									Thur	jew	jew	r38				pr302		-50	-50	pr294		21	25	pr234		21	30	pr5		201	250	pr121		2	2	pr87		15	15	pr204	sk997	4	8	0
Grove	Grove	1		110		pelt									Thai	jew	jew	r45				pr41		16	25	pr233		21	30	pr108		10	10	pr215		20	20	pr216		20	20	pr117	sk803	11	20	pr204	sk634	1	5	0
Slyph	Slyph	1		120		pelt									Ghal	jew	jew	r52				pr5		301	350	pr4		5	5	pr186		31	50	pr121		2	2	pr269		31	40	pr267		41	60	pr329		3	5	0
Cube	Cube	1		35		head									Io	jew	jew	r16				pr216		-5	-5	pr244		20	20	pr245		10	10	pr5		101	150	pr69		1	1	pr58		31	50					0
Warlock	Warlock	1		53		head									Gul	jew	jew	r25				pr35		-45	-45	pr5		101	150	pr126	sk451	50	12	pr204	sk324	3	8	pr31		30	30	pr66		9	13	pr108		21	25	0
Nahual	Nahual	1		78		head									Kur	jew	jew	r36				pr5		201	250	pr204	sk362	4	14	pr204	sk364	2	12	pr227		21	40	pr104		2	2	pr190		31	40	pr128	sk513	10	4	0
Quimbanda	Quimbanda	1		110		head									Xar	jew	jew	r47				pr227		-2	-2	pr275		31	50	pr69		2	2	pr87		40	40	pr204	sk683	1	4	pr267		21	25	pr204	sk22	1	4	0
Wyrm2	Wyrm2	1		120		head									Taha	jew	jew	r51				pr5		301	350	pr28		31	80	pr108		21	25	pr138	sk250	5120	10240	pr204	sk965	21	25	pr215		31	40	pr216		31	40	0
Ilmatar	Ilmatar	1		23		pzhm									Thul	jew	jew	r10				pr184		5	5	pr126	sk999	25	7	pr68		1	1	pr53		11	15	pr7		21	25	pr8		21	25	pr10		21	25	0
Hierodule	Hierodule	1		53		pzhm									Gul	jew	jew	r25				pr35		-30	-30	pr205	sk97	1	1	pr298		1	1	pr68		1	1	pr87		20	20	pr184		11	15	pr206		11	15	0
Crusade	Crusade	1		81		pzhm									Ix	jew	jew	r37				pr87		-15	-15	pr126	sk712	5	3	pr204	sk360	6	12	pr204	sk357	6	12	pr221		45	45	pr5		101	150	pr7		21	30	0
Surya	Surya	1		110		pzhm									Rha	jew	jew	r46				pr5		201	250	pr204	sk698	1	12	pr58		333	333	pr73		4	4	pr31		41	50	pr204	sk360	1	4	pr219		11	15	0
Malakbel	Malakbel	1		120		pzhm									Qor	jew	jew	r53				pr75		-13	-13	pr117	sk1206	2	2	pr31		100	100	pr68		2	2	pr87		10	10	pr248	sk16	16	16	pr198	sk501	100	41	0
Asmodai	Asmodai	1		31		ashd									Dol	jew	jew	r14				pr110		11	20	pr192		11	20	pr58		32	32	pr27		11	20	pr197	sk839	5	4	pr238		21	25					0
Sangreal	Sangreal	1		59		ashd									Lo	jew	jew	r28				pr33		-30	-30	pr0		33	33	pr277		1	1	pr125	sk297	1	1	pr57		25	25	pr81		25	25	pr16		-10	-10	0
Zohar	Zohar	1		69		ashd									Zod	jew	jew	r33				pr208		20	20	pr204	sk676	1	7	pr5		151	200	pr28		151	200	pr193		11	15	pr57		20	20	pr266		6	10	0
Asclepion	Asclepion	1		110		ashd									Rha	jew	jew	r46				pr204	sk358	26	34	pr258		15	15	pr84		30	30	pr305	sk48	48	48	pr68		1	2	pr41		25	25	pr39		75	75	0
Amaymon	Amaymon	1		120		ashd									Taha	jew	jew	r51				pr28		181	230	pr114		10	10	pr204	sk420	4	13	pr269		41	50	pr267		51	75	pr41		100	100	pr117	sk1052	25	25	0
Demeter	Demeter	1		49		stor									Mal	jew	jew	r23				pr5		101	150	pr39		20	20	pr204	sk120	12	15	pr174		31	40	pr70		2	2	pr3		11	20					0
Curandera	Curandera	1		61		stor									Sur	jew	jew	r29				pr5		101	150	pr70		2	2	pr305	sk48	48	48	pr4		16	20	pr41		11	15									0
Astarte	Astarte	1		72		stor									Sha	jew	jew	r34				pr5		151	200	pr57		25	25	pr204	sk756	1	5	pr351		151	200	pr27		151	200	pr220		250	250	pr204	sk1011	1	5	0
Oracle	Oracle	1		90		stor									Ath	jew	jew	r40				pr5		201	250	pr70		3	4	pr12		31	50	pr87		40	40	pr144	sk480	480	480	pr0		500	500					0
Vanity	Vanity	1		110		stor									Xar	jew	jew	r47				pr5		251	300	pr58		301	400	pr59		31	50	pr70		3	5	pr8		51	100	pr10		51	100	pr227		-2	-2	0
Comaetho	Comaetho	1		115		stor									On	jew	jew	r50				pr5		251	300	pr266		5	5	pr70		2	2	pr309		31	50	pr352		50	50	pr208		10	10					0
Venefica	Venefica	1		120		stor									Qor	jew	jew	r53				pr75		-8	-8	pr5		301	350	pr251	sk32	32	32	pr70		4	5	pr280		1	1	pr209		21	25	pr262		201	250	0
Dawn	Dawn	1		11		weap									El	jew	jew	jew	r01			pr29		31	60	pr58		31	60	pr219		10	10	pr197	sk496	5	7	pr81		15	15	pr96		101	150	pr73		1	1	0
Shark	Shark	1		17		weap									Tal	jew	jew	jew	r07			pr145	sk16	16	16	pr29		41	60	pr197	sk600	6	9	pr230		11	15	pr57		20	20	pr107		33	33	pr11		-1	-1	0
Enyo	Enyo	1		31		weap									Dol	jew	jew	jew	r14			pr27		21	40	pr333		20	20	pr126	sk347	15	13	pr29		121	160	pr220		125	125	pr104		1	1	pr117	sk712	21	25	0
Azrael	Azrael	1		45		weap									Pul	jew	jew	jew	r21			pr31		26	26	pr197	sk518	33	13	pr13		101	200	pr29		151	180	pr66		6	13	pr276		50	50	pr258		40	40	0
Void	Void	1		59		weap									Lo	jew	jew	jew	r28			pr35		40	40	pr29		101	125	pr114		33	33	pr3		11	15	pr327		21	25	pr117	sk798	10	10	pr140		25	50	0
Oblivion	Oblivion	1		75		weap									Lah	jew	jew	jew	r35			pr219		7	7	pr145	sk48	48	48	pr126	sk1002	25	32	pr29		201	250	pr332		15	15	pr186		31	40	pr182	sk459	17	20	0
Berith	Berith	1		98		weap									Vith	jew	jew	jew	r42			pr53		20	20	pr246		100	100	pr58		666	666	pr29		201	250	pr257		50	50	pr221		21	25	pr222		11	15	0
Gehenna	Gehenna	1		110		weap									Xar	jew	jew	jew	r47			pr227		23	23	pr29		251	300	pr126	sk703	25	27	pr137	sk250	750	1000	pr138	sk125	3072	4096	pr75		-33	-33	pr331		50	50	0
Triune	Triune	1		120		weap									Qor	jew	jew	jew	r53			pr75		-8	-8	pr29		201	250	pr187		333	1666	pr28		333	333	pr368		66	66	pr214		201	400	pr182	sk416	39	10	0
Banshee	Banshee	1		13		bow									Tir	jew	jew	jew	r03			pr29		31	60	pr127	sk459	1	6	pr145	sk32	32	32	pr78		20	20	pr137	sk75	20	50	pr49		11	15	pr197	sk712	5	8	0
Shockwave	Shockwave	1		27		bow									Sol	jew	jew	jew	r12			pr29		101	125	pr197	sk263	100	16	pr114		11	15	pr108		11	15	pr8		21	40	pr10		21	40	pr28		41	60	0
Balance	Balance	1		47		bow									Um	jew	jew	jew	r22			pr217		-5	-5	pr243		30	30	pr241		15	15	pr8		15	15	pr222		11	15	pr223		41	50	pr29		101	150	0
Hive	Hive	1		63		bow									Ber	jew	jew	jew	r30			pr221		15	15	pr29		151	200	pr28		51	100	pr197	sk779	25	6	pr138	sk250	3072	4608	pr305	sk32	32	32	pr57		-15	-15	0
Phantom	Phantom	1		87		bow									Nas	jew	jew	jew	r39			pr267		-10	-10	pr127	sk998	50	15	pr29		251	300	pr190		51	100	pr12		50	50	pr115		1	1	pr297		11	17	0
Curse	Curse	1		115		bow									Nih	jew	jew	jew	r48			pr238		15	15	pr127	sk525	15	18	pr197	sk563	25	21	pr215		25	25	pr29		251	300	pr145	sk96	96	96	pr222		21	25	0
Typhaon	Typhaon	1		120		bow									Ghal	jew	jew	jew	r52			pr29		301	350	pr127	sk492	25	11	pr246		50	50	pr41		31	40	pr57		40	40	pr78		60	60	pr28		301	500	0
Thammuz	Thammuz	1		13		xbow									Nef	jew	jew	jew	r04			pr262		-15	-15	pr29		31	60	pr197	sk809	25	6	pr13		111	111	pr134		6	33	pr57		25	25	pr197	sk530	25	6	0
Python	Python	1		35		xbow									Io	jew	jew	jew	r16			pr216		16	20	pr215		21	25	pr29		101	150	pr145	sk48	48	48	pr14		21	25	pr197	sk330	33	14	pr66		16	19	0
Cyclops	Cyclops	1		61		xbow									Sur	jew	jew	jew	r29			pr239		75	75	pr29		151	200	pr28		201	300	pr127	sk443	5	48	pr184		31	40	pr57		50	50	pr114		25	25	0
Tartarus	Tartarus	1		106		xbow									Yul	jew	jew	jew	r44			pr29		301	350	pr197	sk340	10	21	pr145	sk128	128	128	pr337		-10	-10	pr259		100	100	pr192		101	150	pr215		41	50	0
Araboth	Araboth	1		120		xbow									Thai	jew	jew	jew	r45			pr29		301	350	pr28		301	400	pr204	sk636	1	9	pr99		101	150	pr190		31	50	pr73		2	2	pr53		41	50	0
Kingsblood2	Kingsblood2	1		45		knif						tkni			Vex	jew	jew	jew	r26			pr191		10	10	pr29		201	250	pr27		50	50	pr190		31	40	pr104		1	1	pr73		2	2	pr66		6	12	0
Endor	Endor	1		65		scyh									Jah	jew	jew	jew	r31			pr29		126	175	pr28		101	200	pr126	sk387	50	17	pr126	sk330	5	19	pr185		31	40	pr186		31	40	pr204	sk673	1	4	0
Urada	Urada	1		110		swor									Rha	jew	jew	jew	r46			pr0		811	811	pr29		251	300	pr117	sk1092	25	25	pr135		1	1101	pr190		1	11	pr57		30	30	pr108		11	11	0
Sabertooth	Sabertooth	1		115		axe									Nih	jew	jew	jew	r48			pr29		251	300	pr204	sk689	1	9	pr7		75	75	pr66		9	17	pr221		15	20	pr296		100	100	pr321	sk64	64	64	0
Seed of Conflict	Seed of Conflict	1		115		scyh									Lai	jew	jew	jew	r49			pr29		251	300	pr28		201	250	pr222		20	20	pr126	sk712	10	9	pr192		101	150	pr110		101	150	pr69		2	4	0
Myrmidon	Myrmidon	1		57		spea									Sur	jew	jew	jew	r29			pr218		20	20	pr29		151	200	pr145	sk96	96	96	pr216		20	20	pr204	sk666	1	4	pr222		21	40	pr75		15	15	0
Demhe	Demhe	1		69		mace						hamm			Zod	jew	jew	jew	r33			pr480		-5	-5	pr29		301	350	pr28		151	200	pr126	sk398	25	50	pr331		21	25	pr327		101	150	pr220		125	125	0
Calypso	Calypso	1		81		hamm									Ix	jew	jew	jew	r37			pr57		30	30	pr29		251	300	pr197	sk702	33	21	pr238		21	25	pr126	sk459	5	23	pr137	sk75	1500	2000	pr140		75	150	0
Pax Mystica	Pax Mystica	1		13		staf									Nef	jew	jew	jew	r04			pr262		-15	-15	pr204	sk346	1	1	pr41		11	15	pr104		1	1	pr59		21	25									0
Hadad	Hadad	1		25		staf									Amn	jew	jew	jew	r11			pr212		-25	-25	pr128	sk669	5	13	pr104		2	2	pr249	sk16	16	16	pr208		11	15	pr204	sk680	1	4					0
Summanus	Summanus	1		41		staf									Fal	jew	jew	jew	r19			pr8		50	50	pr10		25	25	pr104		2	2	pr126	sk999	5	17	pr29		101	150	pr28		101	150	pr57		40	40	0
Akhenaten	Akhenaten	1		57		staf									Ohm	jew	jew	jew	r27			pr218		15	15	pr104		3	4	pr87		20	20	pr183		41	50	pr186		41	50	pr329		21	25	pr341		50	50	0
Aes Dana	Aes Dana	1		78		staf									Kur	jew	jew	jew	r36			pr81		15	15	pr78		45	45	pr121		5	7	pr269		41	50	pr342		1	1	pr12		40	40	pr300		50	50	0
Elverfolk	Elverfolk	1		106		staf									Yul	jew	jew	jew	r44			pr269		-10	-10	pr291		51	100	pr104		6	8	pr309		41	60	pr41		31	50	pr1		750	750	pr217		21	30	0
Erilaz	Erilaz	1		120		staf									Taha	jew	jew	jew	r51			pr0		1000	1000	pr222		41	50	pr70		6	8	pr275		41	60	pr75		-20	-20	pr81		40	40	pr87		60	60	0
Prophecy	Prophecy	1		15		scep									Ith	jew	jew	jew	r06			pr29		16	45	pr31		21	40	pr35		21	40	pr226		21	25	pr225	sk125	21	25	pr104		1	1	pr28		11	15	0
Bane	Bane	1		37		scep									Lum	jew	jew	jew	r17			pr29		101	150	pr126	sk531	5	7	pr96		31	50	pr28		31	50	pr57		20	20	pr190		21	25	pr153	sk4	4	4	0
Judas	Judas	1		47		scep									Um	jew	jew	jew	r22			pr217		5	5	pr196	sk11	300	300	pr256		1	1	pr75		-66	-66	pr58		333	333	pr59		66	66	pr117	sk811	21	25	0
Path	Path	1		63		scep									Ber	jew	jew	jew	r30			pr67		2	3	pr128	sk699	15	18	pr183		31	40	pr206		31	40	pr75		-20	-20	pr191		11	15	pr294		11	15	0
Gabriel	Gabriel	1		90		scep									Ath	jew	jew	jew	r40			pr258		30	30	pr29		201	250	pr126	sk579	25	22	pr184		31	40	pr28		201	300	pr68		3	5	pr336		100	100	0
Durga	Durga	1		115		scep									Lai	jew	jew	jew	r49			pr67		3	4	pr269		100	100	pr183		41	50	pr87		40	40	pr192		51	100	pr231		21	25	pr209		11	15	0
Galdr	Galdr	1		120		scep									Taha	jew	jew	jew	r51			pr204	sk1193	11	19	pr343		1	1	pr205	sk126	1	1	pr334		25	25	pr68		3	5	pr335		6	25	pr16		1	1	0
Aegina	Aegina	1		25		aspe									Amn	jew	jew	jew	r11			pr212		-25	-25	pr29		51	100	pr137	sk25	1	100	pr204	sk571	1	4	pr65		31	40	pr246		21	25	pr126	sk702	5	3	0
Sankara	Sankara	1		72		aspe									Sha	jew	jew	jew	r34			pr57		30	30	pr29		151	200	pr28		101	200	pr222		31	50	pr192		101	150	pr197	sk814	5	9	pr126	sk330	5	58	0
Rusalka	Rusalka	1		110		aspe									Rha	jew	jew	jew	r46			pr29		301	350	pr27		301	500	pr126	sk1002	50	16	pr204	sk405	1	12	pr197	sk387	50	57	pr344		61	80	pr190		51	100	0
Evanescence	Evanescence	1		120		aspe									Taha	jew	jew	jew	r51			pr67		2	4	pr29		251	300	pr28		361	560	pr337		100	100	pr204	sk464	2	23	pr4		21	25	pr356		250	250	0
Scar	Scar	1		35		ajav									Io	jew	jew	jew	r16			pr29		101	150	pr197	sk313	100	16	pr108		11	15	pr134		50	150	pr123	sk324	3	4	pr107		21	40	pr8		15	15	0
Dragonfly	Dragonfly	1		57		ajav									Vex	jew	jew	jew	r26			pr29		151	200	pr204	sk693	1	6	pr66		9	12	pr114		11	15	pr57		20	20	pr134		150	250	pr78		40	40	0
Trishula	Trishula	1		72		ajav									Sha	jew	jew	jew	r34			pr29		151	200	pr187	sk125	500	1000	pr243		21	40	pr204	sk357	6	12	pr204	sk358	6	12	pr78		15	15	pr320		31	50	0
Stalactite	Stalactite	1		120		ajav									Ghal	jew	jew	jew	r52			pr246		100	100	pr29		251	300	pr137	sk50	500	1000	pr197	sk708	50	44	pr117	sk1077	25	25	pr49		11	15	pr173		41	50	0
Corsair	Corsair	1		33		abow									Hel	jew	jew	jew	r15			pr206		-5	-5	pr204	sk635	1	4	pr29		51	100	pr58		101	200	pr59		31	40	pr57		20	20	pr216		11	15	0
IceBreaker2	IceBreaker2	1		61		abow									Sur	jew	jew	jew	r29			pr239		175	175	pr29		151	200	pr108		11	20	pr28		101	150	pr115		1	1	pr197	sk453	50	23	pr35		51	70	0
Colliding Worlds	Colliding Worlds	1		102		abow									No	jew	jew	jew	r43			pr84		-15	-15	pr204	sk384	1	6	pr29		201	250	pr28		151	200	pr7		41	50	pr8		41	50	pr182	sk397	10	5	0
Manta	Manta	1		120		abow									Taha	jew	jew	jew	r51			pr28		361	460	pr255		1	1	pr29		301	350	pr117	sk799	21	25	pr66		16	21	pr57		60	60	pr197	sk999	5	18	0
Shedim	Shedim	1		11		h2h									Eld	jew	jew	jew	r02			pr96		25	25	pr29		41	80	pr174		11	15	pr138	sk250	256	512	pr88		11	20	pr110		11	15	pr99		50	50	0
Fiend	Fiend	1		37		h2h									Lum	jew	jew	jew	r17			pr126	sk699	25	5	pr29		101	150	pr134		200	250	pr57		25	25	pr59		21	40	pr204	sk833	1	7	pr204	sk824	1	7	0
Frequency	Frequency	1		59		h2h									Ohm	jew	jew	jew	r27			pr216		5	5	pr29		151	200	pr126	sk579	10	17	pr33		31	60	pr127	sk540	25	7	pr220		125	125	pr135		1	1000	0
Choronzon	Choronzon	1		72		h2h									Sha	jew	jew	jew	r34			pr29		201	250	pr126	sk459	20	24	pr173		31	50	pr204	sk460	1	7	pr269		21	40	pr58		333	333	pr214		333	333	0
Anarchy	Anarchy	1		110		h2h									Rha	jew	jew	jew	r46			pr0		-200	-200	pr87		40	40	pr183		31	50	pr184		31	50	pr122		2	4	pr110		51	60	pr227		25	25	0
Hail	Hail	1		115		h2h									Nih	jew	jew	jew	r48			pr29		251	300	pr197	sk595	50	29	pr28		301	400	pr57		40	40	pr137	sk25	500	1500	pr122		2	2					0
Nahemah	Nahemah	1		120		h2h									Ghal	jew	jew	jew	r52			pr291		-15	-15	pr117	sk750	50	50	pr29		301	350	pr204	sk569	16	19	pr204	sk469	16	19	pr28		401	500	pr137	sk50	1000	2000	0
Khattak	Khattak	1		19		nagi									Ral	jew	jew	jew	r08			pr184		5	5	pr29		61	80	pr57		20	20	pr78		40	40	pr266		10	10	pr81		40	40	pr221		11	20	0
Hieros Gamos	Hieros Gamos	1		57		nagi									Rha	jew	jew	jew	r46			pr216		21	25	pr204	sk323	1	6	pr218		21	25	pr29		251	300	pr57		40	40	pr204	sk76	1	9	pr197	sk450	2	11	0
Lataif-as-Sitta	Lataif-as-Sitta	1		120		nagi									Ghal	jew	jew	jew	r52			pr29		301	350	pr28		401	600	pr337		50	50	pr122		6	6	pr204	sk447	11	16	pr98		200	200	pr204	sk455	11	16	0
Ram	Ram	1		23		bswd	baxe								Thul	jew	jew	jew	r10			pr185		-5	-5	pr29		51	100	pr204	sk643	1	4	pr215		11	15	pr71		1	1	pr7		16	20	pr220		25	25	0
Essus	Essus	1		47		bswd	baxe								Um	jew	jew	jew	r22			pr217		-5	-5	pr29		51	100	pr28		21	40	pr204	sk688	1	9	pr91		2	4	pr14		11	15					0
Thunderbird	Thunderbird	1		67		bswd	baxe								Cham	jew	jew	jew	r32			pr126	sk807	25	17	pr29		151	200	pr126	sk680	10	13	pr184		31	40	pr172		11	20	pr75		-10	-10	pr33		50	50	0
Savitr	Savitr	1		81		bswd	baxe								Ix	jew	jew	jew	r37			pr87		-15	-15	pr29		201	250	pr73		4	4	pr126	sk779	10	14	pr126	sk515	10	21	pr108		6	10	pr71		2	4	0
Khan	Khan	1		102		bswd	baxe								No	jew	jew	jew	r43			pr84		-20	-20	pr29		201	250	pr145	sk96	96	96	pr269		41	50	pr289		2	2	pr222		31	50	pr219		20	20	0
Lahmu	Lahmu	1		110		bswd	baxe								Lai	jew	jew	jew	r49			pr174		41	50	pr29		251	300	pr28		301	400	pr181		1	1	pr324		14	18	pr7		100	100	pr9		100	100	0
Kahless	Kahless	1		120		bswd	baxe								Taha	jew	jew	jew	r51			pr29		301	350	pr28		461	560	pr126	sk518	50	28	pr183		21	40	pr134		1600	2200	pr57		60	60	pr117	1863	3	3	0
Peacock	Peacock	1		29		dbow									Shael	jew	jew	jew	r13			pr7		-10	-10	pr29		51	100	pr187	sk50	25	50	pr242		25	25	pr114		10	10									0
Lynx	Lynx	1		57		dbow									Ohm	jew	jew	jew	r27			pr218		-5	-5	pr29		151	200	pr197	sk510	2	8	pr337		20	20	pr28		101	125	pr215		25	25	pr216		25	25	0
