name	* info	* tier	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
22! 	Bull Shield (1)	1			4	1	28	54		20	10	23	1	31		5	1	115		22! 	22!		401	bsh 	buc	22! 	22! 	22! 		7	2	4	1	1	2	flpbsh	invgtsu														basd	tier	so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
25! 	Bull Shield (4)	4			4	1	138	214		20	32	71	1	31		49	15	9087		25! 	25!		403	bsh 	buc	25! 	25! 	25! 		7	2	4	1	3	2	flpbsh	invgtsu														basd	tier	so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
27! 	Bull Shield (6)	6			4	1	273	409		20	67	149	1	31		78	23	38625		27! 	27!		404	bsh 	buc	27! 	27! 	27! 		7	2	4	1	4	2	flpbsh	invgtsu														basd	tier	so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
28! 	Bull Shield (Sacred)	Sacred			1	1	886	954		20	347	374	1	31		78	30	38625		28! 	28!		404	bsh 	buc	28! 	28! 	28! 		7	2	4	1	4	2	flpbsh	invgtsu														saba		so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
615 	Cap (1)	1			20	1	10	12			10			27		1		57		615 	615		401	cap 	cap	615 	615 	615 			2	2	1	1	1	flpcap	invcap														helm	tier	so212	12	so212			5						2							1		1		1	1		1		1	1					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
753 	Cap (4)	4			20	1	98	109			34			27		44	13	4151		753 	753		403	cap 	cap	753 	753 	753 			2	2	1	3	1	flpcap	invcap														helm	tier	so212	12	so212			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
845 	Cap (6)	6			20	1	202	222			71			27		73	22	17320		845 	845		404	cap 	cap	845 	845 	845 			2	2	1	4	1	flpcap	invcap														helm	tier	so212	12	so212			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@16 	Cap (Sacred)	Sacred			2	1	851	861			456			27		73	30	17320		@16 	@16		404	cap 	cap	@16 	@16 	@16 			2	2	1	4	1	flpcap	invcap														qhlm		so212	12	so212			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
2@J 	Ceremonial Armor (1)	1			10	1	187	375				97		116		20	6	2393		2@J 	2@J		401	aar 	aar	2@J 	2@J 	2@J 		1	2	3	1	2	1	flpaar	invaaru			1	1		2	2	2						stor	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
5@J 	Ceremonial Armor (4)	4			10	1	640	1215				296		116		64	19	64054		5@J 	5@J		404	aar 	aar	5@J 	5@J 	5@J 		1	2	3	1	4	1	flpaar	invaaru			1	1		2	2	2						stor	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
7@J 	Ceremonial Armor (6)	6			10	1	1210	2271				622		116		90	27	200000		7@J 	7@J		406	aar 	aar	7@J 	7@J 	7@J 		1	2	3	1	6	1	flpaar	invaaru			1	1		2	2	2						stor	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
8@J 	Ceremonial Armor (Sacred)	Sacred			1	1	2224	2755				640		116		90	30	200000		8@J 	8@J		406	aar 	aar	8@J 	8@J 	8@J 		1	2	3	1	6	1	flpaar	invaaru			1	1		2	2	2						sstr		so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
7@K 	Cervelliere (1)	1			10	1	28	42			39			44		8	2	204		7@K 	7@K		401	fhl 	fhl	7@K 	7@K 	7@K 			2	2	1	1	1	flphlm	invfhlu														azhm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
1@L 	Cervelliere (4)	4			10	1	136	177			119			44		52	15	11923		1@L 	1@L		403	fhl 	fhl	1@L 	1@L 	1@L 			2	2	1	3	1	flphlm	invfhlu														azhm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
3@L 	Cervelliere (6)	6			10	1	266	339			250			44		82	24	49159		3@L 	3@L		404	fhl 	fhl	3@L 	3@L 	3@L 			2	2	1	4	1	flphlm	invfhlu														azhm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
4@L 	Cervelliere (Sacred)	Sacred			1	1	673	709			516			44		82	30	49159		4@L 	4@L		404	fhl 	fhl	4@L 	4@L 	4@L 			2	2	1	4	1	flphlm	invfhlu														szhm		so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
639 	Chain Boots (1)	1			20	1	30	44			44			55		7	2	143		639 	639		401	mbt 	mbt	639 	639 	639 		16	2	2	1	1	1	flpmbt	invmbt														boot	tier	so209	12	so209			5						2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
777 	Chain Boots (4)	4			20	1	158	204			134			55		51	15	8059		777 	777		403	mbt 	mbt	777 	777 	777 		16	2	2	1	3	1	flpmbt	invmbt														boot	tier	so209	12	so209			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
869 	Chain Boots (6)	6			20	1	311	399			282			55		79	24	31392		869 	869		404	mbt 	mbt	869 	869 	869 		16	2	2	1	4	1	flpmbt	invmbt														boot	tier	so209	12	so209			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@40 	Chain Boots (Sacred)	Sacred			2	1	530	574			527			55		79	30	31392		@40 	@40		404	mbt 	mbt	@40 	@40 	@40 		16	2	2	1	4	1	flpmbt	invmbt														qbot		so209	12	so209			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
634 	Chain Gloves (1)	1			20	1	17	30			38			39		8	2	148		634 	634		401	mgl 	mgl	634 	634 	634 		16	2	2	1	1	1	flpmgl	invmgl														glov	tier	so219	12	so219			5						2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
772 	Chain Gloves (4)	4			20	1	118	158			116			39		51	15	6840		772 	772		403	mgl 	mgl	772 	772 	772 		16	2	2	1	3	1	flpmgl	invmgl														glov	tier	so219	12	so219			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
864 	Chain Gloves (6)	6			20	1	238	311			244			39		80	24	26510		864 	864		404	mgl 	mgl	864 	864 	864 		16	2	2	1	4	1	flpmgl	invmgl														glov	tier	so219	12	so219			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@35 	Chain Gloves (Sacred)	Sacred			2	1	369	405			514			39		80	30	26510		@35 	@35		404	mgl 	mgl	@35 	@35 	@35 		16	2	2	1	4	1	flpmgl	invmgl														qglv		so219	12	so219			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
606 	Chain Mail (1)	1			20	1	84	170			49			63		7	2	267		606 	606		401	chn 	chn	606 	606 	606 		1	2	3	1	2	1	flpchn	invchn			1	1	1	1	1	1						tors	tier	so213	12	so213			5						2							1					255					255					255					255					255					255					255					255		1		1	1			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
744 	Chain Mail (4)	4			20	1	324	580			149			63		51	15	18027		744 	744		404	chn 	chn	744 	744 	744 		1	2	3	1	4	1	flpchn	invchn			1	1	1	1	1	1						tors	tier	so213	12	so213			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
836 	Chain Mail (6)	6			20	1	620	1094			314			63		81	24	78935		836 	836		406	chn 	chn	836 	836 	836 		1	2	3	1	6	1	flpchn	invchn			1	1	1	1	1	1						tors	tier	so213	12	so213			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@07 	Chain Mail (Sacred)	Sacred			2	1	1810	2047			538			63		81	30	78935		@07 	@07		406	chn 	chn	@07 	@07 	@07 		1	2	3	1	6	1	flpchn	invchn			1	1	1	1	1	1						qtor		so213	12	so213			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
k01 	Circlet (1)	1	100		8	1	16	34				14		10		7	2	157		k01 	k01		401	lit 	lit	k01 	k01 	k01 			2	2	1	1	1	flpci0	invci0														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
k13 	Circlet (4)	4	100		8	1	64	116				64		10		51	15	9172		k13 	k13		403	lit 	lit	k13 	k13 	k13 			2	2	1	3	1	flpci0	invci0														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
k21 	Circlet (6)	6	100		8	1	124	218				147		10		81	24	37815		k21 	k21		404	lit 	lit	k21 	k21 	k21 			2	2	1	4	1	flpci0	invci0														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
@67 	Circlet (Sacred)	Sacred	100		2	1	362	409				262		10		81	30	37815		@67 	@67		404	lit 	lit	@67 	@67 	@67 			2	2	1	4	1	flpci0	invci0														qcic		so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
k02 	Coronet (1)	1	100		8	1	19	40				17		15		9	3	236		k02 	k02		401	lit 	lit	k02 	k02 	k02 			2	2	1	1	1	flpci1	invci1														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255		1		1	1					255					255					255					255			1	2		xxx 	xxx 			1
k14 	Coronet (4)	4	100		8	1	76	139				80		15		53	16	11808		k14 	k14		403	lit 	lit	k14 	k14 	k14 			2	2	1	3	1	flpci1	invci1														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
k22 	Coronet (6)	6	100		8	1	148	261				183		15		82	24	47283		k22 	k22		404	lit 	lit	k22 	k22 	k22 			2	2	1	4	1	flpci1	invci1														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
@68 	Coronet (Sacred)	Sacred	100		2	1	434	490				327		15		82	30	47283		@68 	@68		404	lit 	lit	@68 	@68 	@68 			2	2	1	4	1	flpci1	invci1														qcic		so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
620 	Crown (1)	1			20	1	84	126			81			57		17	5	766		620 	620		401	crn 	crn	620 	620 	620 			2	2	1	1	1	flpcrn	invcrn														crow	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255		1		1	1					255					255			2	8		xxx 	xxx 			1
758 	Crown (4)	4			20	1	324	448			247			57		61	18	20665		758 	758		403	crn 	crn	758 	758 	758 			2	2	1	3	1	flpcrn	invcrn														crow	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
850 	Crown (6)	6			20	1	620	848			519			57		90	27	77262		850 	850		404	crn 	crn	850 	850 	850 			2	2	1	4	1	flpcrn	invcrn														crow	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@21 	Crown (Sacred)	Sacred			2	1	1060	1174			606			57		90	30	77262		@21 	@21		404	crn 	crn	@21 	@21 	@21 			2	2	1	4	1	flpcrn	invcrn														qhlm		so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
w24 	Crown Shield (1)	1	100		4	1	102	200				43	1	77		17	5	1130		w24 	w24		402	pa5 	spk	w24 	w24 	w24 		7	2	2	1	2	2	flppa5	invpa5														ashd	tier	so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
w84 	Crown Shield (4)	4	100		4	1	364	662				133	1	77		61	18	33328		w84 	w84		403	pa5 	spk	w84 	w84 	w84 		7	2	2	1	3	2	flppa5	invpa5														ashd	tier	so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
e34 	Crown Shield (6)	6	100		4	1	692	1240				280	1	77		90	27	128071		e34 	e34		404	pa5 	spk	e34 	e34 	e34 		7	2	2	1	4	2	flppa5	invpa5														ashd	tier	so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
@61 	Crown Shield (Sacred)	Sacred	100		1	1	1346	1620				447	1	77		90	30	128071		@61 	@61		404	pa5 	spk	@61 	@61 	@61 		7	2	2	1	4	2	flppa5	invpa5														qaur		so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
w29 	Demon Head (1)	1	100		4	1	85	166				36	1	70		17	5	1032		w29 	w29		402	ne2 	bhm	w29 	w29 	w29 		10	2	2	1	2	2	flpne2	invne5														head	tier	so222	12	so222			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx 	xxx 			1
w89 	Demon Head (4)	4	100		4	1	304	552				112	1	70		61	18	30430		w89 	w89		403	ne2 	bhm	w89 	w89 	w89 		10	2	2	1	3	2	flpne2	invne5														head	tier	so222	12	so222			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx 	xxx 			1
e39 	Demon Head (6)	6	100		4	1	576	1033				236	1	70		90	27	116934		e39 	e39		404	ne2 	bhm	e39 	e39 	e39 		10	2	2	1	4	2	flpne2	invne5														head	tier	so222	12	so222			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx 	xxx 			1
@66 	Demon Head (Sacred)	Sacred	100		1	1	1038	1266				445	1	70		90	30	116934		@66 	@66		404	ne2 	bhm	@66 	@66 	@66 		10	2	2	1	4	2	flpne2	invne5														qhed		so222	12	so222			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx 	xxx 			1
k04 	Diadem (1)	1	100		8	1	26	57				28		25		17	5	766		k04 	k04		402	lit 	lit	k04 	k04 	k04 			2	2	1	2	1	flpci2	invci3														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255		1		1	1					255					255			1	2		xxx 	xxx 			1
k16 	Diadem (4)	4	100		8	1	109	199				128		25		61	18	20665		k16 	k16		403	lit 	lit	k16 	k16 	k16 			2	2	1	3	1	flpci2	invci3														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
k24 	Diadem (6)	6	100		8	1	212	375				294		25		90	27	77262		k24 	k24		404	lit 	lit	k24 	k24 	k24 			2	2	1	4	1	flpci2	invci3														circ	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
@70 	Diadem (Sacred)	Sacred	100		2	1	624	705				524		25		90	30	77262		@70 	@70		404	lit 	lit	@70 	@70 	@70 			2	2	1	4	1	flpci2	invci3														qcic		so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx 	xxx 			1
5@L 	Einherjar Helm (1)	1			10	1	38	57				53		50		10	3	306		5@L 	5@L		401	lit 	lit	5@L 	5@L 	5@L 			2	2	1	1	1	flpfhl	invuhms														azhm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
8@L 	Einherjar Helm (4)	4			10	1	167	225				162		50		54	16	15350		8@L 	8@L		403	lit 	lit	8@L 	8@L 	8@L 			2	2	1	3	1	flpfhl	invuhms														azhm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
1@M 	Einherjar Helm (6)	6			10	1	325	430				340		50		83	25	61467		1@M 	1@M		404	lit 	lit	1@M 	1@M 	1@M 			2	2	1	4	1	flpfhl	invuhms														azhm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
2@M 	Einherjar Helm (Sacred)	Sacred			1	1	702	755				534		50		83	30	61467		2@M 	2@M		404	lit 	lit	2@M 	2@M 	2@M 			2	2	1	4	1	flpfhl	invuhms														szhm		so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
w13 	Falcon Mask (1)	1	100		4	1	56	82			63			48		13	4	423		w13 	w13		402	dr4 	dr4	w13 	w13 	w13 			2	2	1	2	1	flpdr4	invdr4														pelt	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
w73 	Falcon Mask (4)	4	100		4	1	221	304			194			48		56	17	14564		w73 	w73		403	dr4 	dr4	w73 	w73 	w73 			2	2	1	3	1	flpdr4	invdr4														pelt	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
e23 	Falcon Mask (6)	6	100		4	1	428	579			408			48		85	25	57091		e23 	e23		404	dr4 	dr4	e23 	e23 	e23 			2	2	1	4	1	flpdr4	invdr4														pelt	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
@50 	Falcon Mask (Sacred)	Sacred	100		1	1	714	789			454			48		85	30	57091		@50 	@50		404	dr4 	dr4	@50 	@50 	@50 			2	2	1	4	1	flpdr4	invdr4														qplt		so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
w16 	Fanged Helm (1)	1	100		4	1	34	51			40			40		7	2	164		w16 	w16		402	ba1 	bhm	w16 	w16 	w16 			2	2	1	2	1	flpba1	invba2														phlm	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
w76 	Fanged Helm (4)	4	100		4	1	164	213			124			40		51	15	9630		w76 	w76		403	ba1 	bhm	w76 	w76 	w76 			2	2	1	3	1	flpba1	invba2														phlm	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
e26 	Fanged Helm (6)	6	100		4	1	321	410			262			40		81	24	39705		e26 	e26		404	ba1 	bhm	e26 	e26 	e26 			2	2	1	4	1	flpba1	invba2														phlm	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
@53 	Fanged Helm (Sacred)	Sacred	100		1	1	785	830			446			40		81	30	39705		@53 	@53		404	ba1 	bhm	@53 	@53 	@53 			2	2	1	4	1	flpba1	invba2														qphm		so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
610 	Field Plate (1)	1			20	1	128	258			73			87		11	3	612		610 	610		401	fld 	fld	610 	610 	610 		1	2	3	1	2	1	flpfld	invfld			1	1	1	1								tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255		1		1	1					255					255					255			2	8		xxx 	xxx 			1
748 	Field Plate (4)	4			20	1	460	850			223			87		55	16	29213		748 	748		404	fld 	fld	748 	748 	748 		1	2	3	1	4	1	flpfld	invfld			1	1	1	1								tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
840 	Field Plate (6)	6			20	1	870	1596			468			87		86	25	126284		840 	840		406	fld 	fld	840 	840 	840 		1	2	3	1	6	1	flpfld	invfld			1	1	1	1								tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@11 	Field Plate (Sacred)	Sacred			2	1	1935	2298			589			87		86	30	126284		@11 	@11		406	fld 	fld	@11 	@11 	@11 		1	2	3	1	6	1	flpfld	invfld			1	1	1	1								qtor		so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
618 	Full Helm (1)	1			20	1	54	80			53			45		9	3	236		618 	618		401	fhl 	fhl	618 	618 	618 			2	2	1	1	1	flpfhl	invfhl														helm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255		1		1	1					255					255					255					255			2	8		xxx 	xxx 			1
756 	Full Helm (4)	4			20	1	233	313			162			45		53	16	11808		756 	756		403	fhl 	fhl	756 	756 	756 			2	2	1	3	1	flpfhl	invfhl														helm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
848 	Full Helm (6)	6			20	1	452	598			340			45		82	24	47283		848 	848		404	fhl 	fhl	848 	848 	848 			2	2	1	4	1	flpfhl	invfhl														helm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@19 	Full Helm (Sacred)	Sacred			2	1	976	1049			546			45		82	30	47283		@19 	@19		404	fhl 	fhl	@19 	@19 	@19 			2	2	1	4	1	flpfhl	invfhl														qhlm		so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
613 	Full Plate Mail (1)	1			20	1	162	326		10	91			105		18	5	1593		613 	613		401	ful 	ful	613 	613 	613 		1	2	3	1	2	1	flpful	invful			2	2	2	2	2	2						tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255		1		1	1					255			2	8		xxx 	xxx 			1
751 	Full Plate Mail (4)	4			20	1	560	1056		10	277			105		61	18	43593		751 	751		404	ful 	ful	751 	751 	751 		1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2						tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
843 	Full Plate Mail (6)	6			20	1	1058	1972		10	583			105		90	27	168868		843 	843		406	ful 	ful	843 	843 	843 		1	2	3	1	6	1	flpful	invful			2	2	2	2	2	2						tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@14 	Full Plate Mail (Sacred)	Sacred			2	1	2029	2486		10	627			105		90	30	168868		@14 	@14		406	ful 	ful	@14 	@14 	@14 		1	2	3	1	6	1	flpful	invful			2	2	2	2	2	2						qtor		so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
1@G 	Gambeson (1)	1			10	1	42	85				25		44		5	1	154		1@G 	1@G		401	hla 	hla	1@G 	1@G 	1@G 		1	2	3	1	2	1	flphla	invxtuu														stor	tier	so230	12	so230			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
4@G 	Gambeson (4)	4			10	1	204	331				76		44		48	14	11982		4@G 	4@G		404	hla 	hla	4@G 	4@G 	4@G 		1	2	3	1	4	1	flphla	invxtuu														stor	tier	so230	12	so230			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
6@G 	Gambeson (6)	6			10	1	399	640				160		44		76	23	51200		6@G 	6@G		406	hla 	hla	6@G 	6@G 	6@G 		1	2	3	1	6	1	flphla	invxtuu														stor	tier	so230	12	so230			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
7@G 	Gambeson (Sacred)	Sacred			1	1	1819	1939				486		44		76	30	51200		7@G 	7@G		406	hla 	hla	7@G 	7@G 	7@G 		1	2	3	1	6	1	flphla	invxtuu														sstr		so230	12	so230			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
w28 	Gargoyle Head (1)	1	100		4	1	70	137				30	1	62		12	3	516		w28 	w28		402	ne3 	bhm	w28 	w28 	w28 		10	2	2	1	2	2	flpne3	invne4														head	tier	so222	12	so222			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx 	xxx 			1
