overlay	Filename	version	Frames	Character	PreDraw	1ofN	Dir	Open	Beta	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
ol357	extra\firesmoke.dcc	100	26	all		1										16		3	2	4	255			1	
ol358	extra\AuraWhite	100	31	all		1										16		3	2	4		255	212	1	
ol359	extra\AuraST_WH	100	16	all		1										16		3	2	6		255	212	1	
ol360	expansion\MinionSpawnOver	100	21	all		1										48		3	2	4	255			1	
ol361	expansion\catadeathovereast	100	21	all		1										16		3	2	4	255	64		1	
ol362	extra\vengeance	100	14	all		1		1	1							16		3	8	10	211	148	255	1	
ol363	AuraHolyFireHit	100	12	all		1		1	1							16		3	3	5	255			1	
ol364	expansion\druidmorph	100	13	all		1										16		3	3	5	255			1	
ol365	expansion\MISSILE_B_C	100	16	all		1						7		-7	-30	16		3	3	4		255		1	
ol366	expansion\MISSILE_RED_C	100	16	all		1						7		-7	-30	16		3	3	4	255			1	
ol367	expansion\MISSILE_BLUE_C	100	16	all		1						7		-7	-30	16		3	3	4			255	1	
ol368	expansion\MISSILE_WHITE_C	100	16	all		1						7		-7	-30	16		3	3	4	255	81	255	1	
ol369	expansion\MISSILE_A_C	100	16	all		1						7		-7	-30	16		3	3	4	255	178	64	1	
ol370	extra\AuraResistLightning	100	20	all		1										16		3	2	4	212	212	255	1	
ol371	extra\AuraResistLightningCast	100	11	all		1										16		3	2	6	212	212	255	1	
ol372	expansion\DireWolfCharged	100	16	all		1										6		3	6	6	128		255	1	
ol373	LightJet	100	13	all		1						7		-7	30	16		3	4	6	255	255	162	1	
ol374	LightJet	100	13	all		1						7		-7	30	16		3	4	6	255	255	162	1	
ol375	LightJet	100	13	all		1						7		-7	30	16		3	4	6	255	255	162	1	
ol376	LightJet	100	13	all		1						7		-7	30	16		3	4	6	255	255	162	1	
ol377	LightJet	100	13	all		1						7		-7	30	16		3	4	6	255	255	162	1	
ol378	LightJet	100	13	all		1						7		-7	30	16		3	4	6	255	255	162	1	
ol379	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	255	255	162	1	
ol380	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	255	255	162	1	
ol381	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	255	255	162	1	
ol382	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	255	255	162	1	
ol383	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	255	255	162	1	
ol384	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	255	255	162	1	
ol385	vdfeathers	100	26	all		1										16		5	2	4	255	255	128	1	
ol386	vdfeathers	100	26	all		1										16		5	2	4	255	128	128	1	
ol387	vdfeathers	100	26	all		1										16		5	2	4	128	255	128	1	
ol388	vdfeathers	100	26	all		1										16		5	2	4	255	128		1	
ol389	extra\AuraRed	100	31	all		1										16		3	2	4	255			1	
ol390	extra\AuraST_RD	100	16	all		1										16		3	2	6	255			1	
ol391	extra\AuraBlue	100	31	all		1										16		3	2	4			255	1	
ol392	extra\AuraST_BL	100	16	all		1										16		3	2	6			255	1	
ol393	ThunderstormCast_operate		19	all	1	1										16		3	8	8	128	128	255	1	
ol394	ThunderstormCast		10	all		1										16		3	1	8	128	128	255	1	
ol395	ChillBloodPuff_curse		14	all	1	1						14		-14	-60	16		3	3	3	81	81	255	1	
ol396	Charge		8	all		1						14		-14	-60	16		3	2	4	255	128	128	1	
ol397	expansion\painwormcurse	100	10	all	1	1		1	1							8		3	2	4	255	178		1	
ol398	Expansion\oak_sage_Aura	100	11	all	1	1						14		-14	-60	6		3	3	5	255	128		1	
ol399	Expansion\volcano_Fire	100	29	all		1			1			-50	-50	-50	-50	16		3	3	5	255	178	64	1	
ol400	extra\ShiversCast	100	9	all		1										16		3	3	4			255	1	
ol401	extra\ShiversOverlay	100	33	all		1										16		3	3	4			255	1	
ol402	BaalDeathHead01	100	42	all		1										32		3	3	4	255		255	1	
ol403	BaalDeathMushroom	100	101	all		1										16		3	3	7	81	81	255	1	
ol404	Pentacle	100	1	all	1	1		1	1							8		5	2	5	255			1	
ol405	expansion\firesentry_explode	100	26	all	1	1		1	1							8		3	2	5	255			1	
ol406	expansion\nehlithakglow	100	16	all	1	1		1	1							8		3	2	5			255	1	
ol407	extra\GreaterMummyCast	100	16	all		1										1		3	2	4	255			1	
ol408	expansion\BaalTeleport	100	20	all		1										32		3	2	4			255	1	
ol409	expansion\IceCaveQuest_Magic	100	31	all		1										32		3	2	4	81	81	255	1	
ol410	ChillBloodPuff_curse	100	14	all	1	1										16		3	3	5	81	81	255	1	
ol411	extra\AnotherIceReceive	100	14	all	1	1										16		3	3	5	81	81	255	1	
ol412	extra\BattleCryCurse	100	15	all	1	1										16		3	3	5	255	178	64	1	
ol413	extra\FrogSplash	100	14	all	1	1										16		3	3	5	128	255	255	1	
ol414	extra\GenericSplash	100	16	all	1	1										16		3	3	5	128	255	255	1	
ol415	extra\GooHit	100	15	all	1	1										16		3	3	5		255		1	
ol416	extra\IceCast	100	16	all	1	1										16		3	3	6	81	81	255	1	
ol417	extra\RaiseDead	100	19	all	1	1										16		3	3	6	81	81	255	1	
ol418	extra\Receive_Cold_Spell	100	14	all	1	1										16		3	3	6	81	81	255	1	
ol419	FingerMageFlames	100	14	all	1	1										16		3	3	6	255			1	
ol420	FireGolemOverlay	100	16	all		1										64		3	2	5	255	178	64	1	
ol421	FrogExplode	100	14	all		1		1	1							16		3	3	6		255		1	
ol422	MultiGleam	100	10	all		1										16		3	1	2	255	210	210	1	
ol423	RedemptionGhost Medium	100	16	all	1	1										8		3	3	6	255			1	
ol424	SRIceHit	100	16	all		1		1	1							16		3	1	3	128	128	255	1	
ol425	willodeathoverlay	100	20	all		1										16		3	1	4	178	178	255	1	
ol426	brraisedeadfront	100	16	all		1		1	1							16		3	3	5	128	128	255	1	
ol427	elswarm	100	10	all		1		1	1							16			2	4	255			1	
ol428	extra\FistOfAres_Front	100	12	all		1										16		3	6	6	255	255		1	
ol429	extra\FistOfAres_Back	100	12	all	1	1										16		3	6	6	255	255		1	
ol430	extra\FistOfAres_FadeIN	100	6	all	1	1										16		3	6	6	255	255		1	
ol431	FingerMageCurse		15	all		1		1	1							16		3	3	5	128	128	255	1	
ol432	BlackPentacle	100	1	all	1	1		1	1							1		3	2	5		255		1	
ol433	MiniNova	100	16	all	1	1		1	1							16		5	2	5	255	178		1	
ol434	YellowSkullPulse	100	200	all	1	1		1	1							16		3	2	4	255	178		1	
ol435	YellowBigBall	100	8	all	1	1		1	1							16		3	2	4	255	178		1	
ol436	extra\WhiteFlash	100	5	all		1										16		3	2	10	255			1	
ol437	CeilingChunkVanish01	100	11	all		1		1	1							16		3	2	3	255	128	128	1	
ol438	BAJumpLandPuff01	100	8	all		1		1	1							16		3	2	3	255		255	1	
ol439	FocusGreen	100	9	all		1		1	1							16		3	1	3			255	1	
ol440	FoHpurple	100	16	all		1		1	1							32		3	1	8	255		255	1	
ol441	RedAuraFog		13	all		1										16		3	1	3	255	64	64	1	
ol442	GreenAuraFog		13	all		1										16		3	1	3	64	255	64	1	
ol443	GoldAuraFog		13	all		1										16		3	1	3	255	255	64	1	
ol444	Expansion\DeadlyFistHit	100	5	all		1		1	1							8		3	1	6	255	255		1	
ol445	Expansion\CloakOfShadows	100	16	all		1										16		3	1	2	64	64	210	1	
ol446	BattleCry		15	all		1										16		3	1	3	255			1	
ol447	BattleCommandStart		20	all		1										8		3	3	5	255	255	255	1	
ol448	impacting01		4	all		1		1	1			14		-14	-60	8		3	2	6	255	255	255	1	
ol449	impacting02		4	all		1		1	1			14		-14	-60	8		3	2	6	255	255	255	1	
ol450	Extra\AuraWhite		31	all		1		1	1							8		3	1	6	128	128	255	1	
ol451	Extra\Aurast_wh		16	all		1		1	1							8		3	1	6	128	128	255	1	
ol452	SRFireHit		16	all		1		1	1							16		3	1	4	255	193	103	1	
ol453	ShoutStart		20	all		1		1	1							8		3	1	6	255	212	212	1	
ol454	Shout		20	all		1		1	1							8		3	1		255	255	255	1	
ol455	expansion\tiger_Strike_B	100	32	all		1										8		3						1	
ol456	expansion\tiger_Strike_C	100	32	all		1										8		3						1	
ol457	SlayerCloud	100	26	all	1	1										16		3	5	10	255	255		1	
ol458	extra\vampire_spelloverlay	100	24	all	1	1										16		3	5	10	64	64	64	1	
ol459	AuraResistFireFront		20	all	1	1		1	1							16		3	6		255	255	255	1	
ol460	Enragedz	100	23	all		1										16		3	5	10	255			1	
ol461	extra\lifedrain.dcc	100	12	all		1										16		3	5	10	255	192	192	1	
ol462	Stamina_front		16	all		1										16		3	1	3	255	192	192	1	
ol463	Stamina_back		16	all	1	1										16		3	1	3	255	192	192	1	
ol464	TreeAura		1	all		1										16		3	1	3	192	255	192	1	
ol465	expansion\feral_rage_A_Front	100	16	all		1										16		3	1	3	255			1	
ol466	expansion\feral_rage_A_Back	100	16	all	1	1										16		3						1	
ol467	rockon1	100	11	Druid		1										12		3						1	
ol468	rockon2	100	11	Druid		1										12		3						1	
ol469	rockon3	100	11	Druid	1	1										16		3						1	
ol470	rockon4	100	11	Druid	1	1										16		3						1	
ol471	extra\AnotherIceReceive	100	14	all	1	1										16		3	3	5	128	255	255	1	
ol472	AngelDeath		20	all		1		1	1							8		3	2	2	103	193	255	1	
ol473	LazBlood		25	all		1		1	1							32		3	2	2	255			1	
ol474	HolyMagik		17	?		1		1	1							16		3			255	255	255	1	
ol475	WhiteRing		16	?		1		1	1							16		3	2	3	81	128	255	1	
ol476	RedRing		16	?		1		1	1							16		3	2	3	255	255		1	
ol477	expansion\tiger_Strike_B	100	32	all		1										8		3	2	4	255	128		1	
ol478	Expansion\TwisterFront	100	40	all		1			1							16		3						1	
ol479	Expansion\TwisterBack	100	40	all	1	1			1							16		3						1	
ol480	GreenAmp		24	all		1		1	1			14		-14	-60	16		3	1	6	64	255	64	1	
ol481	Expansion\On_Fire	100	20	all		1			1							16		3						1	
ol482	expansion\MISSILE_C_C	100	16	all		1						7		-7	-30	16		3	3	4			255	1	
ol483	expansion\tiger_Strike_A	100	32	all		1										64		3	2	4	255	192		1	
ol484	FrogExplode		14	all		1		1	1							16		3	3	5	128	255	128	1	
ol485	BoneFetishDeathBones		11	Monster		1										16		5			255	255	255	1	
ol486	DoomPortal		30	?	1	1		1	1			50	50	50	50	16		3	2	3	255	255		1	
ol487	ManaBubbles		15	?		1		1	1							32		3	2	3	128	128	255	1	
ol488	WhiteBlinding		22	?		1		1	1							32		3	2	5	192	192	255	1	
ol489	FireCracker		31	?		1		1	1							32		3	2	5	255			1	
ol490	MassiveOrange		41	?	1	1		1	1							32		3	2	3	255			1	
ol491	WispyBloodCast		21	?		1		1	1							32		3	2	4	255			1	
ol492	expansion\Cobra_Strike_C	100	16	?		1										32		3	2	4	81	81	255	1	
ol493	Extra\NecroMindRecieve	100	10	?		1										32		3	2	4	81	81	255	1	
ol494	ShoutStart		20	all		1		1	1							16		3			255	255	255	1	
ol495	Shout		20	all		1		1	1							16		3			255	255	255	1	
ol496	FireCrown		1	?		1		1	1			-57	-57	-57	-57	16		3	2	3		64	255	1	
ol497	Extra\ChillBloodInitialPoof		16	all		1										12		3	2	3			255	1	
ol498	SanctuaryKnockback		13	all		1										8		3			255	255	255	1	
ol499	ThreeFlames		15	all		1										24		3	2	3	255	178	64	1	
ol500	BigBlam		16	all		1										24		3	2	3	255	178	64	1	
ol501	rapture	100	12	all		1										16		3	2	4	128	178	255	1	
ol502	Extra\MeteorTargetIndicator	100	17	all		1										16		3	2	4	255			1	
ol503	LightJet	100	13	all		1						7		-7	30	32		3	2	3	255	178		1	
ol504	Sunlight	100	21	all		1						21		-21	180	64		3	1	2	255	178		1	
ol505	expansion\Maul_A_Front	100	16	Druid		1										16		3						1	
ol506	BigBass	100	10	all	1	1		1	1							16		3	1	3			255	1	
ol507	HeatWave	100	20	all	1	1		1	1							16		3	1	3			255	1	
ol508	GhostLights	100	13	all	1	1		1	1							16		3	1	3			255	1	
ol509	rockon1	100	11	Druid		1										12		3						1	
ol510	HoradricLightBeam	100	21	all		1						21		-21	180	16		3	2	3	64	64	255	1	
ol511	expansion\tiger_Strike_C	100	32	all		1										32		3			255	32	32	1	
ol512	aura130	100	30	all	1	1										8		3			255	32		1	
ol513	aura230	100	30	all	1	1										8		3			255	32		1	
ol514	gore20	100	32	all	1	1										16		3				128		1	
ol515	Trinity15		15	Sorceress		1		1	1							32		3	1	9	255	178	64	1	
ol516	Trinity15		15	Sorceress		1		1	1							16		3	4	4	255	178	64	1	
ol517	AuraResistAllFront		20	Paladin		1										32		3	6	6	211	148	255	1	
ol518	PoisonDark		36	Paladin		1						14		-14	-60	32	15	3	6	6	64	255		1	
ol519	OverlayH		17	?		1		1	1							16		3			255	255	255	1	
ol520	AmazonHealSpell		20	Amazon		1		1	1							16		3	1	8	255	184	199	1	
ol521	ValkarieGlow		20	all	1	1				5						16		3	4	8	255	96		1	
ol522	ValkarieEmerge		16	all		1										32		3	1	4	255	96		1	
ol523	AuraPrayerFront	100	16	all	1	1						-55	-65	-75	-85	8		3	3	6			255	1	
ol524	extra\BoneCast	100	16			1										16		3	1	2			255	1	
ol525	braxishaste	100	24			1										18		3	1	4		255		1	
ol526	blessQQ	100	24			1										32		1	1				255	1	
ol527	endurance_nu	100	12			1						-150	-150	-150	-150	8		3	1	3	214	161	24	1	
ol528	endurance_on	100	17			1						-150	-150	-150	-150	16		3	2	6	214	161	24	1	
ol529	TYLALITNUHTH	100	23		1	1					30					16	1	3	2	6	255	255	255	1	
ol530	TYRALITNUHTH	100	23		1	1					30					16	1	3	2	6	255	255	255	1	
ol531	zombiecloudx	100	19			1										16		3	1	6		255		1	
ol532	zombiesparx	100	19			1										16		3	1	6		255		1	
ol533	ragestatecastoverlay	100	1			1					-100					8		3	1	6			255	1	
ol534	ragestateformeh	100	1			1					-100					8		3	1	6	255			1	
ol535	inminentdeath	100	15			1					-100					16		3	1	6		255		1	
ol536	burnout	100	12		1	1										16		3	2	4	255			1	
ol537	spoverlray2		20			1										16		3			255	255	255	1	
ol538	spoverlay1		20			1										16		3			255	255	255	1	
ol539	enlightened	100	21			1					-60					16		3			255	255	255	1	
ol540	baalshieldblue	100	11			1										8		3						1	
ol541	absolutezero	100	8			1					-100					16		3	1	2			255	1	
ol542	extra\NecroMindCast	100	16			1										16		3	1	2			255	1	
ol543	braxishaste	100	24			1				-13	-150					18		3	1	4		255		1	
ol544	AthuluaAuraFront		16			1		1	1							8		3			255			1	
ol545	AthuluaAuraBack		16		1	1		1	1							8		3			255			1	
ol546	antimass		25			1		1	1							16		3	2	2	255	193	103	1	
ol547	extra\shockhit	100	29			1		1	1		-20					16		3	7	7	255	255	255	1	
ol548	valthekuse	100	15		1	1										16		3	1	2	255	255	255	1	
ol549	DoomPortal		30		1	1		1	1	-4	35					16		3	2	3	255	255		1	
